"Table 2. Median usual weekly earnings of full-time wage and salary workers, by detailed occupation, 2016 annual averages","","","","","","","","","",""
"","","","","","","","","","",""
"Occupation","Total","","","Women","","","Men","","","Women's
earnings
as a
percentage
of men's"
"","Number of workers (thousands)","Median weekly earnings","Standard error of median","Number of workers (thousands)","Median weekly earnings","Standard error of median","Number of workers (thousands)","Median weekly earnings","Standard error of median",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Management, professional, and related occupations","45930","1188","5","23674","1027","5","22256","1420","8","72.3"
"Management, business, and financial operations occupations","19023","1284","11","8761","1099","11","10261","1491","14","73.7"
"Management occupations","12828","1370","10","5314","1148","9","7514","1539","10","74.6"
"Chief executives","1150","2303","23","318","1876","110","832","2419","76","77.6"
"General and operations managers","876","1266","30","250","1037","78","626","1358","23","76.4"
"Dining room and cafeteria attendants and bartender helpers","133","420","9","51","407","12","82","465","66","87.5"
"Dishwashers","172","389","9","30","–","–","142","388","11","–"
"Building and grounds cleaning and maintenance occupations","3602","510","3","1210","454","8","2392","548","9","82.8"
"First-line supervisors of housekeeping and janitorial workers","189","655","41","71","524","33","119","702","20","74.6"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers","113","707","32","1","–","–","112","710","32","–"
"Janitors and building cleaners","1580","526","8","441","476","10","1139","564","12","84.4"
"Maids and housekeeping cleaners","781","441","9","661","427","9","120","497","15","85.9"
"Pest control workers","61","655","29","2","–","–","59","649","28","–"
"Grounds maintenance workers","878","502","6","34","–","–","844","503","6","–"
"Personal care and service occupations","2568","505","5","1884","482","5","684","613","13","78.6"
"First-line supervisors of gaming workers","127","792","46","59","717","71","68","840","173","85.4"
"Childcare workers","405","452","13","381","451","12","24","–","–","–"
"Personal care aides","762","477","7","636","469","10","125","514","17","91.2"
"Recreation and fitness workers","192","596","24","100","517","23","92","668","50","77.4"
"Sales and office occupations","23625","698","3","14163","649","3","9461","805","8","80.6"
"Sales and related occupations","9759","744","6","4250","590","6","5509","904","12","65.3"
"First-line supervisors of retail sales workers","2368","743","10","1047","630","13","1321","857","15","73.5"
"First-line supervisors of non-retail sales workers","781","1137","15","230","1004","26","552","1161","16","86.5"
"Cashiers","1367","414","5","965","403","5","402","475","16","84.8"
"Counter and rental clerks","84","517","13","36","–","–","47","–","–","–"
"Parts salespersons","96","639","24","11","–","–","85","643","22","–"
"Retail salespersons","1831","623","9","728","514","8","1103","730","19","70.4"
"Advertising sales agents","203","1023","56","81","999","122","122","1034","70","96.6"
"Insurance sales agents","423","839","38","205","676","57","218","1166","73","58"
"Securities, commodities, and financial services sales agents","219","1351","71","63","951","51","155","1458","120","65.2"
"Travel agents","46","–","–","38","–","–","8","–","–","–"
"Sales representatives, services, all other","427","1040","66","145","826","63","282","1202","94","68.7"
"Sales representatives, wholesale and manufacturing","1121","1047","45","302","872","45","819","1140","20","76.5"
"Models, demonstrators, and product promoters","14","–","–","6","–","–","8","–","–","–"
"Real estate brokers and sales agents","493","983","41","284","780","70","209","1222","122","63.8"
"Sales and related workers, all other","171","805","54","68","709","73","103","946","78","74.9"
"Office and administrative support occupations","13866","679","3","9913","669","4","3952","708","8","94.5"
"First-line supervisors of office and administrative support workers","1203","848","17","819","809","13","383","942","23","85.9"
"Customer service representatives","1850","640","10","1185","623","9","664","676","19","92.2"
"Receptionists and information clerks","951","583","7","848","581","7","103","600","26","96.8"
"Couriers and messengers","160","726","60","25","–","–","135","739","46","–"
"Dispatchers","279","704","24","153","671","27","126","734","24","91.4"
"Meter readers, utilities","30","–","–","1","–","–","28","–","–","–"
"Postal service clerks","111","901","122","53","805","39","58","999","36","80.6"
"Postal service mail carriers","304","981","19","119","931","38","185","1020","35","91.3"
"Postal service mail sorters, processors, and processing machine operators","56","783","89","23","–","–","33","–","–","–"
"Production, planning, and expediting clerks","224","853","26","111","765","37","113","935","28","81.8"
"Shipping, receiving, and traffic clerks","473","596","10","151","583","18","322","602","12","96.8"
"Stock clerks and order fillers","1014","530","13","371","526","16","643","533","19","98.7"
"Weighers, measurers, checkers, and samplers, recordkeeping","45","–","–","24","–","–","21","–","–","–"
"Secretaries and administrative assistants","2210","713","7","2078","708","7","133","831","43","85.2"
"Computer operators","78","811","97","37","–","–","41","–","–","–"
"Data entry keyers","221","638","18","170","630","23","51","655","25","96.2"
"Office clerks, general","900","654","11","760","648","11","140","707","30","91.7"
"Office and administrative support workers, all other","457","768","16","351","751","18","107","855","54","87.8"
"Natural resources, construction, and maintenance occupations","11022","786","5","464","580","14","10558","794","5","73"
"Farming, fishing, and forestry occupations","842","520","8","169","465","20","673","544","13","85.5"
"Miscellaneous agricultural workers","659","508","8","111","423","14","547","524","11","80.7"
"Construction and extraction occupations","5979","784","6","151","639","47","5828","786","6","81.3"
"Other installation, maintenance, and repair workers","137","773","32","8","–","–","130","782","37","–"
"Production, transportation, and material moving occupations","14606","665","4","2945","531","6","11661","704","4","75.4"
"Production occupations","7513","668","6","1949","527","6","5564","723","6","72.9"
"First-line supervisors of production and operating workers","729","923","22","131","723","37","599","972","27","74.4"
"Aircraft structure, surfaces, rigging, and systems assemblers","6","–","–","2","–","–","4","–","–","–"
"Electrical, electronics, and electromechanical assemblers","105","590","18","50","554","24","55","618","23","89.6"
"Miscellaneous assemblers and fabricators","990","601","11","345","559","16","645","625","15","89.4"
"Bakers","138","494","14","83","480","13","55","562","65","85.4"
"Butchers and other meat, poultry, and fish processing workers","244","526","24","61","449","40","183","571","32","78.6"
"Machinists","326","824","35","13","–","–","313","844","49","–"
"Welding, soldering, and brazing workers","558","743","23","23","–","–","535","753","23","–"
"Metal workers and plastic workers, all other","380","626","20","74","565","20","306","658","29","85.9"
"Printing press operators","170","701","30","33","–","–","137","748","41","–"
"Laundry and dry-cleaning workers","135","454","32","80","436","33","55","486","34","89.7"
"Sewing machine operators","165","437","15","114","452","15","52","407","16","111.1"
"Stationary engineers and boiler operators","77","924","112","4","–","–","72","954","167","–"
"Water and wastewater treatment plant and system operators","76","883","21","3","–","–","72","885","20","–"
"Crushing, grinding, polishing, mixing, and blending workers","88","643","38","6","–","–","82","642","37","–"
"Cutting workers","62","576","73","13","–","–","50","546","175","–"
"Inspectors, testers, sorters, samplers, and weighers","686","714","14","241","584","19","445","834","35","70"
"Packaging and filling machine operators and tenders","224","488","16","113","425","17","112","574","32","74"
"Painting workers","158","701","31","11","–","–","147","713","30","–"
"Production workers, all other","887","622","13","246","515","12","641","690","17","74.6"
"Transportation and material moving occupations","7093","662","6","997","540","12","6097","685","6","78.8"
"Supervisors of transportation and material moving workers","165","807","34","39","–","–","126","843","62","–"
"Aircraft pilots and flight engineers","119","1582","95","7","–","–","112","1600","70","–"
"Bus drivers","343","641","17","146","589","22","197","691","32","85.2"
"Driver/sales workers and truck drivers","2809","780","10","120","630","44","2689","787","10","80.1"
"Industrial truck and tractor operators","564","602","9","54","563","30","510","604","10","93.2"
"Cleaners of vehicles and equipment","252","491","14","28","–","–","224","487","14","–"
"Laborers and freight, stock, and material movers, hand","1417","566","11","221","509","11","1196","580","8","87.8"
"","","","","","","","","","",""
"Note: Median earnings are not shown where employment is less than 50,000. Women's earnings as a percentage of men's are not shown where employment for either women or men is less than 50,000. Dash indicates no data or data that do not meet publication criteria.
Source: U.S. Bureau of Labor Statistics.","","","","","","","","","",""
