"Table 2. Median usual weekly earnings of full-time wage and salary workers, by detailed occupation, 2016 annual averages","","","","","","","","","",""
"","","","","","","","","","",""
"Occupation","Women","","","Men","","","Women's
earnings
as a
percentage
of men's","Total","",""
"","Number of workers (thousands)","Median weekly earnings","Standard error of median","Number of workers (thousands)","Median weekly earnings","Standard error of median","","Number of workers (thousands)","Median weekly earnings","Standard error of median"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Management, professional, and related occupations","23674","1027","5","22256","1420","8","72.3","45930","1188","5"
"Management, business, and financial operations occupations","8761","1099","11","10261","1491","14","73.7","19023","1284","11"
"Management occupations","5314","1148","9","7514","1539","10","74.6","12828","1370","10"
"Chief executives","318","1876","110","832","2419","76","77.6","1150","2303","23"
"General and operations managers","250","1037","78","626","1358","23","76.4","876","1266","30"
"Dining room and cafeteria attendants and bartender helpers","51","407","12","82","465","66","87.5","133","420","9"
"Dishwashers","30","–","–","142","388","11","–","172","389","9"
"Building and grounds cleaning and maintenance occupations","1210","454","8","2392","548","9","82.8","3602","510","3"
"First-line supervisors of housekeeping and janitorial workers","71","524","33","119","702","20","74.6","189","655","41"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers","1","–","–","112","710","32","–","113","707","32"
"Janitors and building cleaners","441","476","10","1139","564","12","84.4","1580","526","8"
"Maids and housekeeping cleaners","661","427","9","120","497","15","85.9","781","441","9"
"Pest control workers","2","–","–","59","649","28","–","61","655","29"
"Grounds maintenance workers","34","–","–","844","503","6","–","878","502","6"
"Personal care and service occupations","1884","482","5","684","613","13","78.6","2568","505","5"
"First-line supervisors of gaming workers","59","717","71","68","840","173","85.4","127","792","46"
"Childcare workers","381","451","12","24","–","–","–","405","452","13"
"Personal care aides","636","469","10","125","514","17","91.2","762","477","7"
"Recreation and fitness workers","100","517","23","92","668","50","77.4","192","596","24"
"Sales and office occupations","14163","649","3","9461","805","8","80.6","23625","698","3"
"Sales and related occupations","4250","590","6","5509","904","12","65.3","9759","744","6"
"First-line supervisors of retail sales workers","1047","630","13","1321","857","15","73.5","2368","743","10"
"First-line supervisors of non-retail sales workers","230","1004","26","552","1161","16","86.5","781","1137","15"
"Cashiers","965","403","5","402","475","16","84.8","1367","414","5"
"Counter and rental clerks","36","–","–","47","–","–","–","84","517","13"
"Parts salespersons","11","–","–","85","643","22","–","96","639","24"
"Retail salespersons","728","514","8","1103","730","19","70.4","1831","623","9"
"Advertising sales agents","81","999","122","122","1034","70","96.6","203","1023","56"
"Insurance sales agents","205","676","57","218","1166","73","58","423","839","38"
"Securities, commodities, and financial services sales agents","63","951","51","155","1458","120","65.2","219","1351","71"
"Travel agents","38","–","–","8","–","–","–","46","–","–"
"Sales representatives, services, all other","145","826","63","282","1202","94","68.7","427","1040","66"
"Sales representatives, wholesale and manufacturing","302","872","45","819","1140","20","76.5","1121","1047","45"
"Models, demonstrators, and product promoters","6","–","–","8","–","–","–","14","–","–"
"Real estate brokers and sales agents","284","780","70","209","1222","122","63.8","493","983","41"
"Sales and related workers, all other","68","709","73","103","946","78","74.9","171","805","54"
"Office and administrative support occupations","9913","669","4","3952","708","8","94.5","13866","679","3"
"First-line supervisors of office and administrative support workers","819","809","13","383","942","23","85.9","1203","848","17"
"Customer service representatives","1185","623","9","664","676","19","92.2","1850","640","10"
"Receptionists and information clerks","848","581","7","103","600","26","96.8","951","583","7"
"Couriers and messengers","25","–","–","135","739","46","–","160","726","60"
"Dispatchers","153","671","27","126","734","24","91.4","279","704","24"
"Meter readers, utilities","1","–","–","28","–","–","–","30","–","–"
"Postal service clerks","53","805","39","58","999","36","80.6","111","901","122"
"Postal service mail carriers","119","931","38","185","1020","35","91.3","304","981","19"
"Postal service mail sorters, processors, and processing machine operators","23","–","–","33","–","–","–","56","783","89"
"Production, planning, and expediting clerks","111","765","37","113","935","28","81.8","224","853","26"
"Shipping, receiving, and traffic clerks","151","583","18","322","602","12","96.8","473","596","10"
"Stock clerks and order fillers","371","526","16","643","533","19","98.7","1014","530","13"
"Weighers, measurers, checkers, and samplers, recordkeeping","24","–","–","21","–","–","–","45","–","–"
"Secretaries and administrative assistants","2078","708","7","133","831","43","85.2","2210","713","7"
"Computer operators","37","–","–","41","–","–","–","78","811","97"
"Data entry keyers","170","630","23","51","655","25","96.2","221","638","18"
"Office clerks, general","760","648","11","140","707","30","91.7","900","654","11"
"Office and administrative support workers, all other","351","751","18","107","855","54","87.8","457","768","16"
"Natural resources, construction, and maintenance occupations","464","580","14","10558","794","5","73","11022","786","5"
"Farming, fishing, and forestry occupations","169","465","20","673","544","13","85.5","842","520","8"
"Miscellaneous agricultural workers","111","423","14","547","524","11","80.7","659","508","8"
"Construction and extraction occupations","151","639","47","5828","786","6","81.3","5979","784","6"
"Other installation, maintenance, and repair workers","8","–","–","130","782","37","–","137","773","32"
"Production, transportation, and material moving occupations","2945","531","6","11661","704","4","75.4","14606","665","4"
"Production occupations","1949","527","6","5564","723","6","72.9","7513","668","6"
"First-line supervisors of production and operating workers","131","723","37","599","972","27","74.4","729","923","22"
"Aircraft structure, surfaces, rigging, and systems assemblers","2","–","–","4","–","–","–","6","–","–"
"Electrical, electronics, and electromechanical assemblers","50","554","24","55","618","23","89.6","105","590","18"
"Miscellaneous assemblers and fabricators","345","559","16","645","625","15","89.4","990","601","11"
"Bakers","83","480","13","55","562","65","85.4","138","494","14"
"Butchers and other meat, poultry, and fish processing workers","61","449","40","183","571","32","78.6","244","526","24"
"Machinists","13","–","–","313","844","49","–","326","824","35"
"Welding, soldering, and brazing workers","23","–","–","535","753","23","–","558","743","23"
"Metal workers and plastic workers, all other","74","565","20","306","658","29","85.9","380","626","20"
"Printing press operators","33","–","–","137","748","41","–","170","701","30"
"Laundry and dry-cleaning workers","80","436","33","55","486","34","89.7","135","454","32"
"Sewing machine operators","114","452","15","52","407","16","111.1","165","437","15"
"Stationary engineers and boiler operators","4","–","–","72","954","167","–","77","924","112"
"Water and wastewater treatment plant and system operators","3","–","–","72","885","20","–","76","883","21"
"Crushing, grinding, polishing, mixing, and blending workers","6","–","–","82","642","37","–","88","643","38"
"Cutting workers","13","–","–","50","546","175","–","62","576","73"
"Inspectors, testers, sorters, samplers, and weighers","241","584","19","445","834","35","70","686","714","14"
"Packaging and filling machine operators and tenders","113","425","17","112","574","32","74","224","488","16"
"Painting workers","11","–","–","147","713","30","–","158","701","31"
"Production workers, all other","246","515","12","641","690","17","74.6","887","622","13"
"Transportation and material moving occupations","997","540","12","6097","685","6","78.8","7093","662","6"
"Supervisors of transportation and material moving workers","39","–","–","126","843","62","–","165","807","34"
"Aircraft pilots and flight engineers","7","–","–","112","1600","70","–","119","1582","95"
"Bus drivers","146","589","22","197","691","32","85.2","343","641","17"
"Driver/sales workers and truck drivers","120","630","44","2689","787","10","80.1","2809","780","10"
"Industrial truck and tractor operators","54","563","30","510","604","10","93.2","564","602","9"
"Cleaners of vehicles and equipment","28","–","–","224","487","14","–","252","491","14"
"Laborers and freight, stock, and material movers, hand","221","509","11","1196","580","8","87.8","1417","566","11"
"","","","","","","","","","",""
"Note: Median earnings are not shown where employment is less than 50,000. Women's earnings as a percentage of men's are not shown where employment for either women or men is less than 50,000. Dash indicates no data or data that do not meet publication criteria.
Source: U.S. Bureau of Labor Statistics.","","","","","","","","","",""
