"Table 9. Distribution of wage and salary workers paid hourly rates, by hourly earnings and selected demographic characteristics, 2016 annual averages (in thousands)","","","","","","","",""
"","","","","","","","",""
"Characteristic","Total
employed","Number of workers with hourly earnings of—","","","","","",""
"","","Under
$6.00","$6.00
to
$7.99","$8.00
to
$9.99","$10.00
to
$11.99","$12.00
to
$14.99","$15.00
to
$19.99","$20.00
or
more"
"","","","","","","","",""
"Age","","","","","","","",""
"Total, 16 years and older","79883","1160","2017","10525","14646","14604","16603","20327"
"16 to 24 years","15856","471","1068","4535","4482","2922","1695","683"
"16 to 19 years","4592","153","587","1967","1251","411","177","45"
"20 to 24 years","11264","318","481","2568","3231","2510","1518","638"
"25 years and older","64026","689","949","5990","10164","11682","14908","19644"
"25 to 34 years","18988","325","352","2127","3543","4040","4505","4096"
"35 to 44 years","14609","151","181","1275","2149","2517","3376","4960"
"45 to 54 years","14957","117","198","1140","2065","2519","3450","5467"
"55 to 64 years","11742","77","120","960","1631","1930","2848","4176"
"65 years and older","3731","18","98","489","776","676","729","946"
"Women, 16 years and older","40315","774","1235","6278","8013","7660","7929","8426"
"16 to 24 years","7890","321","619","2400","2257","1368","664","260"
"16 to 19 years","2314","93","331","1044","589","177","63","16"
"20 to 24 years","5576","228","288","1356","1668","1191","601","244"
"25 years and older","32425","453","616","3878","5757","6292","7265","8165"
"25 to 34 years","9044","208","219","1252","1829","1962","1894","1681"
"35 to 44 years","7285","105","133","842","1239","1356","1620","1990"
"45 to 54 years","7727","69","136","787","1267","1456","1739","2273"
"55 to 64 years","6321","61","65","690","986","1122","1620","1776"
"65 years and older","2048","11","62","306","435","396","392","445"
"Men, 16 years and older","39568","386","783","4247","6633","6944","8674","11902"
"16 to 24 years","7967","150","449","2135","2226","1553","1031","423"
"16 to 19 years","2278","60","256","922","663","234","114","29"
"20 to 24 years","5688","90","193","1212","1563","1319","917","394"
"25 years and older","31601","236","333","2112","4407","5390","7643","11479"
"25 to 34 years","9943","117","134","875","1714","2079","2611","2414"
"35 to 44 years","7324","46","48","433","910","1161","1757","2969"
"45 to 54 years","7229","48","62","353","798","1062","1711","3195"
"55 to 64 years","5421","16","55","270","645","809","1227","2399"
"65 years and older","1683","8","35","182","341","280","336","501"
"","","","","","","","",""
"Race and Hispanic or
Latino ethnicity","","","","","","","",""
"White","61080","938","1343","7584","10855","11060","12874","16425"
"Women","30256","647","814","4510","5879","5777","5993","6637"
"Men","30823","292","530","3074","4975","5284","6881","9788"
"Black or African American","11681","124","537","2024","2393","2210","2326","2067"
"Women","6385","65","339","1228","1362","1166","1274","950"
"Men","5297","59","198","795","1031","1044","1052","1116"
"Asian","3962","590","63","417","723","715","777","1209"
"Women","2121","37","38","237","415","400","399","595"
"Men","1841","22","25","180","309","315","378","613"
"Hispanic or Latino ethnicity","16241","209","325","2308","3889","3277","3350","2884"
"Women","7197","132","201","1316","1949","1457","1241","901"
"Men","9044","77","124","992","1940","1819","2109","1983"
"","","","","","","","",""
"Note: Estimates for the race groups shown (White, Black or African American, and Asian) do not sum to totals because data are not presented for all race groups. People of Hispanic or Latino ethnicity may be of any race; estimates for the race groups include Hispanics.
Source: U.S. Bureau of Labor Statistics.","","","","","","","",""
