"Table 7. Median usual weekly earnings of full-time wage and salary workers, by marital status and presence and age of own children under 18 years old, 2016 annual averages","","",""
"","","",""
"Characteristic","Number of workers (thousands)","Median weekly earnings","Standard error of median"
"","","",""
"Women","","",""
"Total, all marital statuses","49161","749","2"
"With children under 18 years old","17288","756","4"
"With children 6 to 17, none younger","10517","772","6"
"With children under 6 years old","6771","730","7"
"With no children under 18 years old","31873","746","3"
"","","",""
"Total, married, spouse present(1)","24849","838","5"
"With children under 18 years old","11327","870","7"
"With children 6 to 17, none younger","6810","857","9"
"With children under 6 years old","4516","885","9"
"With no children under 18 years old","13523","815","6"
"","","",""
"Total, other marital statuses(2)","24312","671","3"
"With children under 18 years old","5961","607","4"
"With children 6 to 17, none younger","3706","662","8"
"With children under 6 years old","2255","524","7"
"With no children under 18 years old","18350","697","4"
"","","",""
"Men","","",""
"Total, all marital statuses","61930","915","3"
"With children under 18 years old","22021","1013","5"
"With children 6 to 17, none younger","11953","1085","12"
"With children under 6 years old","10068","952","8"
"With no children under 18 years old","39909","861","4"
"","","",""
"Total, married, spouse present(1)","36195","1062","6"
"With children under 18 years old","19297","1071","8"
"With children 6 to 17, none younger","10623","1134","9"
"With children under 6 years old","8674","1013","8"
"With no children under 18 years old","16898","1053","8"
"","","",""
"Total, other marital statuses(2)","25736","732","4"
"With children under 18 years old","2724","719","10"
"With children 6 to 17, none younger","1330","813","21"
"With children under 6 years old","1394","652","13"
"With no children under 18 years old","23011","733","4"
"","","",""
"Footnotes:","","",""
"(1) Refers to people in opposite-sex married couples only. See the technical notes section.","","",""
"(2) Includes people who are never married; widowed; divorced; separated; and married, spouse absent. See the technical notes section.","","",""
"Note: ""Children"" refers to ""own"" children and includes sons, daughters, stepchildren, and adopted children under age 18 who live in the household. Not included are other related children, such as grandchildren, nieces, nephews, and cousins, as well as unrelated children in the household.
Source: U.S. Bureau of Labor Statistics.","","",""
