"Year","2020","","","","","","","2021","","","","","","","2022","","","","","","","2023","","","","","",""
" ","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus"
"","No.","No.","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand","No.","No.","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand","No.","No.","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand","No.","No.","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand","HK$ thousand"
"Detailed industry grouping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Railway and cable transport, and public bus services","9","33 333","12,796,494","13,361,999","27,643,091","11,952,496","1,484,597","9","32 457","12,463,314","11,984,946","27,925,987","15,110,923","3,477,727","9","31 292","12,362,003","12,093,948","27,988,840","14,881,933","3,532,888","9","31 702","13,425,823","16,697,773","39,048,198","22,032,701","8,924,603"
"Taxis, non-scheduled and scheduled public bus services","9 884","18 615","1,298,777","3,748,149","7,022,410","3,481,863","1,975,483","9 987","18 759","1,345,985","3,549,623","6,656,569","3,288,766","1,760,961","10 078","18 560","1,291,776","3,368,245","5,928,495","2,743,530","1,268,474","10 052","17 902","1,266,741","4,748,341","7,162,467","3,440,824","1,147,385"
"School bus services and rental of passenger vehicles with drivers","1 153","10 273","1,832,507","3,070,803","5,620,762","2,243,837","717,453","1 107","9 591","1,685,063","2,806,726","4,962,959","2,023,443","471,170","1 145","9 525","1,776,180","3,548,570","6,321,349","2,572,113","996,600","1 285","9 963","2,146,263","6,100,743","9,450,494","3,402,957","1,203,487"
"Freight transport by road (excl. tractors)","6 240","25 887","5,600,943","10,697,547","18,617,627","7,993,810","2,319,137","6 748","26 512","5,746,787","12,209,408","20,707,320","8,654,577","2,751,124","6 826","26 639","5,642,844","11,482,020","18,924,672","7,467,514","1,799,807","6 973","26 304","5,479,916","11,339,748","18,116,162","7,197,599","1,296,498"
"Transport by tractors","1 294","7 137","1,617,508","2,829,384","5,175,622","2,249,649","728,730","1 231","7 081","1,666,036","3,175,644","5,629,977","2,389,728","788,296","1 241","6 432","1,404,626","2,464,168","4,394,564","1,876,359","525,770","1 200","6 221","1,446,138","2,760,193","4,800,868","2,060,637","594,538"
"Car park operation","124","3 625","628,692","2,222,659","3,160,017","848,660","308,665","129","3 595","654,750","2,353,085","3,367,860","888,354","360,024","140","3 358","601,624","2,503,762","3,536,907","946,247","431,521","137","2 844","602,157","2,764,329","4,117,756","1,325,206","751,270"
"Vehicular tunnel, bridge and highway operators","15","3 209","969,381","481,514","3,821,861","3,326,481","2,370,966","16","3 409","1,017,894","393,814","3,978,587","3,585,147","2,566,879","18","3 302","958,273","430,899","3,666,114","3,212,122","2,276,942","19","3 119","1,017,165","487,256","3,608,723","3,093,705","2,104,302"
"Ship agents and managers, and local representative offices of overseas shipping companies","290","6 522","3,987,342","3,298,063","7,482,678","3,975,073","197,272","285","6 256","3,934,684","4,108,475","8,509,997","4,393,748","466,838","328","5 905","3,215,980","3,630,024","11,461,362","3,551,782","4,615,358","340","5 523","2,938,347","4,620,015","8,743,280","2,726,246","1,184,918"
"Ship owners and operators of sea-going vessels","152","3 743","2,236,837","98,456,896","112,443,374","12,711,133","11,749,641","161","3 499","2,581,406","130,210,907","215,460,947","84,313,190","82,668,634","160","3 807","3,011,162","133,156,112","223,724,526","89,672,726","87,557,252","165","3 753","2,809,136","96,020,869","123,866,627","26,009,876","25,036,622"
"Ship owners and operators of vessels moving between Hong Kong and the ports in Pearl River Delta","57","742","287,863","3,703,778","3,797,060","77,079","-194,580","54","677","243,812","3,275,141","3,474,934","195,486","-44,020","53","613","211,593","4,295,065","4,915,590","531,437","408,932","47","609","246,771","3,735,495","4,275,717","528,474","293,452"
"Licensed and franchised ferry services, kaito and non-scheduled inland water passenger transport","134","1 496","425,124","466,249","1,065,779","381,697","174,405","135","1 433","416,062","533,219","1,117,818","433,600","168,537","151","1 582","469,222","584,239","1,264,660","449,002","211,200","156","1 845","562,822","818,920","1,665,298","624,850","283,557"
"Inland freight water transport","82","848","422,452","491,434","1,038,222","518,699","124,336","97","819","407,553","514,114","1,071,830","561,382","150,163","102","831","410,788","780,000","1,463,943","720,394","273,155","104","675","335,076","360,568","874,097","532,861","178,453"
