"Parameter","","Canon R5","Nikon Z50","Brand & Model","Brand & Model"
"Body","","","","",""
"Type","","SLR Mirrorless","SLR Mirrorless","",""
"Material","","Magnesium","Magnesium","",""
"Sensor","","","","",""
"Max Resolution","","8,192 x 5,464","5,568 x 3,712","",""
"Image Ratio","","0.67291666666667","0.67291666666667","",""
"Effective Pixels","","45 MP","21 MP","",""
"Sensor Size","","Full Frame","APS-C","",""
"Image ","","","","",""
"ISO","","100 - 51,200","100 - 51,200","",""
"Boosted","Minimum","50","-","",""
"","Maximum","102400","204800","",""
"","WB Presets","8","-","",""
"","Image Stabilization","Yes","No","",""
"Optics & Focus","","","","",""
"Autofocus","","Phase AF","Contrast","",""
"Digital Zoom","","Yes","No","",""
"Manual Focus","","Yes","Yes","",""
"Number of Focus Point","","1053","209","",""
"Screen","","","","",""
"Size","","3.2""","3.2""","",""
"Dots","","2.1k","1.04k","",""
"Touch Screen","","Yes","Yes","",""
"Viewfinder Type","","Electronic","Electronic","",""
