"Parameter","","R6","R5","M5","M50","M50 II"
"Body","","","","","",""
"Type","","SLR Mirrorless","SLR Mirrorless","SLR Mirrorless","SLR Mirrorless","SLR Mirrorless"
"Material","","Magnesium","Magnesium","Metal","Composite","Composite"
"Sensor","","","","","",""
"Max Resolution","","5,472 x 3,648","8,192 x 5,464","6,000 x 4,000","6,000 x 4,000","6,000 x 4,000"
"Image Ratio","","16:09","16:09","16:09","16:09","16:09"
"Effective Pixels","","20 MP","45 MP","24 MP","24 MP","24 MP"
"Sensor Size","","Full Frame","Full Frame","APS-C","APS-C","APS-C"
"Image ","","","","","",""
"ISO","","100 - 25,600","100 - 51,200","100 - 25,600","100 - 25,600","100 - 25,600"
"Boosted","Minimum","50","50","-","-","-"
"","Maximum","204,800","102,400","-","51,200","51,200"
"","WB Presets","8","8","6","6","7"
"","Image Stabilization","Yes","Yes","No","No","No"
"Optics & Focus","","","","","",""
"Autofocus","","Phase AF","Phase AF","Contrast","Contrast","Contrast"
"Digital Zoom","","Yes","Yes","Yes","Yes","-"
"Manual Focus","","Yes","Yes","Yes","Yes","Yes"
"Number of Focus Point","","1,053","1,053","49","143","143"
"Screen","","","","","",""
"Size","","3""","3.2""","3.2""","3""","3"""
"Dots","","1.62k","2.1k","1.62k","1.04k","1.04k"
"Touch Screen","","Yes","Yes","Yes","Yes","Yes"
"Viewfinder Type","","Electronic","Electronic","Electronic","Electronic","Electronic"
