"D E S C R I P T I O N","QTY.","FREE","RATE","AMOUNT"
"","","","",""
"AJIT MEDICOS ZIRA ZIRA-ZIRA","","","",""
"AMCARD-LP          10TAB","5","  -","32.74","163.69"
"CYRA TAB           10TAB","3","  -","14.53","43.59"
"CYRA-D  CAP        10CAP","5","  -","28.54","142.69"
"ORVAS 40MG TABLET  10TAB","5","  -","67.40","336.98"
"PIO PLUS-2         10TAB","3","  -","55.04","165.11"
"TOPISAL - 3% LOTION50ML","3","  -","80.51","241.53"
"                     TOTAL :","24","0","","1093.59"
"","","","",""
"ANAND MEDICAL STORE MOGA MOGA.-MOGA.","","","",""
"CILDAY - 5 TABLET  10TAB","10","  -","16.97","169.67"
"                     TOTAL :","10","0","","169.67"
"","","","",""
"ANAND MEDICO S MOGA MOGA.-MOGA.","","","",""
"AF-400             1TAB","10","  -","16.35","163.54"
"AMCARD AT TAB      10TAB","10","  -","20.30","203.02"
"CYRA-D  CAP        10CAP","10","  -","28.54","285.37"
"LEVOSIZ 5MG TAB    10TAB","3","  -","10.31","30.93"
"LEVOSIZ M TABLET   10TAB","5","  -","38.87","194.34"
"ME-12 INJ.         1ML","5","  -","15.98","79.88"
"ORVAS 20MG         10TAB","20","  -","36.38","727.50"
"ORVAS 40MG TABLET  10TAB","5","  -","67.40","336.98"
"PIOSYS-15TAB       30TAB","12","  -","29.83","357.93"
"SYSFOL- ACTIV      10TAB","2","  -","59.53","119.06"
"SYSRON-N TAB       10TAB","3","  -","30.98","92.95"
"TOPISAL 6% OINT.   30GM","2","  -","69.14","138.28"
"                     TOTAL :","87","0","","2729.78"
"","","","",""
"APARNA DRUGS STORE MOGA MOGA.-MOGA.","","","",""
"AMCARD AT TAB      10TAB","5","  -","20.30","101.51"
"ME-12 OD TAB       10TAB","3","  -","51.62","154.87"
"NAC SR 75MG        10TAB","3","  -","24.15","72.46"
"                     TOTAL :","11","0","","328.84"
"","","","",""
"ARORA MEDICAL HALL KOT KO-KOT ISE KHAN","","","",""
"ACNESOL LOTION     10ML","1","  -","53.09","53.09"
"                     TOTAL :","1","0","","53.09"
"","","","",""
"ARORA PHARMA DISTRIBUTORS KO-KOT ISE KHAN","","","",""
"ACNESOL LOTION     10ML","1","  -","53.09","53.09"
"OSICARE DS         10TAB","1","  -","42.00","42.00"
"PIOSYS 30TAB       30TAB","2","  -","53.87","107.73"
"VOGS 0.2MG TABLET  10TAB","5","  -","13.69","68.45"
"VOGS 0.3MG TABLET  10TAB","10","  -","20.45","204.48"
"                     TOTAL :","19","0","","475.75"
"","","","",""
"ARORA PHARMACEUTICALS MOGA MOGA.-MOGA.","","","",""
"TOPINATE GEL 30GM  30GM","3","  -","56.27","168.81"
"                     TOTAL :","3","0","","168.81"
"","","","",""
"AULAKH MEDICOSE KISH KIS-KISHAN PURA","","","",""
"NORMAXIN TAB       10TAB","20","  -","13.82","276.45"
"                     TOTAL :","20","0","","276.45"
"","","","",""
"BANSAL AGENCIES MOGA MOGA.-MOGA.","","","",""
"NORMAXIN TAB       10TAB","40","  -","13.82","552.90"
"                     TOTAL :","40","0","","552.90"
"","","","",""
"BANSAL MEDICOS MOGA MOGA.-MOGA.","","","",""
"AF-200 TABLET      1TAB","100","10","8.76","875.91"
"AFK LOTION         100ML","20","4","121.99","2439.74"
"                     TOTAL :","120","14","","3315.65"
"","","","",""
"BAWEJA MEDICAL AGENCIES LUDHI-LUDHIANA.","","","",""
"AF-150             1TAB","250","  -","6.58","1644.50"
"AMACE TAB          10TAB","200","  -","40.17","8033.44"
"AMCARD 5MG         7TAB","400","  -","8.57","3429.76"
"AMCARD AT TAB      10TAB","200","  -","19.26","3851.12"
"ANALIV -500MG      10TAB","50","  -","89.50","4474.88"
"CYRA - LS TABLET   10TAB","100","  -","65.55","6555.00"
"CYRA IT TABLET     1","25","  -","78.71","1967.65"
"CYRA TAB           10TAB","200","  -","13.78","2756.32"
"CYRA-D  CAP        10CAP","600","  -","27.07","16239.84"
"ETOSYS TAB         10TAB","50","  -","98.17","4908.66"
"ISRYL-M 1          10TAB","150","  -","16.26","2438.46"
"ISRYL-M 2          10TAB","200","  -","24.40","4879.68"
"LEVOSIZ 5MG TAB    10TAB","200","  -","9.78","1955.92"
"LEVOSIZ M TABLET   10TAB","100","  -","36.86","3686.44"
"ME-12 INJ.         1ML","96","  -","15.15","1454.63"
"ME-12 OD TAB       10TAB","100","  -","48.96","4896.24"
"NAC SR 100         10TAB","100","  -","26.80","2679.96"
"NAC SR 75MG        10TAB","100","  -","22.91","2290.80"
"ORVAS 10MG         10TAB","200","  -","12.27","2454.56"
"ORVAS 20MG         10TAB","250","  -","34.50","8625.00"
"ORVAS-FT TABLET    10TAB","50","  -","45.68","2283.90"
"PIO PLUS-1         10TAB","50","  -","39.34","1966.96"
"PIO PLUS-2         10TAB","100","  -","52.20","5220.08"
"PIOSYS 30TAB       30TAB","50","  -","51.62","2581.06"
"PIOSYS-15TAB       30TAB","50","  -","28.29","1414.50"
"SYSTAFLAM GEL      25GM","25","  -","43.50","1087.44"
"                     TOTAL :","3896","0","","103776.80"
"","","","",""
"BEHL MEDEICAL STORE MAKH MAKHU-MAKHU","","","",""
"AMCARD AT TAB      10TAB","3","  -","20.30","60.91"
"                     TOTAL :","3","0","","60.91"
"","","","",""
"BIOSIP PHARMACEUTICALS MOGA.-MOGA.","","","",""
"AMACE TAB          10TAB","10","  -","42.35","423.50"
"ME-12 INJ.         1ML","4","  -","15.98","63.90"
