"Parameter","","Z6","Z5","Z50"
"Body","","","",""
"Type","","SLR Mirrorless","Mirrorless","SLR Mirrorless"
"Material","","Magnesium","Composite","Magnesium"
"Sensor","","","",""
"Max Resolution","","6,048 x 4,024","6,016 x 4,016","5,568 x 3,712"
"Image Ratio","","16:09","16:09","16:09"
"Effective Pixels","","25 MP","24 MP","21 MP"
"Sensor Size","","Full Frame","Full Frame","APS-C"
"Image ","","","",""
"ISO","","100 - 51,200","100 - 51,200","100 - 51,200"
"Boosted","Minimum","50","50","-"
"","Maximum","204,800","102,400","204,800"
"","WB Presets","12","12","-"
"","Image Stabilization","Yes","Yes","No"
"Optics & Focus","","","",""
"Autofocus","","Contrast","Contrast","Contrast"
"Digital Zoom","","No","No","No"
"Manual Focus","","Yes","Yes","Yes"
"Number of Focus Point","","273","273","209"
"Screen","","","",""
"Size","","3.2""","3.2""","3.2"""
"Dots","","2.1k","1.04k","1.04k"
"Touch Screen","","No","Yes","Yes"
"Viewfinder Type","","Electronic","Electronic","Electronic"
