"ITEM","April","May","June","July","August","September","October","November","December","January","February","March","2016","April","May","June","July","August","September","October","November","December","January","February","March","2017","2018","2019","2020"
"32006 JR-11","10,710","12,060","11,048","13,165","11,512","13,587","13,075","12,454","13,063","12,515","12,791","12,869","148,849","12,874","16,924","12,874","12,350","8,808","12,874","12,874","13,270","12,208","12,874","12,874","12,889","153,693","111,322","94,216","74,413"
"32007","0","3,872","4,858","5,890","0","2,349","5,217","5,132","0","3,867","3,188","3,046","37,419","3,054","3,054","6,081","2,394","0","2,402","2,402","2,732","3,027","3,054","3,054","3,030","34,283","35,080","35,630","36,264"
"30205 JR-11","6,964","11,800","6,927","7,127","0","7,129","8,933","11,131","5,366","9,293","7,133","8,718","90,521","8,446","8,446","10,846","7,649","5,819","8,446","8,446","8,049","8,219","8,446","8,446","8,451","99,709","97,927","99,693","101,240"
"32206","9,040","7,240","5,506","7,846","6,635","6,612","6,972","6,203","6,832","6,662","6,852","6,592","82,992","6,589","6,589","6,589","6,572","6,566","6,589","6,589","6,580","6,566","6,589","6,589","6,605","79,012","76,880","76,310","76,811"
"32305 JR-11","1,344","5,516","0","5,950","0","3,710","0","3,390","0","3,710","0","1,695","25,315","3,390","0","5,085","0","0","5,085","0","0","1,695","5,085","0","0","20,340","22,258","22,305","22,927"
"L45449 ML-R-11","0","7,004","0","0","0","5,631","0","0","0","4,305","0","0","16,940","4,410","0","0","4,338","0","0","4,336","0","0","4,547","0","0","17,631","19,355","19,630","19,896"
"ST2557-11","11,880","9,900","9,900","16,000","6,000","15,000","12,000","12,000","9,000","12,000","12,000","9,000","134,680","9,000","10,929","10,929","12,500","6,500","9,500","13,500","9,500","5,500","9,500","9,500","9,500","116,358","88,000","69,000","49,000"
"L 67048 ML-R-11 ","38,866","25,298","47,762","37,846","16,377","55,414","45,526","42,994","32,326","35,648","34,070","50,038","462,165","36,258","42,242","45,714","52,114","20,243","49,930","48,970","56,450","20,947","33,474","48,850","64,028","519,220","368,242","524,194","524,681"
"Total demand","78,804","82,690","86,001","93,824","40,524","109,432","91,723","93,304","66,587","88,000","76,034","91,958","998,880","84,021","88,184","98,118","97,917","47,936","94,826","97,117","96,581","58,162","83,569","89,313","104,503","1,040,245","819,064","940,978","905,233"
"Total Capacity","102,952","102,952","102,952","102,952","58,830","107,854","102,952","102,952","78,440","98,049","98,049","107,854","1,166,789","98,049","107,854","102,952","102,952","58,830","102,952","107,854","107,854","73,537","98,049","102,952","107,854","1,171,691","1,171,691","1,171,691","1,171,691"
