"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","1","Month:","04","Year:","2014",""
"No","Products","Production lot","Expire","Beginning in stock","Number of Import","Number of Export","Damaged","Number of end","Note"
"(a)","(c)","(e)","(f)","(g)","(h)","(i)","(k)","(l) = g + h -  
 (i + k)","(m)"
"","(c)","(e)","(f)","(g)","(h)","(i)","(k)","(l)","(m)"
"1","Efavirenz 600mg","EM1Y30","11/1/2013","  718 ","","","","  718 ",""
"2","Efavirenz 600mg","EM2Z02","11/1/2014","  1,036 ","","  501 ","","  535 ",""
"3","Efavirenz 600mg","E113019A","7/1/2016","","  150 ","0","0","  150 ",""
"4","Lamivudine 150mg","LXAG004","3/1/2015","  2,340 ","","","","  2,340 ",""
"5","Lamivudine 150mg","LXAG010","9/1/2015","  1,440 ","","","","  1,440 ",""
"6","Lamivudine 150mg","010113","1/1/2016","  980 ","  4 ","  788 ","","  196 ",""
"7","Lamivudine-Tenofovir-Efavirenz 300/300/600mg","8013296","4/1/2015","  370 ","","  180 ","","  190 ",""
"8","Lamivudine-Tenofovir-Efavirenz 300/300/600mg","3016868","7/1/2015","  900 ","","  700 ","","  200 ",""
"9","Lamivudine-Tenofovir-Efavirenz 300/300/600mg","3046869","7/1/2015","","  690 ","0","0","  690 ",""
"10","Lamivudine-Zidovudine 150/300mg","4111308","1/1/2016","  7,678 ","","  2,480 ","","  5,198 ",""
"11","Lamivudine-Zidovudine 150/300mg","4111309","1/1/2016","  8,400 ","","","","  8,400 ",""
"12","Lamivudine-Zidovudine 150/300mg","4111310","1/1/2016","","  3,360 ","0","0","  3,360 ",""
"13","Nevirapine 10mg/ml","NR0512100-A","5/1/2014","  3 ","","","","  3 ",""
"14","Nevirapine 10mg/ml","NR0512115-A","7/1/2014","  4 ","  1 ","  2 ","","  3 ",""
"15","Nevirapine 10mg/ml","NR5121","7/1/2014","  3 ","","","","  3 ",""
"16","Nevirapine 200mg","16A12003","12/1/2014","  2,362 ","","  2,220 ","","  142 ",""
"17","Nevirapine 200mg","16A12004","12/1/2014","  1,680 ","  8,100 ","","","  9,780 ",""
"18","Tenofovir 300mg","1202671","2/1/2015","  2,394 ","  2 ","  394 ","","  2,002 ",""
"19","Tenofovir 300mg","1105906","4/1/2015","  18 ","","","","  18 ",""
"20","Zidovudine 10mg/ml","ZE05120","6/1/2014","  4 ","","","","  4 ",""
"21","Zidovudine 10mg/ml","ZE0512030-B","10/1/2014","  10 ","","","","  10 ",""
