"BIG TOOL TRAILER INVENTORY","","","","","","","","","",""
"Tool Trailer # ________________________","","","","","","Job #: ___________________________","","","",""
"Inv. By: _____________________________","","","","","","Date: ____________________________","","","",""
"","","","","","","","","","",""
"1/2 INCH DRIVE SOCKETS","","","","","","","","","",""
"UP","Stock","Location","Total Price","Description","","UP","Stock","Location","Total Price ","Description"
"$4.80","","1"," """"$""* ""-""??"" ","7/16""","","$3.89","","1"," """"$""* ""-""??"" ","15/16"""
"$2.58","","2"," """"$""* ""-""??"" ","1/2""","","$3.91","","2"," """"$""* ""-""??"" ","1"""
"$2.61","4","3"," """"$""* #,##0.00"" ","9/16""","","$6.85","","3"," """"$""* ""-""??"" ","1-1/16"""
"$2.61","2","4"," """"$""* #,##0.00"" ","5/8""","","$7.19","","4"," """"$""* ""-""??"" ","1-1/8"""
"$2.61","","1"," """"$""* ""-""??"" ","11/16"" ","","$16.27","","1"," """"$""* ""-""??"" ","1-1/4"""
"$7.89","","2"," """"$""* ""-""??"" ","11/16"" DEEP WELL","","$9.43","","2"," """"$""* ""-""??"" ","1/2"" x 4"" Extension"
"$2.61","","3"," """"$""* ""-""??"" ","3/4"" ","","$12.65","","3"," """"$""* ""-""??"" ","1/2"" to 3/4"" step up"
"$8.23","","4"," """"$""* ""-""??"" ","3/4"" Deep Well","","$9.79","","4"," """"$""* ""-""??"" ","1/2"" swivel"
"$3.27","2","1"," """"$""* #,##0.00"" ","13/16""","","$24.75","","1"," """"$""* ""-""??"" ","1"" to 3/4"" reducer"
"$3.59","","2"," """"$""* ""-""??"" ","7/8"" ","","$17.72","","2"," """"$""* ""-""??"" ","3/4"" to 1/2"" step down"
"$9.82","5","3"," """"$""* #,##0.00"" ","7/8"" Deep Well","","","","3","",""
"3/4 INCH DRIVE SOCKETS","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price ","Description"
"$9.23","2","4"," """"$""* #,##0.00"" ","7/8""","","$19.64","","4"," """"$""* ""-""??"" ","1-9/16"""
