"Clasiification","sub classification","category","value"
"Orange","Navel","unsorted","80"
"","","High","77"
"","","sort","70"
"","","Old","68"
"","","Process","47"
"","mandrin","unsorted","75"
"","","sort","65"
"","","High","50"
"","","dark","45"
"","","Process","42"
"","Red","low","81"
"","","Process","73"
"","","unsorted","45"
"","","dark","44"
"","","Light","41"
"","","",""
"Apple","PinK Lady","Process","78"
"","","dark","71"
"","","High","70"
"","","unsorted","48"
"","","Light","44"
"","Golden ","Old","79"
"","","low","74"
"","","unsorted","53"
"","","Light","49"
"","","Process","43"
