"VLOOKUP","SupplyOrg","BU","WeldLine","Category","SubCategory","ItemNo","ItemDesc"
"Group 1","LAT","MA2","BMK Weld 2","Snow Blades","SSB","6716836","84 SNOW BLADE"
"","LAT","MA2","BMK Weld 2","Snow Blades","SSB","6716838","96 SNOW BLADE"
"","LAT","MA2","BMK Weld 2","Snow Blades","SSB","6905156","72 SNOW BLADE"
"","LAT","MA1","BMK Weld 1","Angle Brooms","Abroom","6905805","68 ANGLE BROOM"
"Group 2","LAT","BMK Kit","BMK NA","Planers","Pdrum","6661408","DRUM 6 INCH PLANER"
"","LAT","MA","BMK Weld 1","Landscape Rakes","Lrake","6709107","5B LANDSCAPE RAKE"
"","LAT","MA","BMK Weld 1","Landscape Rakes","Lrake","6710630","6B LANDSCAPE RAKE"
"","LAT","BMK Kit","BMK NA","Planers","Pdrum","6905178","DRUM SLOT CUTTING"
"","LAT","BMK Kit","BMK NA","Planers","Pdrum","6905404","DRUM 14 INCH PLANER"
"Group 3","LAT","BMK Kit","BMK NA","Planers","Pdrum","6906320","DRUM 16 SURFACE PLNR"
"","LAT","MA","BMK Weld 1","Soil Conditioners","Sconditioner","6906513","MI SOIL COND 72SCM"
"","LAT","BMK Kit","BMK NA","Planers","Pdrum","6958266","DRUM 24 FASTCUT"
