"","Flight  distance (km)","","","","","","","Flight  velocity (km/h)","","","","","","","Flight  duration (h)","","","","","","","Flight muscle mass(mg)","","","","","","","TAG(ug/mg)","","","","",""
"","Egg Cat.","Age","Egg of virgin","Egg of mated","Virgin","Mated","","Egg Cat.","Age","Egg of virgin","Egg of mated","Virgin","Mated","","Egg Cat.","Age","Egg of virgin","Egg of mated","Virgin","Mated","","Egg Cat.","Age","Egg of virgin","Egg of mated","Virgin ","Mated","","Egg Cat.","Age","Egg of virgin","Egg of mated","Virgin","Mated"
"","1","6","0","16","42.90100969","13.461","","1 ","6","0","16 ","3.67143","1.856 ","","1 ","6","0","16 ","11.684854665987","7.251 ","","1","6","0","16","0.65","0.48","","1","5","0","15","65.14801554","68.88857092"
"","1","6","0","37","47.29118817","25.677","","1 ","6","0","37 ","4.05491","2.131 ","","1 ","6","0","37 ","11.662417134115","12.051 ","","1","6","0","37","0.74","0.29","","1","5","0","36","65.14801554","79.8855671"
"","1","6","0","41","48.00443651","50.974","","1 ","6","0","41 ","4.03712","4.247 ","","1 ","6","0","41 ","11.89087200408","12.001 ","","1","6","0","41","0.59","0.54","","1","6","0","2","63.9746272","64.26699199"
"","1","6","0","47","48.27420704","43.784","","1 ","6","0","47 ","4.031","3.820 ","","1 ","6","0","47 ","11.975522692504","11.461 ","","1","6","0","47","0.6","0.52","","1","6","0","25","64.70210887","47.51791879"
"","1","7","0","15","30.99932336","39.642","","1 ","7","0","15 ","3.25052","3.284 ","","1 ","7","0","15 ","9.5365521931316","12.073 ","","1","7","0","15","0.68","0.63","","1","6","0","41","74.40511228","81.89833784"
"","1","7","0","19","31.64966338","19.71","","1 ","7","0","19 ","2.79945","3.261 ","","1 ","7","0","19 ","11.305338320299","6.044 ","","1","7","0","19","0.58","0.54","","1","6","0","41","77.16443056","80.69577695"
"","1","7","0","21","36.77855151","37.015","","1 ","7","0","21 ","3.16768","3.195 ","","1 ","7","0","21 ","11.610336620197","11.586 ","","1","7","0","21","0.63","0.54","","1","7","0","34","60.79339198","63.84609323"
"","1","7","0","25","39.03781367","34.287","","1 ","7","0","25 ","3.40271","2.960 ","","1 ","7","0","25 ","11.472628357702","11.585 ","","1","7","0","25","0.59","0.75","","1","7","0","48","64.44582273","95.67973273"
"","1","7","0","31","43.95069364","8.184","","1 ","7","0","31 ","3.67352","1.728 ","","1 ","7","0","31 ","11.964297857872","4.738 ","","1","7","0","31","0.61","0.47","","1","8","0","43","63.69884244","56.57460854"
"","1","8","0","2","43.90555839","26.872","","1 ","8","0","2 ","3.66924","2.446 ","","1 ","8","0","2 ","11.966343702193","10.987 ","","1","8","0","2","0.63","0.55","","1","9","0","17","69.19770642","44.19540925"
"","1","8","0","10","52.41689954","11.255","","1 ","8","0","10 ","4.43887","1.410 ","","1 ","8","0","10 ","11.80826109128","7.985 ","","1","8","0","10","0.74","0.6","","1","10","0","3","65.28319588","69.17180527"
"","1","8","0","39","54.75416624","24.703","","1 ","8","0","39 ","4.56507","2.058 ","","1 ","8","0","39 ","11.993880673126","12.004 ","","1","8","0","39","0.56","0.44","","1","11","0","6","70.0497058","58.20868721"
"","1","8","0","42","54.96552779","10.405","","1 ","8","0","42 ","4.72268","1.739 ","","1 ","8","0","42 ","11.638959714431","5.983 ","","1","8","0","42","0.67","0.69","","1","11","0","41","52.52633635","72.9578816"
"","1","9","0","4","31.1595319","30.46","","1 ","9","0","4 ","2.92772","2.691 ","","1 ","9","0","4 ","10.642863244213","10.450 ","","1","9","0","4","0.7","0.63","","1","11","0","45","62.53410762","69.98468572"
"","1","9","0","47","68.10865636","40.013","","1 ","9","0","47 ","5.6806","3.088 ","","1 ","9","0","47 ","11.989749722388","11.960 ","","1","9","0","47","0.72","0.58","","1","12","0","40","67.6306169","65.40725747"
"","1","11","0","5","28.11267413","39.188","","1 ","11","0","5 ","2.53634","3.265 ","","1 ","11","0","5 ","11.084180839244","12.003 ","","1","11","0","5","0.66","0.54","","1","12","0","40","80.73137831","62.49312802"
"","1","11","0","18","53.93614905","46.64","","1 ","11","0","18 ","4.51554","4.159 ","","1 ","11","0","18 ","11.944620117939","11.214 ","","1","11","0","18","0.67","0.54","","1","13","0","3","66.21364703","49.45087896"
"","1","11","0","37","61.00547304","28.8","","1 ","11","0","37 ","5.08616","2.228 ","","1 ","11","0","37 ","11.994872233142","11.931 ","","1","11","0","37","0.66","0.63","","1","15","0","50","71.77482547","79.67278693"
"","1","12","0","2","29.21540787","24.068","","1 ","12","0","2 ","3.8652","2.667 ","","1 ","12","0","2 ","7.5590304925723","9.024 ","","1","12","0","2","0.62","0.56","","2","6","0","53","46.68114638","72.3151105"
"","1","12","0","10","29.88003127","30.878","","1 ","12","0","10 ","4.42606","3.718 ","","1 ","12","0","10 ","6.7511076361741","8.304 ","","1","12","0","10","0.68","0.64","","2","6","0","66","63.9746272","78.26192226"
"","1","12","0","28","30.30269481","39.258","","1 ","12","0","28 ","2.6029","3.425 ","","1 ","12","0","28 ","11.642428980975","11.461 ","","1","12","0","28","0.66","0.59","","2","6","0","76","64.70210887","62.16741026"
"","1","12","0","30","38.09833724","40.526","","1 ","12","0","30 ","4.02857","5.086 ","","1 ","12","0","30 ","9.4573885848319","7.968 ","","1","12","0","30","0.63","0.48","","2","6","0","95","74.40511228","44.12080352"
"","1","12","0","31","39.01043524","13.024","","1 ","12","0","31 ","4.05755","2.425 ","","1 ","12","0","31 ","9.6148032316914","5.371 ","","1","12","0","31","0.71","0.62","","2","6","0","96","77.16443056","50.30059481"
"","1","12","0","32","39.39459995","38.549","","1 ","12","0","32 ","4.40477","3.278 ","","1 ","12","0","32 ","8.9434454000521","11.758 ","","1","12","0","32","0.64","0.44","","2","6","0","126","85.56537168","71.33880014"
"","1","12","0","44","39.64678655","54.987","","1 ","12","0","44 ","3.59048","5.412 ","","1 ","12","0","44 ","11.041959864477","10.161 ","","1","12","0","44","0.74","0.78","","2","7","0","58","46.10504603","46.2365753"
"","1","12","0","50","39.89818087","6.597","","1 ","12","0","50 ","3.46626","2.771 ","","1 ","12","0","50 ","11.510033880636","2.381 ","","1","12","0","50","0.65","0.47","","2","7","0","73","60.79339198","44.55161635"
"","1","13","0","44","43.49977477","30.113","","1 ","13","0","44 ","4.15584","3.865 ","","1 ","13","0","44 ","10.467153284672","7.790 ","","1","13","0","44","0.67","0.64","","2","7","0","106","84.37455968","42.34836983"
"","1","14","0","6","44.77134219","3.321","","1 ","14","0","6 ","4.50899","1.278 ","","1 ","14","0","6 ","9.9296325254105","2.597 ","","1","14","0","6","0.68","0.3","","2","8","0","59","65.96912976","90.92007428"
"","1","14","0","41","12.11821762","45.193","","1 ","14","0","41 ","2.19594","3.867 ","","1 ","14","0","41 ","5.5183578104139","11.688 ","","1","14","0","41","0.72","0.58","","2","8","0","64","41.16511985","42.88348204"
"","1","15","0","20","30.76132635","11.08","","1 ","15","0","20 ","2.6064328762337","3.139 ","","1 ","15","0","20 ","11.802078859204","3.529 ","","1","15","0","20","0.64","0.48","","2","8","0","95","63.69884244","54.96319459"
"","1","16","0","24","55.88901297","41.025","","1 ","16","0","24 ","4.6791231552602","3.589 ","","1 ","16","0","24 ","11.944334679151","11.432 ","","1","16","0","24","0.65","0.53","","2","8","0","130","63.69884244","47.72363627"
"","2","5","0","62","54.47213533","17.973","","2 ","5","0","62 ","4.55347","1.819 ","","2 ","5","0","62 ","11.963277796668","9.883 ","","2","5","0","62","0.62","0.56","","2","9","0","58","83.3708282","89.619381"
"","2","6","0","52","28.01040286","37.379","","2 ","6","0","52 ","2.34865","3.173 ","","2 ","6","0","52 ","11.926568077512","11.781 ","","2","6","0","52","0.49","0.64","","2","9","0","73","59.38437595","52.95161188"
"","2","6","0","55","40.24938297","18.33","","2 ","6","0","55 ","3.35496","1.659 ","","2 ","6","0","55 ","11.996940336563","11.051 ","","2","6","0","55","0.55","0.46","","2","10","0","92","65.28319588","50.49309314"
"","2","6","0","68","48.38334523","26.918","","2 ","6","0","68 ","4.03295","2.829 ","","2 ","6","0","68 ","11.996940336563","9.515 ","","2","6","0","68","0.69","0.41","","2","10","0","92","77.23732329","11.61361255"
"","2","6","0","105","52.7181846","12.631","","2 ","6","0","105 ","4.45904","1.533 ","","2 ","6","0","105 ","11.822539520653","8.242 ","","2","6","0","105","0.61","0.51","","2","10","0","112","56.42335892","58.65522492"
"","2","6","0","125","64.45066803","49.13","","2 ","6","0","125 ","5.46358","4.545 ","","2 ","6","0","125 ","11.796022437532","10.810 ","","2","6","0","125","0.62","0.64","","2","11","0","120","70.0497058","53.00701047"
"","2","7","0","53","18.75211153","32.022","","2 ","7","0","53 ","2.75865","2.724 ","","2 ","7","0","53 ","6.7976878612717","11.757 ","","2","7","0","53","0.57","0.27","","2","11","0","129","52.52633635","69.74712319"
"","2","7","0","79","24.566695","2.04","","2 ","7","0","79 ","2.09965","0.761 ","","2 ","7","0","79 ","11.70010200612","2.680 ","","2","7","0","79","0.55","0.54","","2","13","0","135","66.21364703","72.07684442"
"","2","7","0","89","28.94223733","5.363","","2 ","7","0","89 ","2.83912","1.090 ","","2 ","7","0","89 ","10.1944916695","4.919 ","","2","7","0","89","0.65","0.62","","2","14","0","104","45.76533432","45.20040241"
"","2","7","0","95","43.95069364","29.038","","2 ","7","0","95 ","3.67352","2.424 ","","2 ","7","0","95 ","11.964297857872","11.978 ","","2","7","0","95","0.61","0.74","","2","15","0","93","67.11049352","77.00023166"
"","2","7","0","110","50.66852091","14.151","","2 ","7","0","110 ","4.27368","1.692 ","","2 ","7","0","110 ","11.856171370282","8.363 ","","2","7","0","110","0.63","0.5","","2","19","0","69","67.40482569","68.56995788"
"","2","7","0","120","54.15465148","21.87","","2 ","7","0","120 ","4.52147","1.960 ","","2 ","7","0","120 ","11.977558653519","11.158 ","","2","7","0","120","0.58","0.46","","3","6","0","161","63.9746272","67.07712534"
"","2","8","0","113","43.90555839","16.199","","2 ","8","0","113 ","3.66924","1.940 ","","2 ","8","0","113 ","11.966343702193","8.350 ","","2","8","0","113","0.63","0.35","","3","6","0","178","74.40511228","60.90401585"
"","2","8","0","120","52.41689954","41.077","","2 ","8","0","120 ","4.43887","3.360 ","","2 ","8","0","120 ","11.80826109128","11.284 ","","2","8","0","120","0.74","0.54","","3","6","0","238","77.16443056","65.96965122"
"","2","8","0","138","54.75416624","7.574","","2 ","8","0","138 ","4.56507","1.564 ","","2 ","8","0","138 ","11.993880673126","4.470 ","","2","8","0","138","0.56","0.4","","3","7","0","215","60.79339198","39.80841631"
"","2","8","0","150","54.96552779","8.423","","2 ","8","0","150 ","4.72268","1.458 ","","2 ","8","0","150 ","11.638959714431","5.777 ","","2","8","0","150","0.67","0.61","","3","7","0","239","64.44582273","46.2294011"
"","2","9","0","57","31.1595319","1.397","","2 ","9","0","57 ","2.92772","0.369 ","","2 ","9","0","57 ","10.642863244213","3.789 ","","2","9","0","57","0.7","0.43","","3","8","0","153","65.96912976","55.04010021"
"","2","9","0","66","35.21880584","27.145","","2 ","9","0","66 ","3.09904","2.410 ","","2 ","9","0","66 ","11.364482788076","11.263 ","","2","9","0","66","0.55","0.55","","3","8","0","174","41.16511985","42.47710945"
"","2","9","0","90","57.62249936","35.801","","2 ","9","0","90 ","4.90561","3.361 ","","2 ","9","0","90 ","11.74579311523","10.653 ","","2","9","0","90","0.69","0.71","","3","8","0","197","63.69884244","21.4199419"
"","2","9","0","91","72.87627573","78.537","","2 ","9","0","91 ","6.07824","6.706 ","","2 ","9","0","91 ","11.989749722388","10.810 ","","2","9","0","91","0.66","0.63","","3","9","0","160","83.3708282","53.46066378"
"","2","9","0","124","51.29681729","29.545","","2 ","9","0","124 ","4.69887","2.501 ","","2 ","9","0","124 ","10.916545656445","10.904 ","","2","9","0","124","0.67","0.31","","3","9","0","221","59.38437595","80.65676413"
"","2","10","0","67","45.69130502","33.127","","2 ","10","0","67 ","3.85516","3.126 ","","2 ","10","0","67 ","11.852320314503","10.597 ","","2","10","0","67","0.74","0.65","","3","10","0","186","61.27259032","53.26643444"
"","2","10","0","111","46.82972054","14.615","","2 ","10","0","111 ","3.90754","2.128 ","","2 ","10","0","111 ","11.984616699427","6.867 ","","2","10","0","111","0.58","0.52","","3","10","0","205","61.53815266","58.69303061"
"","2","11","0","77","39.88483719","47.625","","2 ","11","0","77 ","3.35919","4.015 ","","2 ","11","0","77 ","11.873856935305","11.861 ","","2","11","0","77","0.69","0.55","","3","10","0","222","78.2168427","18.24501353"
"","2","11","0","106","45.69130502","0.693","","2 ","11","0","106 ","3.85516","0.885 ","","2 ","11","0","106 ","11.852320314503","0.783 ","","2","11","0","106","0.69","0.27","","3","12","0","224","54.99434592","56.96790428"
"","2","11","0","148","56.55226391","36.749","","2 ","11","0","148 ","4.716","3.066 ","","2 ","11","0","148 ","11.991795573028","11.988 ","","2","11","0","148","0.6","0.5","","3","12","0","224","78.67863025","10.9887362"
"","2","12","0","84","30.30269481","40.7","","2 ","12","0","84 ","2.6029","3.821 ","","2 ","12","0","84 ","11.642428980975","10.653 ","","2","12","0","84","0.66","0.59","","3","12","0","249","88.88189097","46.80235962"
"","2","12","0","88","39.89818087","39.879","","2 ","12","0","88 ","3.46626","3.319 ","","2 ","12","0","88 ","11.510033880636","12.014 ","","2","12","0","88","0.65","0.72","","3","13","0","167","70.8274281","40.38258485"
"","2","13","0","67","24.84381648","5.804","","2 ","13","0","67 ","2.54154","2.477 ","","2 ","13","0","67 ","9.7751824817518","2.343 ","","2","13","0","67","0.65","0.56","","3","13","0","245","62.5207146","57.29235348"
"","2","13","0","75","29.16833368","9.126","","2 ","13","0","75 ","2.50739","1.674 ","","2 ","13","0","75 ","11.633368091762","5.453 ","","2","13","0","75","0.59","0.43","","4","8","0","255","63.69884244","57.32043469"
"","2","13","0","96","43.49977477","37.24","","2 ","13","0","96 ","4.15584","3.635 ","","2 ","13","0","96 ","10.467153284672","10.244 ","","2","13","0","96","0.67","0.64","","4","9","0","255","69.19770642","65.50082147"
"","2","13","0","108","52.11391032","21.721","","2 ","13","0","108 ","4.37693","1.857 ","","2 ","13","0","108 ","11.906152241919","11.697 ","","2","13","0","108","0.77","0.5","","4","9","0","360","70.23811559","55.19588477"
"","2","13","0","142","65.3826194","11.203","","2 ","13","0","142 ","5.44839","1.540 ","","2 ","13","0","142 ","12","7.275 ","","2","13","0","142","0.6","0.4","","4","10","0","271","55.86606057","32.97730321"
"","2","14","0","52","27.57111285","3.324","","2 ","14","0","52 ","3.74759","1.345 ","","2 ","14","0","52 ","7.3567891581965","2.472 ","","2","14","0","52","0.67","0.5","","4","10","0","272","56.10950844","53.58220535"
"","2","15","0","140","45.47935057","30.058","","2 ","15","0","140 ","3.7899458809381","3.169 ","","2 ","15","0","140 ","12","9.486 ","","2","15","0","140","0.62","0.53","","4","10","0","274","65.28319588","59.09234434"
