"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK Regular Forces Strength ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 2 - Strength of UK Regular Forces by Ethnic Origin and Grouped Rank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Return to Contents ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1 Apr 12","","1 Oct 12","","1 Apr 13","","1 Oct 13","","1 Apr 14","","1 Oct 14","","1 Apr 15","","1 Oct 15","","1 Apr 16","","1 Oct 16","","","","","","","","","","","","","",""
"","","","","","","","Number ","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","","","","179 800","","175 940","","170 710","","166 460","","159 630","","156 630","","153 720","","152 150","","151 000","","150 250","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","12 300","6.9","12 310","7.1","12 030","7.1","11 820","7.2","11 200","7.1","10 960","7.1","10 680","7.0","10 550","7.0","10 490","7.0","10 470","7.0","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","2 220","","2 220","","2 165","","2 090","","2 025","","2 025","","2 020","","2 020","","2 040","","2 060","","","","","","","","","","","","","",""
"","","","","","Asian ","","1 860","","1 925","","1 970","","1 945","","1 955","","2 020","","2 125","","2 215","","2 295","","2 420","","","","","","","","","","","","","",""
"","","","","","Black","","7 285","","7 255","","7 025","","6 955","","6 450","","6 180","","5 840","","5 630","","5 475","","5 315","","","","","","","","","","","","","",""
"","","","","","Other","","0 940","","0 915","","0 875","","0 830","","0 770","","0 735","","0 690","","0 685","","0 680","","0 675","","","","","","","","","","","","","",""
"","","","White","","","","164 750","93.1","161 230","92.9","156 460","92.9","152 450","92.8","146 440","92.9","143 780","92.9","141 540","93.0","140 110","93.0","139 000","93.0","138 360","93.0","","","","","","","","","","","","",""
"","","","Unknown","","","","2 750","*","2 390","*","2 210","*","2 180","*","1 980","*","1 890","*","1 500","*","1 490","*","1 500","*","1 420","*","","","","","","","","","","","","",""
"","Officers","","","","","","30 700","","30 010","","29 060","","28 540","","27 850","","27 680","","27 230","","27 140","","26 820","","27 120","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","0 720","2.4","0 700","2.4","0 670","2.4","0 660","2.4","0 640","2.4","0 630","","0 630","2.3","0 630","2.4","0 630","2.4","0 630","2.4","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","0 315","","0 315","","0 300","","0 300","","0 290","","0 285","","0 290","","0 285","","0 290","","0 285","","","","","","","","","","","","","",""
"","","","","","Asian ","","0 195","","0 180","","0 170","","0 170","","0 165","","0 170","","0 165","","0 165","","0 165","","0 170","","","","","","","","","","","","","",""
"","","","","","Black","","0 120","","0 115","","0 115","","0 105","","0 105","","0 105","","0 105","","0 105","","0 105","","0 110","","","","","","","","","","","","","",""
"","","","","","Other","","0 090","","0 090","","0 085","","0 085","","0 080","","0 075","","0 070","","0 070","","0 070","","0 070","","","","","","","","","","","","","",""
"","","","White","","","","29 060","97.6","28 490","97.6","27 630","97.6","27 160","97.6","26 490","97.6","26 350","97.7","26 080","97.7","26 000","97.6","25 690","97.6","25 980","97.6","","","","","","","","","","","","",""
"","","","Unknown","","","","0 930","*","0 820","*","0 760","*","0 720","*","0 720","*","0 700","*","0 520","*","0 510","*","0 500","*","0 510","*","","","","","","","","","","","","",""
"","","Lieutenant Colonel1 and above ","","","","","5 530","","5 550","","5 300","","5 390","","5 240","","5 300","","5 200","","5 220","","5 140","","5 240","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","0 110","2.1","0 100","1.9","0 100","1.9","0 110","2.0","0 100","2.0","0 100","2.0","0 100","1.9","0 090","1.8","0 090","1.8","0 100","1.9","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","0 045","","0 045","","0 040","","0 045","","0 045","","0 045","","0 045","","0 045","","0 045","","0 045","","","","","","","","","","","","","",""
"","","","","","Asian ","","0 030","","0 025","","0 020","","0 020","","0 020","","0 020","","0 025","","0 020","","0 020","","0 020","","","","","","","","","","","","","",""
"","","","","","Black","","0 010","","0 010","","0 010","","0 010","","0 010","","0 010","","0 010","","0 010","","0 010","","0 010","","","","","","","","","","","","","",""
"","","","","","Other","","0 025","","0 025","","0 025","","0 025","","0 025","","0 020","","0 020","","0 015","","0 015","","0 015","","","","","","","","","","","","","",""
"","","","White","","","","5 280","97.9","5 310","98.1","5 070","98.1","5 150","98.0","5 020","98.0","5 070","98.0","5 000","98.1","5 010","98.2","4 940","98.2","5 030","98.1","","","","","","","","","","","","",""
"","","","Unknown","","","","0 140","*","0 130","*","0 130","*","0 130","*","0 120","*","0 130","*","0 100","*","0 110","*","0 110","*","0 110","*","","","","","","","","","","","","",""
"","","Major and below1","","","","","25 180","","24 450","","23 760","","23 160","","22 610","","22 380","","22 030","","21 920","","21 680","","21 880","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","0 610","2.5","0 600","2.5","0 570","2.5","0 560","2.5","0 540","2.5","0 530","2.4","0 530","2.4","0 530","2.5","0 540","2.5","0 540","2.5","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","0 265","","0 270","","0 260","","0 255","","0 250","","0 240","","0 240","","0 240","","0 245","","0 245","","","","","","","","","","","","","",""
"","","","","","Asian ","","0 165","","0 155","","0 150","","0 145","","0 145","","0 145","","0 145","","0 145","","0 145","","0 145","","","","","","","","","","","","","",""
"","","","","","Black","","0 110","","0 105","","0 105","","0 095","","0 095","","0 095","","0 095","","0 095","","0 090","","0 100","","","","","","","","","","","","","",""
"","","","","","Other","","0 065","","0 065","","0 060","","0 060","","0 055","","0 050","","0 050","","0 055","","0 055","","0 050","","","","","","","","","","","","","",""
"","","","White","","","","23 780","97.5","23 170","97.5","22 560","97.5","22 010","97.5","21 470","97.5","21 280","97.6","21 080","97.6","20 990","97.5","20 750","97.5","20 950","97.5","","","","","","","","","","","","",""
"","","","Unknown","","","","0 790","*","0 680","*","0 640","*","0 590","*","0 600","*","0 570","*","0 420","*","0 400","*","0 390","*","0 400","*","","","","","","","","","","","","",""
"","Other Ranks ","","","","","","149 100","","145 930","","141 650","","137 920","","131 770","","128 950","","126 490","","125 020","","124 180","","123 130","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","11 580","7.9","11 610","8.0","11 360","8.1","11 160","8.2","10 560","8.1","10 320","8.1","10 050","8.0","9 930","8.0","9 860","8.0","9 830","8.0","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","1 910","","1 900","","1 865","","1 790","","1 735","","1 740","","1 730","","1 735","","1 750","","1 770","","","","","","","","","","","","","",""
"","","","","","Asian ","","1 660","","1 745","","1 800","","1 780","","1 790","","1 850","","1 960","","2 050","","2 130","","2 250","","","","","","","","","","","","","",""
"","","","","","Black","","7 160","","7 135","","6 910","","6 850","","6 345","","6 070","","5 735","","5 530","","5 370","","5 205","","","","","","","","","","","","","",""
"","","","","","Other","","0 850","","0 825","","0 785","","0 745","","0 690","","0 660","","0 625","","0 615","","0 610","","0 605","","","","","","","","","","","","","",""
"","","","White","","","","135 690","92.1","132 740","92.0","128 840","91.9","125 290","91.8","119 950","91.9","117 430","91.9","115 460","92.0","114 110","92.0","113 320","92.0","112 380","92.0","","","","","","","","","","","","",""
"","","","Unknown","","","","1 820","*","1 580","*","1 450","*","1 470","*","1 260","*","1 190","*","0 980","*","0 980","*","1 000","*","0 910","*","","","","","","","","","","","","",""
"","","Sergeant and above1","","","","","40 260","","38 970","","38 100","","36 510","","35 370","","34 270","","33 970","","33 500","","34 010","","33 940","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","1 070","2.7","1 110","2.9","1 200","3.2","1 190","3.3","1 270","3.7","1 300","3.9","1 390","4.2","1 450","4.4","1 610","4.8","1 700","5.1","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","0 385","","0 375","","0 375","","0 345","","0 325","","0 320","","0 320","","0 310","","0 320","","0 330","","","","","","","","","","","","","",""
"","","","","","Asian ","","0 180","","0 200","","0 220","","0 225","","0 250","","0 260","","0 290","","0 310","","0 345","","0 355","","","","","","","","","","","","","",""
"","","","","","Black","","0 355","","0 385","","0 460","","0 485","","0 555","","0 590","","0 645","","0 685","","0 790","","0 855","","","","","","","","","","","","","",""
"","","","","","Other","","0 145","","0 145","","0 155","","0 145","","0 140","","0 135","","0 140","","0 145","","0 150","","0 155","","","","","","","","","","","","","",""
"","","","White","","","","38 440","97.3","37 200","97.1","36 250","96.8","34 700","96.7","33 490","96.3","32 360","96.1","32 080","95.8","31 560","95.6","31 910","95.2","31 760","94.9","","","","","","","","","","","","",""
"","","","Unknown","","","","0 740","*","0 660","*","0 650","*","0 610","*","0 620","*","0 600","*","0 500","*","0 490","*","0 490","*","0 480","*","","","","","","","","","","","","",""
"","","Corporal and below1","","","","","108 840","","106 960","","103 550","","101 410","","96 400","","94 680","","92 520","","91 520","","90 170","","89 180","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","10 510","9.8","10 500","9.9","10 160","9.9","9 970","9.9","9 290","9.7","9 020","9.6","8 660","9.4","8 470","9.3","8 250","9.2","8 140","9.2","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","1 520","","1 525","","1 495","","1 445","","1 410","","1 420","","1 415","","1 420","","1 430","","1 440","","","","","","","","","","","","","",""
"","","","","","Asian ","","1 480","","1 545","","1 580","","1 555","","1 540","","1 595","","1 665","","1 740","","1 785","","1 895","","","","","","","","","","","","","",""
"","","","","","Black","","6 805","","6 750","","6 450","","6 365","","5 790","","5 480","","5 090","","4 845","","4 580","","4 350","","","","","","","","","","","","","",""
"","","","","","Other","","0 700","","0 680","","0 630","","0 600","","0 550","","0 525","","0 485","","0 470","","0 460","","0 455","","","","","","","","","","","","","",""
"","","","White","","","","97 250","90.2","95 540","90.1","92 590","90.1","90 590","90.1","86 460","90.3","85 060","90.4","83 390","90.6","82 550","90.7","81 400","90.8","80 620","90.8","","","","","","","","","","","","",""
"","","","Unknown","","","","1 080","*","0 920","*","0 800","*","0 850","*","0 640","*","0 590","*","0 480","*","0 490","*","0 510","*","0 430","*","","","","","","","","","","","","",""
"Royal Navy/Royal Marines","","","","","","","35 540","","34 680","","33 960","","33 520","","33 330","","32 900","","32 740","","32 480","","32 500","","32 500","","","","","","","","","","","","","",""
"","","","Black, Asian and Minority Ethnic","","","","1 230","3.5","1 200","3.5","1 170","3.5","1 150","3.5","1 140","3.5","1 150","3.5","1 140","3.5","1 140","3.5","1 110","3.5","1 130","3.5","","","","","","","","","","","","",""
"","","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Mixed","","0 355","","0 355","","0 340","","0 335","","0 330","","0 335","","0 345","","0 350","","0 350","","0 365","","","","","","","","","","","","","",""
