"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK Regular Forces Strength ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 4 - Strength of UK Regular Forces by Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Return to Contents ","1 Apr 12","","1 Oct 12","","1 Apr 13","","1 Oct 13","","1 Apr 14","","1 Oct 14","","1 Apr 15","","1 Oct 15","","1 Apr 16","","1 Oct 16","","","","","","","",""
"","","","Number ","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","179 800","100.0","175 940","100.0","170 710","100.0","166 460","100.0","159 630","100.0","156 630","100.0","153 720","100.0","152 150","100.0","151 000","100.0","150 250","100.0","","","","","","",""
"","Buddhist","","0 520","0.3","0 530","0.3","0 560","0.3","0 540","0.3","0 550","0.3","0 580","0.4","0 610","0.4","0 660","0.4","0 690","0.5","0 730","0.5","","","","","","",""
"","Christian","","148 550","83.5","143 920","82.6","138 170","81.7","133 170","80.8","126 330","79.8","122 350","78.7","118 640","77.6","115 710","76.5","113 250","75.5","110 870","74.2","","","","","","",""
"","Christian Tradition","","0 260","0.1","0 240","0.1","0 240","0.1","0 230","0.1","0 220","0.1","0 220","0.1","0 210","0.1","0 200","0.1","0 200","0.1","0 210","0.1","","","","","","",""
"","Hindu","","0 820","0.5","0 870","0.5","0 890","0.5","0 870","0.5","0 880","0.6","0 910","0.6","0 960","0.6","0 990","0.7","1 020","0.7","1 060","0.7","","","","","","",""
"","Judaism","","0 080","-","0 080","-","0 070","-","0 070","-","0 060","-","0 060","-","0 070","-","0 070","-","0 070","-","0 070","-","","","","","","",""
"","Muslim","","0 650","0.4","0 650","0.4","0 640","0.4","0 650","0.4","0 600","0.4","0 570","0.4","0 550","0.4","0 530","0.3","0 520","0.3","0 530","0.4","","","","","","",""
"","Sikh","","0 130","0.1","0 140","0.1","0 140","0.1","0 160","0.1","0 160","0.1","0 160","0.1","0 160","0.1","0 160","0.1","0 160","0.1","0 170","0.1","","","","","","",""
"","Other Religions","","0 820","0.5","0 820","0.5","0 790","0.5","0 770","0.5","0 740","0.5","0 740","0.5","0 760","0.5","0 780","0.5","0 790","0.5","0 830","0.6","","","","","","",""
"","No Religion","","26 180","14.7","27 060","15.5","27 670","16.4","28 430","17.2","28 780","18.2","29 820","19.2","30 930","20.2","32 120","21.2","33 380","22.2","34 990","23.4","","","","","","",""
"","Unknown","","1 800","*","1 640","*","1 540","*","1 590","*","1 310","*","1 230","*","0 830","*","0 940","*","0 900","*","0 790","*","","","","","","",""
"Royal Navy/Royal Marines","","","35 540","100.0","34 680","100.0","33 960","100.0","33 520","100.0","33 330","100.0","32 900","100.0","32 740","100.0","32 480","100.0","32 500","100.0","32 500","100.0","","","","","","",""
"","Buddhist","","0 040","0.1","0 040","0.1","0 050","0.1","0 050","0.1","0 040","0.1","0 040","0.1","0 050","0.1","0 050","0.1","0 040","0.1","0 040","0.1","","","","","","",""
"","Christian","","27 930","78.9","26 880","77.8","25 950","76.6","25 210","75.4","24 720","74.3","24 030","73.2","23 570","72.1","23 060","71.1","22 830","70.3","22 540","69.5","","","","","","",""
"","Christian Tradition","","0 080","0.2","0 080","0.2","0 080","0.2","0 080","0.2","0 080","0.2","0 080","0.2","0 070","0.2","0 060","0.2","0 060","0.2","0 070","0.2","","","","","","",""
"","Hindu","","0 020","0.1","0 020","0.1","0 020","0.1","0 020","-","0 020","0.1","0 020","0.1","0 020","0.1","0 020","0.1","0 020","0.1","0 020","0.1","","","","","","",""
"","Judaism","","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","","","","","","",""
"","Muslim","","0 040","0.1","0 040","0.1","0 040","0.1","0 040","0.1","0 040","0.1","0 040","0.1","0 040","0.1","0 040","0.1","0 040","0.1","0 040","0.1","","","","","","",""
"","Sikh","","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","0 010","-","","","","","","",""
"","Other Religions","","0 180","0.5","0 170","0.5","0 170","0.5","0 160","0.5","0 170","0.5","0 170","0.5","0 170","0.5","0 180","0.5","0 180","0.5","0 180","0.6","","","","","","",""
"","No Religion","","7 110","20.1","7 310","21.2","7 550","22.3","7 860","23.5","8 200","24.6","8 430","25.7","8 760","26.8","9 000","27.7","9 270","28.5","9 530","29.4","","","","","","",""
"","Unknown","","0 130","*","0 120","*","0 090","*","0 090","*","0 050","*","0 070","*","0 030","*","0 060","*","0 040","*","0 050","*","","","","","","",""
"Army","","","104 250","100.0","102 760","100.0","99 730","100.0","97 030","100.0","91 070","100.0","89 200","100.0","87 060","100.0","86 080","100.0","85 040","100.0","84 490","100.0","","","","","","",""
"","Buddhist","","0 440","0.4","0 450","0.4","0 470","0.5","0 460","0.5","0 470","0.5","0 490","0.6","0 520","0.6","0 570","0.7","0 590","0.7","0 640","0.8","","","","","","",""
"","Christian","","89 280","85.7","87 020","84.7","83 590","83.9","80 520","83.1","74 950","82.3","72 460","81.3","69 810","80.2","67 990","79.0","66 170","77.9","64 520","76.5","","","","","","",""
"","Christian Tradition","","0 120","0.1","0 120","0.1","0 100","0.1","0 100","0.1","0 090","0.1","0 090","0.1","0 090","0.1","0 090","0.1","0 090","0.1","0 090","0.1","","","","","","",""
"","Hindu","","0 760","0.7","0 820","0.8","0 830","0.8","0 810","0.8","0 820","0.9","0 850","1.0","0 910","1.0","0 930","1.1","0 970","1.1","1 010","1.2","","","","","","",""
"","Judaism","","0 060","0.1","0 050","0.1","0 050","-","0 050","-","0 040","-","0 040","-","0 040","-","0 040","0.1","0 040","0.1","0 050","0.1","","","","","","",""
"","Muslim","","0 550","0.5","0 560","0.5","0 550","0.6","0 560","0.6","0 510","0.6","0 480","0.5","0 460","0.5","0 440","0.5","0 440","0.5","0 440","0.5","","","","","","",""
"","Sikh","","0 090","0.1","0 100","0.1","0 120","0.1","0 130","0.1","0 130","0.1","0 140","0.2","0 130","0.1","0 130","0.2","0 130","0.2","0 140","0.2","","","","","","",""
"","Other Religions","","0 480","0.5","0 490","0.5","0 470","0.5","0 460","0.5","0 440","0.5","0 420","0.5","0 430","0.5","0 450","0.5","0 460","0.5","0 480","0.6","","","","","","",""
"","No Religion","","12 370","11.9","13 090","12.7","13 450","13.5","13 770","14.2","13 560","14.9","14 170","15.9","14 610","16.8","15 360","17.9","16 040","18.9","17 000","20.1","","","","","","",""
"","Unknown","","0 100","*","0 060","*","0 090","*","0 180","*","0 050","*","0 050","*","0 060","*","0 070","*","0 090","*","0 110","*","","","","","","",""
