"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK Regular Forces Intake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 9 - Intake to UK Regular Forces by Ethnic Origin and Nationality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Return to Contents ","","","","","","","","","","","","","","","","","","","","","1 Apr 2016 to","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","31 Mar 12","","30 Sep 12","","31 Mar 13","","30 Sep 13","","31 Mar 14","","30 Sep 14","","31 Mar 15","","30 Sep 15","","31 Mar 16","","30 Sep 16","","30 Sep 2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","12 Months Ending:","Number ","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services","","","","14 800","100.0","14 530","100.0","14 370","100.0","13 390","100.0","11 880","100.0","12 040","100.0","12 980","100.0","13 580","100.0","13 800","100.0","13 650","100.0","7 030","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","1 040","7.3","1 100","7.8","1 110","7.9","0 980","7.5","0 800","7.0","0 710","6.0","0 720","5.7","0 720","5.4","0 700","5.2","0 720","5.4","0 380","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","of which UK","","0 360","34.4","0 360","32.7","0 370","33.3","0 330","34.1","0 300","37.6","0 360","50.8","0 430","59.9","0 480","66.1","0 530","75.3","0 550","76.0","0 280","72.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","of which Non UK","","0 680","65.6","0 740","67.3","0 740","66.7","0 640","65.9","0 500","62.4","0 350","49.2","0 290","40.1","0 240","33.9","0 170","24.7","0 170","24.0","0 100","27.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","White","","","13 290","92.7","13 110","92.2","13 000","92.1","12 000","92.5","10 650","93.0","11 070","94.0","12 040","94.3","12 600","94.6","12 770","94.8","12 580","94.6","6 490","94.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","of which UK","","13 040","98.5","12 850","98.3","12 750","98.3","11 800","98.5","10 510","98.8","10 940","98.9","11 900","99.0","12 450","98.9","12 620","98.9","12 450","99.2","6 440","99.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","of which Non UK","","0 200","1.5","0 220","1.7","0 220","1.7","0 180","1.5","0 130","1.2","0 120","1.1","0 120","1.0","0 130","1.1","0 140","1.1","0 100","0.8","0 040","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Unknown ","","","0 460","*","0 310","*","0 260","*","0 410","*","0 430","*","0 270","*","0 220","*","0 260","*","0 320","*","0 340","*","0 160","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","of which UK","","0 160","95.2","0 110","93.1","0 080","91.4","0 100","95.4","0 140","98.6","0 120","98.3","0 080","97.4","0 110","99.1","0 160","97.0","0 160","96.9","0 070","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
