"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK Regular Forces Outflow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 11 - Outflow from UK Regular Forces by Ethnic Origin ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Return to Contents ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","31 Mar 12","","30 Sep 12","","31 Mar 13","","30 Sep 13","","31 Mar 14","","30 Sep 14","","31 Mar 15","","30 Sep 15","","31 Mar 16","","30 Sep 16","","","","","","","","","","","",""
"","","","","","12 Months Ending:","Number ","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","","","21 370","","22 670","","23 520","","22 880","","23 000","","21 920","","18 910","","18 080","","16 540","","15 580","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 980","4.7","1 070","4.8","1 350","5.9","1 440","6.4","1 620","7.1","1 560","7.2","1 250","6.7","1 130","6.3","0 880","5.4","0 820","5.3","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","0 285","","0 285","","0 280","","0 315","","0 310","","0 260","","0 245","","0 250","","0 235","","0 235","","","","","","","","","","","",""
"","","","","Asian ","","0 110","","0 115","","0 165","","0 235","","0 235","","0 185","","0 160","","0 145","","0 135","","0 105","","","","","","","","","","","",""
"","","","","Black","","0 510","","0 590","","0 800","","0 780","","0 955","","0 995","","0 750","","0 645","","0 460","","0 430","","","","","","","","","","","",""
"","","","","Other","","0 080","","0 085","","0 110","","0 110","","0 115","","0 115","","0 100","","0 085","","0 055","","0 045","","","","","","","","","","","",""
"","","White","","","","19 930","95.3","21 130","95.2","21 690","94.1","21 020","93.6","21 030","92.9","20 060","92.8","17 360","93.3","16 670","93.7","15 420","94.6","14 510","94.7","","","","","","","","","","",""
"","","Unknown","","","","0 450","*","0 460","*","0 480","*","0 420","*","0 350","*","0 300","*","0 300","*","0 290","*","0 240","*","0 250","*","","","","","","","","","","",""
"","Officers","","","","","2 560","","2 960","","3 040","","2 870","","2 640","","2 410","","2 220","","2 270","","2 150","","1 920","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 060","2.3","0 060","2.3","0 080","2.8","0 080","2.7","0 070","2.6","0 060","2.6","0 060","2.7","0 070","3.2","0 070","3.1","0 050","2.8","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","0 020","","0 025","","0 030","","0 030","","0 030","","0 030","","0 025","","0 030","","0 030","","0 025","","","","","","","","","","","",""
"","","","","Asian ","","0 020","","0 025","","0 035","","0 025","","0 015","","0 010","","0 010","","0 020","","0 020","","0 010","","","","","","","","","","","",""
"","","","","Black","","0 005","","0 005","","0 005","","0 010","","0 015","","0 010","","0 005","","0 010","","0 010","","0 010","","","","","","","","","","","",""
"","","","","Other","","0 010","","0 010","","0 005","","0 010","","0 010","","0 010","","0 015","","0 010","","0 005","","~","","","","","","","","","","","",""
"","","White","","","","2 420","97.7","2 790","97.7","2 860","97.2","2 720","97.3","2 510","97.4","2 290","97.4","2 100","97.3","2 140","96.8","2 030","96.9","1 830","97.2","","","","","","","","","","",""
"","","Unknown","","","","0 080","*","0 100","*","0 100","*","0 080","*","0 070","*","0 060","*","0 060","*","0 060","*","0 050","*","0 040","*","","","","","","","","","","",""
"","Other Ranks ","","","","","18 810","","19 710","","20 480","","20 010","","20 350","","19 510","","16 700","","15 810","","14 400","","13 660","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 930","5.0","1 010","5.2","1 270","6.3","1 360","6.9","1 550","7.7","1 490","7.8","1 200","7.3","1 060","6.8","0 820","5.8","0 770","5.7","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","0 265","","0 260","","0 250","","0 290","","0 280","","0 230","","0 220","","0 220","","0 210","","0 210","","","","","","","","","","","",""
"","","","","Asian ","","0 090","","0 090","","0 130","","0 205","","0 220","","0 175","","0 150","","0 125","","0 110","","0 095","","","","","","","","","","","",""
"","","","","Black","","0 500","","0 585","","0 790","","0 770","","0 940","","0 985","","0 745","","0 635","","0 450","","0 425","","","","","","","","","","","",""
"","","","","Other","","0 075","","0 075","","0 100","","0 100","","0 105","","0 100","","0 085","","0 075","","0 050","","0 040","","","","","","","","","","","",""
"","","White","","","","17 510","95.0","18 340","94.8","18 830","93.7","18 310","93.1","18 520","92.3","17 780","92.2","15 260","92.7","14 530","93.2","13 390","94.2","12 670","94.3","","","","","","","","","","",""
"","","Unknown","","","","0 370","*","0 360","*","0 380","*","0 340","*","0 280","*","0 240","*","0 240","*","0 220","*","0 190","*","0 220","*","","","","","","","","","","",""
"Royal Navy/Royal Marines","","","","","","4 320","","4 650","","4 350","","4 070","","3 790","","3 600","","3 520","","3 400","","3 240","","3 150","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 140","3.2","0 130","2.9","0 140","3.3","0 130","3.3","0 110","3.0","0 090","2.5","0 080","2.3","0 090","2.8","0 110","3.7","0 100","3.3","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","0 055","","0 045","","0 045","","0 045","","0 045","","0 035","","0 030","","0 030","","0 045","","0 045","","","","","","","","","","","",""
"","","","","Asian ","","0 015","","0 010","","0 015","","0 015","","0 010","","0 005","","0 005","","0 010","","0 015","","0 010","","","","","","","","","","","",""
"","","","","Black","","0 050","","0 060","","0 065","","0 055","","0 040","","0 035","","0 040","","0 045","","0 045","","0 040","","","","","","","","","","","",""
"","","","","Other","","0 015","","0 015","","0 015","","0 015","","0 010","","0 010","","0 005","","0 010","","0 010","","0 005","","","","","","","","","","","",""
"","","White","","","","4 060","96.8","4 400","97.1","4 080","96.7","3 800","96.7","3 530","97.0","3 400","97.5","3 320","97.7","3 180","97.2","3 000","96.3","2 900","96.7","","","","","","","","","","",""
"","","Unknown","","","","0 130","*","0 110","*","0 140","*","0 140","*","0 140","*","0 120","*","0 110","*","0 120","*","0 130","*","0 150","*","","","","","","","","","","",""
"","Officers","","","","","0 570","","0 610","","0 590","","0 580","","0 520","","0 470","","0 480","","0 510","","0 470","","0 430","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 010","1.1","0 010","1.2","0 010","1.9","0 010","1.9","0 010","2.6","0 010","2.9","0 010","1.5","0 010","1.6","0 010","3.1","0 010","3.1","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","~","","~","","~","","~","","0 010","","0 005","","~","","~","","~","","0 005","","","","","","","","","","","",""
"","","","","Asian ","","~","","~","","~","","~","","~","","~","","~","","~","","~","","~","","","","","","","","","","","",""
"","","","","Black","","~","","-","","~","","~","","~","","~","","~","","-","","~","","~","","","","","","","","","","","",""
"","","","","Other","","-","","~","","~","","~","","~","","~","","~","","~","","~","","~","","","","","","","","","","","",""
"","","White","","","","0 550","98.9","0 580","98.8","0 560","98.1","0 560","98.1","0 480","97.4","0 440","97.1","0 460","98.5","0 480","98.4","0 440","96.9","0 410","96.9","","","","","","","","","","",""
"","","Unknown","","","","0 020","*","0 020","*","0 010","*","0 020","*","0 020","*","0 010","*","0 010","*","0 010","*","0 010","*","0 010","*","","","","","","","","","","",""
"","Other Ranks","","","","","3 750","","4 040","","3 760","","3 490","","3 270","","3 130","","3 040","","2 890","","2 770","","2 720","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 130","3.5","0 130","3.2","0 130","3.5","0 120","3.5","0 100","3.0","0 070","2.4","0 070","2.5","0 080","3.0","0 100","3.8","0 090","3.4","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","0 050","","0 040","","0 040","","0 040","","0 035","","0 030","","0 025","","0 030","","0 040","","0 035","","","","","","","","","","","",""
"","","","","Asian ","","0 015","","0 010","","0 010","","0 010","","0 010","","0 005","","~","","~","","0 010","","0 005","","","","","","","","","","","",""
"","","","","Black","","0 050","","0 060","","0 060","","0 050","","0 040","","0 030","","0 040","","0 045","","0 045","","0 040","","","","","","","","","","","",""
"","","","","Other","","0 015","","0 015","","0 015","","0 010","","0 010","","0 005","","~","","0 005","","~","","~","","","","","","","","","","","",""
"","","White","","","","3 510","96.5","3 820","96.8","3 510","96.5","3 240","96.5","3 050","97.0","2 960","97.6","2 870","97.5","2 700","97.0","2 560","96.2","2 490","96.6","","","","","","","","","","",""
"","","Unknown","","","","0 110","*","0 100","*","0 120","*","0 130","*","0 130","*","0 100","*","0 100","*","0 110","*","0 110","*","0 140","*","","","","","","","","","","",""
"Army","","","","","","13 200","","13 730","","14 890","","14 790","","15 740","","15 100","","12 210","","11 720","","10 630","","9 950","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 760","5.8","0 850","6.3","1 140","7.7","1 230","8.4","1 440","9.2","1 420","9.4","1 110","9.1","0 960","8.2","0 720","6.8","0 660","6.7","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","0 190","","0 190","","0 210","","0 245","","0 240","","0 195","","0 185","","0 190","","0 170","","0 165","","","","","","","","","","","",""
"","","","","Asian ","","0 075","","0 085","","0 130","","0 205","","0 215","","0 165","","0 140","","0 115","","0 100","","0 085","","","","","","","","","","","",""
"","","","","Black","","0 440","","0 515","","0 720","","0 705","","0 900","","0 955","","0 705","","0 590","","0 405","","0 380","","","","","","","","","","","",""
"","","","","Other","","0 055","","0 060","","0 080","","0 080","","0 095","","0 100","","0 080","","0 070","","0 040","","0 030","","","","","","","","","","","",""
"","","White","","","","12 290","94.2","12 750","93.7","13 650","92.3","13 490","91.6","14 240","90.8","13 620","90.6","11 030","90.9","10 700","91.8","9 870","93.2","9 240","93.3","","","","","","","","","","",""
"","","Unknown","","","","0 150","*","0 120","*","0 100","*","0 060","*","0 060","*","0 060","*","0 070","*","0 060","*","0 040","*","0 050","*","","","","","","","","","","",""
"","Officers","","","","","1 240","","1 390","","1 460","","1 490","","1 480","","1 360","","1 140","","1 150","","1 120","","1 010","","","","","","","","","","","",""
"","","Black, Asian and Minority Ethnic","","","","0 030","2.3","0 040","2.9","0 050","3.6","0 050","3.1","0 040","2.7","0 040","2.7","0 030","2.5","0 030","2.9","0 030","2.9","0 020","2.5","","","","","","","","","","",""
"","","","of which ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Mixed","","0 010","","0 010","","0 020","","0 020","","0 015","","0 015","","0 015","","0 015","","0 015","","0 010","","","","","","","","","","","",""
"","","","","Asian ","","0 010","","0 015","","0 025","","0 020","","0 015","","0 010","","~","","0 010","","0 010","","0 005","","","","","","","","","","","",""
"","","","","Black","","~","","~","","~","","~","","0 010","","0 005","","~","","~","","0 005","","~","","","","","","","","","","","",""
"","","","","Other","","~","","0 005","","~","","~","","~","","0 005","","0 010","","~","","~","","~","","","","","","","","","","","",""
"","","White","","","","1 200","97.7","1 330","97.1","1 400","96.4","1 440","96.9","1 430","97.3","1 310","97.3","1 100","97.5","1 100","97.1","1 080","97.1","0 980","97.5","","","","","","","","","","",""
