"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK Regular Forces Outflow","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 13 - Outflow from UK Regular Forces by Ethnic Origin and Nationality","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Return to Contents ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","31 Mar 12","","30 Sep 12","","31 Mar 13","","30 Sep 13","","31 Mar 14","","30 Sep 14","","31 Mar 15","","30 Sep 15","","31 Mar 16","","30 Sep 16","","","","","",""
"","","","","Number ","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services","","","","21 370","","22 670","","23 520","","22 880","","23 000","","21 920","","18 910","","18 080","","16 540","","15 580","","","","","",""
"","Black, Asian and Minority Ethnic","","","0 980","4.7","1 070","4.8","1 350","5.9","1 440","6.4","1 620","7.1","1 560","7.2","1 250","6.7","1 130","6.3","0 880","5.4","0 820","5.3","","","","",""
"","","of which UK","","0 550","56.4","0 590","54.7","0 650","48.1","0 680","47.4","0 680","42.4","0 600","38.9","0 540","43.2","0 560","49.3","0 510","57.6","0 490","59.8","","","","",""
"","","of which Non UK","","0 430","43.6","0 490","45.3","0 700","51.9","0 760","52.6","0 930","57.6","0 950","61.1","0 710","56.8","0 570","50.7","0 380","42.4","0 330","40.2","","","","",""
"","White","","","19 930","95.3","21 130","95.2","21 690","94.1","21 020","93.6","21 030","92.9","20 060","92.8","17 360","93.3","16 670","93.7","15 420","94.6","14 510","94.7","","","","",""
"","","of which UK","","19 710","99.0","20 930","99.1","21 470","99.0","20 810","99.0","20 820","99.1","19 870","99.1","17 180","99.0","16 480","98.9","15 250","99.0","14 360","99.0","","","","",""
"","","of which Non UK","","0 190","1.0","0 190","0.9","0 210","1.0","0 200","1.0","0 200","0.9","0 190","0.9","0 170","1.0","0 180","1.1","0 160","1.0","0 140","1.0","","","","",""
"","Unknown ","","","0 450","*","0 460","*","0 480","*","0 420","*","0 350","*","0 300","*","0 300","*","0 290","*","0 240","*","0 250","*","","","","",""
"","","of which UK","","0 300","99.0","0 350","96.4","0 350","96.2","0 300","97.4","0 220","97.3","0 180","98.9","0 170","98.8","0 150","98.7","0 120","98.3","0 100","96.3","","","","",""
"","","of which Non UK","","~","-","0 010","3.6","0 010","3.8","0 010","2.6","0 010","2.7","~","-","~","-","~","-","~","-","~","-","","","","",""
"Royal Navy/Royal Marines","","","","4 320","","4 650","","4 350","","4 070","","3 790","","3 600","","3 520","","3 400","","3 240","","3 150","","","","","",""
"","Black, Asian and Minority Ethnic","","","0 140","3.2","0 130","2.9","0 140","3.3","0 130","3.3","0 110","3.0","0 090","2.5","0 080","2.3","0 090","2.8","0 110","3.7","0 100","3.3","","","","",""
"","","of which UK","","0 090","67.2","0 080","60.2","0 080","61.6","0 080","65.6","0 080","69.4","0 060","75.6","0 050","63.8","0 060","59.8","0 080","70.2","0 070","73.0","","","","",""
"","","of which Non UK","","0 040","32.8","0 050","39.8","0 050","38.4","0 040","34.4","0 030","30.6","0 020","24.4","0 030","36.3","0 040","40.2","0 030","29.8","0 030","27.0","","","","",""
"","White","","","4 060","96.8","4 400","97.1","4 080","96.7","3 800","96.7","3 530","97.0","3 400","97.5","3 320","97.7","3 180","97.2","3 000","96.3","2 900","96.7","","","","",""
"","","of which UK","","4 010","99.1","4 360","99.2","4 050","99.3","3 770","99.3","3 500","99.2","3 370","99.3","3 290","99.1","3 150","98.9","2 980","99.2","2 880","99.3","","","","",""
"","","of which Non UK","","0 040","0.9","0 030","0.8","0 030","0.7","0 030","0.7","0 030","0.8","0 020","0.7","0 030","0.9","0 030","1.1","0 020","0.8","0 020","0.7","","","","",""
"","Unknown ","","","0 130","*","0 110","*","0 140","*","0 140","*","0 140","*","0 120","*","0 110","*","0 120","*","0 130","*","0 150","*","","","","",""
"","","of which UK","","0 070","97.1","0 070","91.4","0 080","91.9","0 060","93.9","0 040","92.5","0 030","100.0","0 030","100.0","0 030","96.7","0 030","93.1","0 040","94.6","","","","",""
"","","of which Non UK","","~","-","0 010","8.6","0 010","8.1","~","-","~","-","-","-","-","-","~","-","~","-","~","-","","","","",""
"Army","","","","13 200","","13 730","","14 890","","14 790","","15 740","","15 100","","12 210","","11 720","","10 630","","9 950","","","","","",""
"","Black, Asian and Minority Ethnic","","","0 760","5.8","0 850","6.3","1 140","7.7","1 230","8.4","1 440","9.2","1 420","9.4","1 110","9.1","0 960","8.2","0 720","6.8","0 660","6.7","","","","",""
"","","of which UK","","0 380","50.0","0 420","49.4","0 490","43.1","0 520","42.4","0 550","38.0","0 490","34.6","0 430","38.7","0 430","44.7","0 380","52.8","0 360","55.1","","","","",""
"","","of which Non UK","","0 380","50.0","0 430","50.6","0 650","56.9","0 710","57.6","0 900","62.0","0 930","65.4","0 680","61.3","0 530","55.3","0 340","47.2","0 300","44.9","","","","",""
"","White","","","12 290","94.2","12 750","93.7","13 650","92.3","13 490","91.6","14 240","90.8","13 620","90.6","11 030","90.9","10 700","91.8","9 870","93.2","9 240","93.3","","","","",""
"","","of which UK","","12 130","98.8","12 600","98.8","13 470","98.7","13 320","98.7","14 070","98.8","13 470","98.9","10 900","98.8","10 560","98.7","9 740","98.7","9 120","98.7","","","","",""
"","","of which Non UK","","0 150","1.2","0 150","1.2","0 180","1.3","0 170","1.3","0 160","1.2","0 160","1.1","0 130","1.2","0 140","1.3","0 130","1.3","0 120","1.3","","","","",""
"","Unknown ","","","0 150","*","0 120","*","0 100","*","0 060","*","0 060","*","0 060","*","0 070","*","0 060","*","0 040","*","0 050","*","","","","",""
"","","of which UK","","0 060","98.4","0 050","90.7","0 040","90.0","0 030","96.6","0 030","93.3","0 030","93.8","0 020","92.3","0 020","94.1","0 010","100.0","0 020","89.5","","","","",""
"","","of which Non UK","","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","-","-","~","-","","","","",""
"Royal Air Force","","","","3 850","","4 300","","4 280","","4 020","","3 480","","3 220","","3 180","","2 970","","2 680","","2 480","","","","","",""
"","Black, Asian and Minority Ethnic","","","0 090","2.4","0 090","2.1","0 080","1.9","0 080","2.0","0 060","1.9","0 050","1.7","0 060","2.1","0 070","2.5","0 060","2.1","0 060","2.3","","","","",""
"","","of which UK","","0 080","94.4","0 090","98.9","0 070","98.7","0 070","97.4","0 060","98.4","0 050","94.4","0 060","93.8","0 070","97.2","0 050","94.5","0 050","91.2","","","","",""
"","","of which Non UK","","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","","","","",""
"","White","","","3 590","97.6","3 980","97.9","3 960","98.1","3 740","98.0","3 260","98.1","3 040","98.3","3 000","97.9","2 790","97.5","2 550","97.9","2 370","97.7","","","","",""
"","","of which UK","","3 570","99.8","3 970","99.9","3 950","99.9","3 730","99.9","3 250","99.9","3 030","99.8","2 990","99.6","2 780","99.7","2 540","99.9","2 360","99.7","","","","",""
"","","of which Non UK","","0 010","0.2","~","-","~","-","~","-","~","-","0 010","0.2","0 010","0.4","0 010","0.3","~","-","~","-","","","","",""
"","Unknown ","","","0 170","*","0 230","*","0 240","*","0 210","*","0 160","*","0 120","*","0 120","*","0 110","*","0 080","*","0 050","*","","","","",""
"","","of which UK","","0 170","100.0","0 220","99.6","0 240","98.8","0 210","98.6","0 150","99.4","0 120","100.0","0 120","100.0","0 110","100.0","0 080","100.0","0 050","100.0","","","","",""
"","","of which Non UK","","-","-","~","-","~","-","~","-","~","-","-","-","-","-","-","-","-","-","-","-","","","","",""
"1","UK Nationality includes any individuals whose nationality is recorded on the Joint Personnel Administration (JPA) system as Anguilla, Bermuda, British, British Hong Kong, British Overseas Territories, British Antarctic Territory, British Indian Ocean Territory, British Virgin Islands, Cayman Islands, Falkland Islands, Gibraltar, Montserrat, Pitcairn Islands, Saint Helena, Ascension and Tristan da Cunha,  South Georgia and the South Sandwich Islands or Turks and Caicos Islands. More details can be found on the gov.uk website https://www.gov.uk/types-of-british-nationality/british-overseas-territories-citizen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.","Unknown includes those with an unrecorded ethnic origin and those who chose not to declare. ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.","Percentages are based on those with a known ethnicity. Percentages of UK and Non-UK nationalities are based on those with a known Nationality. Figures for UK and Non-UK do not sum to the total because unknown Nationalities are not reported.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
