"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future Reserves 2020 Strength","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 16 -Strength of Future Reserves 2020 by Age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Return to Contents ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","1 Apr 12","","","1 Oct 12","","","1 Apr 13","","","","1 Oct 13","","","1 Apr 14","","","","1 Oct 14","","","1 Apr 15","","","1 Oct 15","","","1 Apr 16","","","","1 Oct 16",""
"","","","","Number ","","%","Number ","","% ","Number ","","% ","","Number ","","%","Number ","","%","","Number ","","%","Number ","","%","Number ","","%","Number ","","%","","Number ","%"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","..","","","29 760","","","29 390","","","","28 350","","","28 150","","","","28 470","","","30 810","","","33 280","","","34 760","","","","35 540",""
"","","Under 18","","..","","..","0 060","","0.2","0 030","","0.1","","0 040","","0.1","0 070","","0.2","","0 070","","0.3","0 060","","0.2","0 080","","0.3","0 080","r","0.2","r","0 070","0.2"
"","","18 and 19","","..","","..","1 010","","3.4","0 890","","3.0","","0 600","","2.1","0 400","","1.4","","0 390","","1.4","0 570","","1.9","0 740","","2.2","0 700","r","2.0","r","0 670","1.9"
"","","20-24","","..","","..","4 400","","14.8","4 300","","14.6","","3 900","","13.8","3 680","","13.1","","3 550","","12.5","3 960","","12.8","4 340","","13.1","4 550","r","13.1","r","4 530","12.8"
"","","25-29","","..","","..","4 350","","14.6","4 340","","14.8","","4 190","","14.8","4 280","","15.2","","4 450","","15.6","5 040","","16.4","5 590","","16.8","5 930","r","17.1","r","6 090","17.1"
"","","30-34","","..","","..","3 860","","13.0","3 820","","13.0","","3 770","","13.3","3 820","","13.6","","3 910","","13.7","4 320","","14.0","4 760","","14.3","5 060","r","14.6","r","5 180","14.6"
"","","35-39","","..","","..","3 510","","11.8","3 400","","11.6","","3 290","","11.6","3 290","","11.7","","3 380","","11.9","3 610","","11.7","3 840","","11.5","4 000","r","11.5","r","4 120","11.6"
"","","40-44","","..","","..","4 310","","14.5","4 270","","14.5","","4 110","","14.5","4 000","","14.2","","3 980","","14.0","4 190","","13.6","4 370","","13.1","4 410","r","12.7","r","4 410","12.4"
"","","45-49","","..","","..","4 210","","14.1","4 200","","14.3","","4 210","","14.8","4 220","","15.0","","4 230","","14.8","4 300","","14.0","4 500","","13.5","4 640","r","13.4","","4 730","13.3"
"","","50-54","","..","","..","2 860","","9.6","2 930","","10.0","","2 980","","10.5","2 990","","10.6","","3 050","","10.7","3 160","","10.3","3 280","","9.9","3 470","r","10.0","r","3 640","10.2"
"","","55-59","","..","","..","1 080","","3.6","1 080","","3.7","","1 120","","3.9","1 220","","4.3","","1 300","","4.6","1 420","","4.6","1 570","","4.7","1 650","r","4.7","r","1 800","5.1"
"","","60 and over","","..","","..","0 120","","0.4","0 140","","0.5","","0 140","","0.5","0 170","r","0.6","","0 160","","0.6","0 170","","0.6","0 200","","0.6","0 250","r","0.7","r","0 290","0.8"
"","Average Age","","","..","","","0 036","","","0 036","r","","","0 037","","","0 037","","","","0 037","","","0 037","","","0 036","r","","0 036","r","","","0 036",""
"","Officers","","","..","","","5 270","","","5 340","","","","5 360","","","5 480","","","","5 580","","","5 740","","","6 040","","","6 280","","","","6 450",""
"","","Under 18","","..","","..","-","","-","-","","-","","-","","-","-","","-","","-","","-","-","","-","-","","-","-","","-","","-","-"
"","","18 and 19","","..","","..","~","","-","0 010","","0.2","","0 010","","0.2","~","","-","","0 010","","0.2","0 020","","0.3","0 020","","0.4","0 020","r","0.3","r","0 020","0.3"
"","","20-24","","..","","..","0 210","","4.0","0 240","","4.4","","0 220","","4.0","0 230","","4.1","","0 230","","4.1","0 250","","4.4","0 320","","5.3","0 360","r","5.8","r","0 360","5.5"
"","","25-29","","..","","..","0 330","","6.3","0 330","","6.2","","0 330","","6.1","0 330","","6.1","","0 350","","6.3","0 380","","6.6","0 420","","7.0","0 460","r","7.3","r","0 470","7.3"
"","","30-34","","..","","..","0 550","","10.5","0 560","","10.4","","0 560","","10.5","0 600","","10.9","","0 620","","11.0","0 630","","11.0","0 650","","10.8","0 670","r","10.7","r","0 700","10.8"
"","","35-39","","..","","..","0 600","","11.4","0 590","","11.1","","0 600","","11.2","0 610","","11.2","","0 630","","11.4","0 630","","11.0","0 680","","11.2","0 700","","11.1","r","0 740","11.4"
"","","40-44","","..","","..","0 780","","14.9","0 780","","14.6","","0 760","","14.1","0 760","","13.9","","0 750","","13.4","0 760","","13.2","0 760","","12.5","0 760","r","12.2","r","0 770","12.0"
