"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future Reserves 2020 Strength ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 18 - Strength of Future Reserves 2020 by Nationality ","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","",""
"","","","Return to Contents ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","1 Apr 12","","1 Oct 12","","1 Apr 13","","1 Oct 13","","1 Apr 14","","1 Oct 14","","","1 Apr 15","","1 Oct 15","","1 Apr 16","","","1 Oct 16",""
"","","","","Number ","%","Number","%","Number ","% ","Number ","% ","Number ","%","Number ","","%","Number ","%","Number ","%","Number ","","%","Number ","%"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","..","","29 760","","29 390","","28 350","","28 150","","28 470","","","30 810","","33 280","","34 760","","","35 540",""
"","UK","","","..","..","29 020","98.2","28 680","98.2","27 710","98.3","27 500","98.2","27 840","","98.2","30 180","98.4","32 530","98.4","33 970","","98.3","34 750","98.3"
"","Non-UK","","","..","..","0 520","1.8","0 520","1.8","0 490","1.7","0 500","1.8","0 500","","1.8","0 490","1.6","0 540","1.6","0 590","","1.7","0 600","1.7"
"","","Irish and Commonwealth","","..","","0 490","","0 490","","0 450","","0 440","","0 440","","","0 420","","0 450","","0 490","r","","0 510",""
"","","Other Foreign","","..","","0 030","","0 030","","0 040","","0 060","","0 070","","","0 070","","0 090","","0 100","","","0 090",""
"","Unknown","","","..","","0 210","*","0 190","*","0 150","*","0 150","*","0 130","","*","0 150","*","0 200","*","0 200","","*","0 180","*"
"","Officers","","","..","","5 270","","5 340","","5 360","","5 480","","5 580","","","5 740","","6 040","","6 280","","","6 450",""
"","UK","","","..","..","5 200","98.8","5 270","98.8","5 290","98.9","5 410","98.8","5 500","","98.7","5 660","98.8","5 960","98.8","6 200","","98.9","6 360","98.8"
"","Non-UK","","","..","..","0 060","1.2","0 060","1.2","0 060","1.1","0 070","1.2","0 070","","1.3","0 070","1.2","0 070","1.2","0 070","","1.1","0 080","1.2"
"","","Irish and Commonwealth","","..","","0 060","","0 050","","0 050","","0 060","","0 060","","","0 060","","0 060","","0 060","","","0 060",""
"","","Other Foreign","","..","","0 010","","0 010","","0 010","","0 010","","0 010","","","0 010","","0 010","","0 010","","","0 010",""
"","Unknown","","","..","","0 010","*","0 010","*","~","*","~","*","~","","*","0 010","*","0 010","*","0 010","","*","0 010","*"
"","Other Ranks ","","","..","","24 490","","24 050","","22 990","","22 660","","22 890","","","25 080","","27 230","","28 480","","","29 090",""
"","UK","","","..","..","23 830","98.1","23 420","98.1","22 410","98.1","22 080","98.1","22 340","","98.1","24 520","98.3","26 570","98.3","27 780","","98.2","28 390","98.2"
"","Non-UK","","","..","..","0 460","1.9","0 450","1.9","0 430","1.9","0 440","1.9","0 430","","1.9","0 420","1.7","0 470","1.7","0 520","","1.8","0 520","1.8"
"","","Irish and Commonwealth","","..","","0 440","","0 430","","0 400","","0 390","","0 380","","","0 360","","0 390","","0 430","","","0 440",""
"","","Other Foreign","","..","","0 020","","0 020","","0 030","","0 050","","0 060","r","","0 060","","0 080","","0 090","","","0 080",""
"","Unknown","","","..","","0 210","*","0 180","*","0 150","*","0 150","*","0 120","","*","0 140","*","0 190","*","0 190","","*","0 170","*"
"","Maritime Reserve ","","","..","","2 570","","2 610","","2 600","","2 850","","2 970","","","3 160","","3 430","","3 540","","","3 480",""
"","UK","","","..","..","2 480","99.3","2 550","99.3","2 570","99.4","2 800","99.4","2 940","","99.5","3 120","99.5","3 340","99.3","3 430","","99.3","3 390","99.3"
"","Non-UK","","","..","..","0 020","0.7","0 020","0.7","0 020","0.6","0 020","0.6","0 020","","0.5","0 020","0.5","0 020","0.7","0 020","","0.7","0 020","0.7"
"","","Irish and Commonwealth","","..","","0 020","","0 020","","0 010","","0 020","","0 020","","","0 010","","0 020","","0 020","","","0 020",""
"","","Other Foreign","","..","","-","","-","","~","","~","","~","","","~","","~","","~","","","~",""
"","Unknown","","","..","","0 070","*","0 040","*","0 020","*","0 030","*","0 020","","*","0 020","*","0 060","*","0 080","","*","0 060","*"
"","Officers","","","..","","0 810","","0 820","","0 830","","0 840","","0 880","","","0 900","","0 990","","1 040","","","1 090",""
"","UK","","","..","..","0 800","99.9","0 810","99.9","0 820","99.9","0 840","99.9","0 880","","99.9","0 900","99.7","0 980","99.7","1 040","","99.7","1 090","99.7"
"","Non-UK","","","..","..","~","-","~","-","~","-","~","-","~","","-","~","-","~","-","~","","-","~","-"
"","","Irish and Commonwealth","","..","","~","","~","","~","","~","","~","","","~","","~","","~","","","~",""
"","","Other Foreign","","..","","-","","-","","-","","-","","-","","","-","","-","","-","","","-",""
"","Unknown","","","..","","~","*","~","*","~","*","-","*","~","","*","~","*","0 010","*","~","","*","~","*"
"","Other Ranks ","","","..","","1 760","","1 790","","1 780","","2 000","","2 090","","","2 250","","2 440","","2 500","","","2 380",""
