"","","","","","","","","","","","","","","","","","","","",""
"Future Reserves 2020 Intake","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Table 21 - Intake to Future Reserves 2020 by Gender","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","Glossary of terms","","","","","","","","","","","","","","","","",""
"","","","Return to Contents ","","","","","","","","","","","","","","","","",""
"","","","","31 Mar 13","","30 Sep 13","","31 Mar 14","","30 Sep 14","","31 Mar 15","","30 Sep 15","","31 Mar 16","","30 Sep 16","",""
"","","","12 Months Ending:","Number ","%","Number","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%",""
"","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","..","","4 070","","4 120","","5 160","","6 810","","8 520","","8 200","","7 240","",""
"","","of which female","","..","..","0 480","11.9","0 510","12.3","0 640","12.5","0 920","13.5","1 160","13.7","1 140","13.9","1 060","14.6",""
"","","of which male","","..","..","3 580","88.1","3 610","87.7","4 520","87.5","5 890","86.5","7 360","86.3","7 060","86.1","6 180","85.4",""
"","Officers","","","..","","0 520","","0 580","","0 660","","0 730","","0 870","","0 870","","0 800","",""
"","","of which female","","..","..","0 070","14.1","0 090","15.6","0 110","16.1","0 130","18.1","0 150","17.7","0 140","16.1","0 130","16.9",""
"","","of which male","","..","..","0 450","85.9","0 490","84.4","0 550","83.9","0 600","81.9","0 720","82.3","0 730","83.9","0 660","83.1",""
"","Other Ranks ","","","..","","3 540","","3 540","","4 500","","6 080","","7 650","","7 330","","6 450","",""
"","","of which female","","..","..","0 410","11.6","0 420","11.8","0 540","12.0","0 790","12.9","1 010","13.2","1 000","13.6","0 930","14.4",""
"","","of which male","","..","..","3 130","88.4","3 120","88.2","3 960","88.0","5 290","87.1","6 640","86.8","6 330","86.4","5 520","85.6",""
"Maritime Reserve","","","","..","","0 510","","0 680","","0 830","","0 860","","1 050","","1 060","","0 960","",""
"","","of which female","","..","..","0 060","12.7","0 100","15.4","0 140","17.5","0 150","17.7","0 180","17.4","0 180","17.0","0 170","18.0",""
"","","of which male","","..","..","0 450","87.3","0 570","84.6","0 680","82.5","0 710","82.3","0 860","82.6","0 880","83.0","0 780","82.0",""
"","Officers","","","..","","0 070","","0 080","","0 110","","0 120","","0 140","","0 140","","0 140","",""
"","","of which female","","..","..","0 010","14.1","0 010","12.3","0 010","7.3","0 010","11.8","0 020","12.5","0 020","11.7","0 020","14.3",""
"","","of which male","","..","..","0 060","85.9","0 070","87.7","0 100","92.7","0 100","88.2","0 120","87.5","0 120","88.3","0 120","85.7",""
"","Other Ranks","","","..","","0 440","","0 600","","0 720","","0 740","","0 910","","0 920","","0 820","",""
"","","of which female","","..","..","0 060","12.4","0 090","15.8","0 140","19.1","0 140","18.7","0 160","18.1","0 160","17.8","0 150","18.6",""
"","","of which male","","..","..","0 390","87.6","0 500","84.2","0 580","80.9","0 600","81.3","0 740","81.9","0 760","82.2","0 660","81.4",""
"Army Reserve ","","","","3 960","","3 200","","2 960","","3 760","","5 210","","6 530","","6 260","","5 560","",""
"","","of which female","","0 450","11.4","0 360","11.4","0 330","11.1","0 410","10.9","0 620","11.8","0 770","11.8","0 770","12.3","0 720","13.0",""
"","","of which male","","3 510","88.6","2 840","88.6","2 630","88.9","3 360","89.1","4 590","88.2","5 750","88.2","5 500","87.7","4 830","87.0",""
"","Officers","","","0 380","","0 400","","0 410","","0 460","","0 540","","0 640","","0 660","","0 600","",""
"","","of which female","","0 050","12.8","0 050","12.4","0 060","14.1","0 080","16.2","0 100","18.0","0 110","17.5","0 110","16.2","0 100","16.6",""
"","","of which male","","0 330","87.2","0 350","87.6","0 350","85.9","0 390","83.8","0 440","82.0","0 530","82.5","0 550","83.8","0 500","83.4",""
"","Other Ranks","","","3 590","","2 800","","2 550","","3 300","","4 670","","5 890","","5 610","","4 950","",""
