"","","","","","","","","","","","","","","","","","","","","","","","",""
"Intake into Future Reserves 2020 by Ethnicity","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 22 - Intake to Future Reserves 2020 by Ethnicity","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Glossary of terms","","","","","","","","","","","","","","","","","","",""
"","","","","","Return to Contents ","","","","","","","","","","","","","","","","","","",""
"","","","","","","31 Mar 13","","30 Sep 13","","31 Mar 14","","30 Sep 14","","31 Mar 15","","30 Sep 15","","31 Mar 16","","","30 Sep 16","","",""
"","","","","","12 Months Ending:","Number ","%","Number","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","","%","Number ","%","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","","","..","","4 070","","4 120","","5 160","","6 810","","8 520","","8 200","","","7 240","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","0 210","5.6","0 220","5.5","0 270","5.6","0 340","5.3","0 450","5.7","0 490","","6.4","0 430","6.5","",""
"","","of which White ","","","","..","..","3 590","94.4","3 660","94.5","4 550","94.4","5 950","94.7","7 460","94.3","7 160","","93.6","6 280","93.5","",""
"","","of which Unknown ","","","","..","..","0 260","*","0 240","*","0 340","*","0 520","*","0 610","*","0 550","","*","0 530","*","",""
"","Officers","","","","","..","","0 520","","0 580","","0 660","","0 730","","0 870","","0 870","","","0 800","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","0 020","3.8","0 020","3.3","0 020","3.2","0 020","2.8","0 030","3.7","0 030","","4.0","0 030","4.0","",""
"","","of which White ","","","","..","..","0 490","96.2","0 540","96.7","0 600","96.8","0 660","97.2","0 790","96.3","0 790","","96.0","0 720","96.0","",""
"","","of which Unknown ","","","","..","..","0 020","*","0 030","*","0 040","*","0 040","*","0 050","*","0 040","","*","0 040","*","",""
"","Other Ranks ","","","","","..","","3 540","","3 540","","4 500","","6 080","","7 650","","7 330","","","6 450","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","0 200","5.9","0 200","5.9","0 250","6.0","0 320","5.7","0 420","5.9","0 460","","6.7","0 400","6.8","",""
"","","of which White ","","","","..","..","3 100","94.1","3 130","94.1","3 950","94.0","5 290","94.3","6 680","94.1","6 360","","93.3","5 560","93.2","",""
"","","of which Unknown ","","","","..","..","0 240","*","0 220","*","0 300","*","0 470","*","0 560","*","0 510","","*","0 490","*","",""
"Maritime Reserve ","","","","","","..","","0 510","","0 680","","0 830","","0 860","","1 050","","1 060","","","0 960","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","0 020","3.7","0 020","4.2","0 030","3.6","0 020","2.3","0 030","3.4","0 040","","4.3","0 030","3.4","",""
"","","of which White ","","","","..","..","0 390","96.3","0 570","95.8","0 700","96.4","0 690","97.7","0 820","96.6","0 850","","95.7","0 780","96.6","",""
"","","of which Unknown ","","","","..","..","0 100","*","0 080","*","0 100","*","0 160","*","0 190","*","0 180","","*","0 150","*","",""
"","Officers","","","","","..","","0 070","","0 080","","0 110","","0 120","","0 140","","0 140","","","0 140","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","~","-","~","-","~","-","~","-","~","-","~","","-","~","-","",""
"","","of which White ","","","","..","..","0 060","96.9","0 070","94.7","0 100","95.0","0 110","98.2","0 120","99.2","0 120","","98.4","0 130","97.7","",""
"","","of which Unknown ","","","","..","..","0 010","*","0 010","*","0 010","*","0 010","*","0 010","*","0 010","","*","0 010","*","",""
"","Other Ranks","","","","","..","","0 440","","0 600","","0 720","","0 740","","0 910","","0 920","","","0 820","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","0 010","3.8","0 020","4.1","0 020","3.4","0 010","2.3","0 030","3.8","0 040","","4.7","0 020","3.6","",""
"","","of which White ","","","","..","..","0 330","96.2","0 500","95.9","0 600","96.6","0 580","97.7","0 700","96.2","0 730","","95.3","0 640","96.4","",""
"","","of which Unknown ","","","","..","..","0 100","*","0 080","*","0 100","*","0 150","*","0 180","*","0 160","","*","0 150","*","",""
"Army Reserve ","","","","","","3 960","","3 200","","2 960","","3 760","","5 210","","6 530","","6 260","","","5 560","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","0 220","5.9","0 180","6.0","0 170","6.0","0 220","6.3","0 290","6.0","0 390","6.3","0 420","","7.1","0 370","7.1","",""
"","","of which White ","","","","3 550","94.1","2 870","94.0","2 660","94.0","3 350","93.7","4 580","94.0","5 760","93.7","5 500","","92.9","4 830","92.9","",""
"","","of which Unknown ","","","","0 190","*","0 150","*","0 130","*","0 190","*","0 330","*","0 380","*","0 350","","*","0 360","*","",""
"","Officers","","","","","0 380","","0 400","","0 410","","0 460","","0 540","","0 640","","0 660","","","0 600","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","0 020","5.2","0 020","4.1","0 010","3.0","0 010","3.2","0 020","3.3","0 030","4.4","0 030","","4.1","0 020","4.2","",""
"","","of which White ","","","","0 350","94.8","0 380","95.9","0 380","97.0","0 430","96.8","0 490","96.7","0 580","95.6","0 610","","95.9","0 550","95.8","",""
"","","of which Unknown ","","","","0 010","*","0 010","*","0 020","*","0 020","*","0 030","*","0 030","*","0 020","","*","0 030","*","",""
"","Other Ranks","","","","","3 590","","2 800","","2 550","","3 300","","4 670","","5 890","","5 610","","","4 950","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","0 200","6.0","0 170","6.3","0 160","6.5","0 210","6.7","0 280","6.3","0 360","6.5","0 390","","7.4","0 340","7.5","",""
"","","of which White ","","","","3 200","94.0","2 500","93.7","2 280","93.5","2 920","93.3","4 090","93.7","5 170","93.5","4 890","","92.6","4 280","92.5","",""
"","","of which Unknown ","","","","0 180","*","0 140","*","0 120","*","0 170","*","0 300","*","0 350","*","0 330","","*","0 330","*","",""
"Royal Air Force Reserves","","","","","","..","","0 350","","0 480","","0 570","","0 740","","0 950","","0 870","","","0 730","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","0 010","4.1","0 020","4.4","0 020","4.0","0 030","3.7","0 030","3.5","0 040","","4.3","0 040","5.3","",""
"","","of which White ","","","","..","..","0 320","95.9","0 430","95.6","0 510","96.0","0 680","96.3","0 880","96.5","0 810","","95.9","0 680","94.7","",""
"","","of which Unknown ","","","","..","..","0 010","*","0 030","*","0 040","*","0 030","*","0 030","*","0 020","r","*","0 010","*","",""
"","Officers","","","","","..","","0 050","","0 090","","0 090","","0 070","","0 090","","0 080","","","0 050","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","~","-","~","-","~","-","-","-","~","-","~","","-","~","-","",""
"","","of which White ","","","","..","..","0 050","97.9","0 080","97.6","0 080","98.7","0 070","100.0","0 080","97.6","0 060","","92.9","0 040","93.6","",""
"","","of which Unknown ","","","","..","..","~","*","0 010","*","0 010","*","~","*","0 010","*","0 010","","*","~","-","",""
"","Other Ranks","","","","","..","","0 300","","0 390","","0 480","","0 670","","0 860","","0 800","","","0 680","","",""
"","","of which Black, Asian and Minority Ethnic ","","","","..","..","0 010","4.5","0 020","4.9","0 020","4.5","0 030","4.1","0 030","3.6","0 030","","4.0","0 040","5.2","",""
"","","of which White ","","","","..","..","0 280","95.5","0 350","95.1","0 430","95.5","0 610","95.9","0 800","96.4","0 750","","96.0","0 630","94.8","",""
"","","of which Unknown ","","","","..","..","0 010","*","0 020","*","0 030","*","0 030","*","0 020","*","0 020","","*","0 010","*","",""
"1.","Unknown includes those with an unrecorded ethnic origin and those who chose not to declare. ","","","","","","","","","","","","","","","","","","","","","","",""
"2.","Percentages are calculated from those with a known ethnicity. Personnel with an Unknown ethnicity are excluded from this calculation. ","","","","","","","","","","","","","","","","","","","","","","",""
"3.","Of the total intake into the Future Reserve 2020 in the 12 months to 30 September 2016, 92.7 per cent had a known ethnicity.","","","","","","","","","","","","","","","","","","","","","","",""
"4.","There has been a revision of less than 5 personnel in  the 12 months to 31st March 2016.","","","","","","","","","","","","","","","","","","","","","","",""
