"8"," Labour input indices: Workers, productivity jobs and productivity hours","","","","","","","","","","","","",""
""," United Kingdom","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""," Seasonally adjusted (2019=100)"
"",""," Whole economy","","","",""," Production","",""," Manufacturing","",""," Services",""
"",""," "," "," "," Ratio of",""," "," ",""," "," ",""," "," "
"",""," "," "," "," jobs to",""," Productivity"," Productivity",""," Productivity"," Productivity",""," Productivity"," Productivity"
"",""," Workers"," Jobs"," Hours"," workers",""," jobs"," hours",""," jobs"," hours",""," jobs"," hours"
" Section "," ","  A-U","  A-U","  A-U","  A-U","","  B-E ","  B-E ","","  C ","  C ","","  G-U","  G-U"
"Indices","","","","","","","","","","","","","",""
"","","TXEL","LNNM","LZVA","TXET","","DJW6","DK3S","","DJW9","DK3V","","DK2G","DK56"
"","1960","73.7","73.4","","99.6","","","","","","","","",""
"","1961","74.6","74.1","","99.4","","","","","","","","",""
"","1962","75","74.5","","99.4","","","","","","","","",""
"","1963","75.1","74.7","","99.5","","","","","","","","",""
"","1964","76.2","75.8","","99.5","","","","","","","","",""
"","1965","77","76.5","","99.5","","","","","","","","",""
"","1966","77.3","76.8","","99.3","","","","","","","","",""
"","1967","76.4","75.9","","99.3","","","","","","","","",""
"","1968","76","75.5","","99.4","","","","","","","","",""
"","1969","76","75.5","","99.4","","","","","","","","",""
"","1970","75.7","75.2","","99.3","","","","","","","","",""
"","1971","74.7","74.1","82","99.1","","","","","","","","",""
"","1972","74.9","74.6","83.2","99.5","","","","","","","","",""
"","1973","76.1","76.1","84.9","100","","","","","","","","",""
"","1974","76.3","76.4","84.4","100.1","","","","","","","","",""
"","1975","76","75.9","82.7","99.9","","","","","","","","",""
"","1976","75.6","75.4","81.9","99.8","","","","","","","","",""
"","1977","75.6","75.6","82.4","99.9","","","","","","","","",""
"","1978","76","76.4","82.9","100.5","","240.7","","","250.1","","","",""
"","1979","76.8","77.5","83.6","100.9","","239.4","","","248.5","","","",""
"","1980","76.5","76.8","81.9","100.4","","227.3","","","234.7","","","",""
"","1981","74.5","74.2","78.1","99.7","","208.7","","","214.3","","","",""
"","1982","73","72.9","76.4","99.8","","197.2","","","202.1","","","",""
"","1983","72.5","72.7","75.6","100.4","","188","","","192.7","","","",""
"","1984","74","74.4","77.5","100.5","","185.4","","","190.7","","","",""
"","1985","75","75.2","78.6","100.3","","183.6","","","189.6","","","",""
"","1986","75.4","75.5","78.8","100","","178.8","","","185.6","","","",""
"","1987","77","77.2","80.6","100.3","","177.2","","","184.7","","","",""
"","1988","79.5","80","83.6","100.6","","178.7","","","187.1","","","",""
"","1989","81.6","82.3","86","100.9","","178.8","","","187.9","","","",""
"","1990","81.9","82.7","85.8","100.9","","173.4","","","182.4","","","",""
"","1991","79.8","80.1","82.3","100.4","","159.4","","","167.3","","","",""
"","1992","77.9","78.1","80","100.3","","149.5","","","157.3","","","",""
"","1993","77.1","77.7","79.1","100.7","","144.2","","","152.6","","","",""
"","1994","77.8","78.6","80.2","101.1","","145.1","144.7","","154.8","154.5","","","71"
"","1995","78.7","79.8","81.3","101.4","","148.3","148.1","","159.2","159","","","71.9"
"","1996","79.5","80.5","82","101.3","","149.5","150.6","","160.6","161.8","","72.7","72.6"
"","1997","80.9","81.8","83.5","101.2","","150.1","150.5","","161","161.4","","74.2","74.3"
"","1998","81.7","82.5","84.1","101","","148.9","149.8","","159.7","160.7","","75.1","75.1"
"","1999","82.8","83.7","84.8","101.1","","143.4","142.7","","153.8","153.3","","77.1","77.1"
"","2000","83.8","84.5","85","100.8","","138.5","137.8","","148.1","147.3","","78.6","78"
"","2001","84.5","85","85.9","100.6","","132.1","132.2","","140.7","140.7","","80","79.9"
"","2002","85.2","85.7","85.7","100.6","","125.8","124.8","","133.7","132.7","","81.4","80.6"
"","2003","86","86.5","86.1","100.5","","119.1","117.5","","126.2","124.6","","82.8","81.9"
"","2004","87","87.2","86.9","100.3","","114.1","113.1","","120.9","120.1","","84.1","83.2"
"","2005","88","88.1","88.1","100.2","","109.4","109","","115.3","114.9","","85.4","84.9"
"","2006","88.8","89","88.6","100.2","","107.8","106.4","","112.9","111.5","","86.5","85.8"
"","2007","89.6","89.8","89.5","100.3","","105.4","104.8","","109.6","109.3","","87.6","86.8"
"","2008","90.3","90.6","89.9","100.3","","103.2","102.2","","106.5","105.8","","88.7","87.7"
"","2009","88.9","89.3","87.3","100.4","","97.2","95.5","","99.7","98","","88","85.6"
"","2010","89.1","89.4","87.8","100.3","","95.7","96.2","","97.2","97.9","","88.6","86.3"
"","2011","89.6","89.9","88.1","100.4","","95.7","96.3","","96.5","96.9","","89.2","86.9"
"","2012","90.5","90.8","89.8","100.3","","96.9","97.2","","97.1","97.4","","90.3","89.1"
"","2013","91.6","91.9","91.5","100.3","","96.2","98.4","","96.4","98.3","","91.7","90.9"
"","2014","93.8","94.2","94","100.4","","96.6","98.4","","97.2","98.7","","94","93.3"
"","2015","95.4","95.7","95.5","100.3","","97.8","99.3","","98.1","99.8","","95.6","95.1"
"","2016","96.8","96.9","96.8","100.1","","97.6","98.5","","97.9","98.9","","96.9","96.6"
"","2017","97.7","97.8","97.8","100.1","","99.2","99.8","","99.5","99.6","","97.5","97.2"
"","2018","98.9","98.9","98.6","100","","101","100.7","","100.8","100","","98.6","98.1"
"","2019","100","100","100","100","","100","100","","100","100","","100","100"
