"Table 2: Unemployment rate by religion, England and Wales, 2012 to 2018","","","","","","","","Contents"
"","","","","","","","",""
"","","","","","","","","Percentage"
"","","2012","2013","2014","2015","2016","2017","2018"
"No religion","Estimate","7.2","6.7","5.6","4.4","4","3.7","3.5"
"","Lower 95% confidence limit","6.9","6.4","5.4","4.2","3.9","3.5","3.3"
"","Upper 95% confidence limit","7.4","6.9","5.8","4.6","4.2","3.9","3.7"
"Christian","Estimate","5.2","5.1","4.2","3.6","3.4","3","2.9"
"","Lower 95% confidence limit","5.1","4.9","4.1","3.4","3.2","2.9","2.8"
"","Upper 95% confidence limit","5.4","5.3","4.4","3.7","3.5","3.1","3.1"
"Buddhist","Estimate","7.1","7.9","4.9","4.6","3.1","3.3","2.7"
"","Lower 95% confidence limit","5.1","5.8","3.2","2.9","1.7","1.8","1.2"
"","Upper 95% confidence limit","9.1","9.9","6.6","6.2","4.4","4.8","4.1"
"Hindu","Estimate","7.7","6.8","4.9","4.3","3.9","4.1","3.9"
"","Lower 95% confidence limit","6.5","5.7","4","3.4","3","3.2","3"
"","Upper 95% confidence limit","8.8","7.9","5.9","5.2","4.8","5","4.9"
"Jewish","Estimate","5.5","2.1","2.6","2.2","1.9","2.8","2.3"
"","Lower 95% confidence limit","3.5","0.9","1.2","0.8","0.6","1.3","0.9"
"","Upper 95% confidence limit","7.5","3.4","4","3.5","3.2","4.4","3.7"
"Muslim","Estimate","9.8","10.1","8.2","7.6","6.8","6.7","5.7"
"","Lower 95% confidence limit","9","9.4","7.5","6.9","6.1","6.1","5.1"
"","Upper 95% confidence limit","10.5","10.9","8.8","8.2","7.4","7.4","6.3"
"Sikh","Estimate","8.5","6.1","5","6","5.3","5.2","4.4"
"","Lower 95% confidence limit","6.7","4.6","3.5","4.3","3.8","3.7","3"
"","Upper 95% confidence limit","10.2","7.7","6.4","7.7","6.8","6.7","5.9"
"Any other religion","Estimate","6.2","5.6","5.8","5","4.4","3.4","3.3"
"","Lower 95% confidence limit","5.1","4.5","4.7","4.1","3.5","2.6","2.5"
"","Upper 95% confidence limit","7.4","6.6","6.8","5.9","5.3","4.2","4.1"
"","","","","","","","","Source: Annual Population Survey"
"","","","","","","","",""
"Cells shaded in grey indicate that the data are based on reasonably low sample sizes (< 26). These estimates may not be as reliable, and should therefore be used with caution.","","","","","","","",""
"This is the unemployment rate for people aged 16 to 64 in England and Wales.","","","","","","","",""
