"Table 8: Proportion of employed people working in an upper-middle-skilled occupation, by religion, England and Wales, 2012 to 2018 ","","","","","","","","","","","","","","","","","","","","","","Contents"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Percentage"
"","","2012","","","2013","","","2014","","","2015","","","2016","","","2017","","","2018","",""
"","","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit"
"","No religion","29.9","29.4","30.3","30","29.5","30.4","30.3","29.9","30.7","29.8","29.3","30.2","29.9","29.4","30.3","30.1","29.7","30.5","30.3","29.8","30.7"
"","Christian","27.4","27","27.7","27","26.7","27.3","27.3","26.9","27.6","27.4","27","27.7","27.1","26.7","27.4","26.7","26.4","27.1","26.5","26.2","26.9"
"","Buddhist","25.3","21.7","29","25.5","21.7","29.2","25.2","21.5","28.9","22.9","19.4","26.3","28.2","24.3","32.1","29.4","25.3","33.5","26.3","22.1","30.4"
"","Hindu","19.9","18","21.8","21.3","19.4","23.2","21.6","19.7","23.4","21.9","20","23.7","20","18.1","21.9","20.9","19","22.9","21.7","19.7","23.7"
"","Jewish","27.3","23.3","31.3","27.7","23.6","31.8","27.6","23.6","31.6","22.7","18.9","26.5","24.9","20.8","29","26.7","22.5","30.9","30.9","26.5","35.2"
"","Muslim","21.7","20.4","23.1","20.7","19.4","22","21.9","20.7","23.2","20.8","19.5","22","19.9","18.7","21.2","21.6","20.4","22.9","21.1","19.9","22.4"
"","Sikh","25.6","22.6","28.5","23.3","20.4","26.3","22.9","20","25.8","24.5","21.3","27.7","23.2","20.2","26.1","25.1","22","28.1","22.2","19.2","25.2"
"","Other","27.5","25.3","29.7","28","25.8","30.1","29","26.9","31.1","31.4","29.3","33.5","26","24","27.9","26.5","24.5","28.5","26.1","24","28.1"
"","","","","","","","","","","","","","","","","","","","","","","Source: Annual Population Survey"
"","","","","","","","","","","","","","","","","","","","","","",""
"Applies to people aged 16 to 64 in employment.","","","","","","","","","","","","","","","","","","","","","",""
"The skill level groups are created by grouping jobs together based on their occupation according to the Standard Occupation Classification (SOC) 2010 lower level groups.","","","","","","","","","","","","","","","","","","","","","",""
"Occupations were grouped by the skill level required according to the following guidelines:","","","","","","","","","","","","","","","","","","","","","",""
"Upper-middle – This skill level equates to competence acquired through post-compulsory education but not to degree level. Occupations found at this level include","","","","","","","","","","","","","","","","","","","","","",""
"  a variety of technical and trades occupations, and proprietors of small business. For the latter, significant work experience may be typical.","","","","","","","","","","","","","","","","","","","","","",""
"  Examples of occupations at this level include catering managers, building inspectors, nurses, police officers (sergeant and below), electricians and plumbers.","","","","","","","","","","","","","","","","","","","","","",""
"High skill level data can be found in table 6, low skill level data can be found in table 7, upper-middle skill level data can be found in table 8 and lower-middle skill level data can be found in table 9.","","","","","","","","","","","","","","","","","","","","","",""
"Note that the total percentages of high, low, upper-middle and lower-middle skill levels may not sum to 100 as missing values are included in totals.","","","","","","","","","","","","","","","","","","","","","",""
