"Table A1: Estimated odds ratios from logistic regression of economic activity","","","","","","Contents"
"","","","","","",""
"","(1) All","(2) Male","(3) Female","(4) All","(5) Male","(6) Female"
"","","","","","",""
"Religious affiliation (omitted category Christian)","","","","","",""
"No answer","0.753***","0.737***","0.744***","0.822***","0.842***","0.875***"
"","(0.006)","(0.009)","(0.008)","(0.007)","(0.011)","(0.010)"
"No Religion","1.125***","1.072***","1.088***","0.973***","0.954***","0.979***"
"","(0.001)","(0.001)","(0.001)","(0.001)","(0.001)","(0.001)"
"Buddhist","0.676***","0.666***","0.706***","0.698***","0.511***","0.854***"
"","(0.004)","(0.006)","(0.005)","(0.004)","(0.005)","(0.006)"
"Hindu","1.076***","1.337***","0.886***","1.030***","1.052***","1.038***"
"","(0.003)","(0.007)","(0.004)","(0.004)","(0.008)","(0.006)"
"Jewish","0.880***","0.830***","0.878***","0.748***","0.766***","0.735***"
"","(0.005)","(0.007)","(0.006)","(0.005)","(0.007)","(0.006)"
"Muslim","0.420***","0.667***","0.265***","0.501***","0.721***","0.375***"
"","(0.001)","(0.002)","(0.001)","(0.001)","(0.003)","(0.001)"
"Sikh","0.949***","0.968***","0.897***","1.042***","0.829***","1.182***"
"","(0.005)","(0.007)","(0.006)","(0.006)","(0.008)","(0.009)"
"Other","0.876***","0.741***","0.953***","0.700***","0.577***","0.810***"
"","(0.003)","(0.003)","(0.004)","(0.002)","(0.003)","(0.004)"
"Age","","","","1.374***","1.505***","1.294***"
"","","","","(0.000)","(0.001)","(0.000)"
"Age squared","","","","0.996***","0.995***","0.997***"
"","","","","(0.000)","(0.000)","(0.000)"
"Female","","","","0.477***","",""
"","","","","(0.000)","",""
"Marital status (omitted category - Single)","","","","","",""
"Married, living with spouse","","","","1.219***","2.562***","0.821***"
"","","","","(0.002)","(0.006)","(0.001)"
"Married, separated","","","","1.005","1.304***","0.917***"
"","","","","(0.003)","(0.007)","(0.003)"
"Divorced","","","","1.281***","1.649***","1.111***"
"","","","","(0.003)","(0.006)","(0.003)"
"Widowed","","","","0.944***","1.134***","0.779***"
"","","","","(0.004)","(0.008)","(0.003)"
"Civil partnership","","","","1.019*","0.873***","1.215***"
"","","","","(0.011)","(0.013)","(0.018)"
"Highest qualification held (omitted category – No qualifications)","","","","","",""
"Degree or equivalent","","","","5.793***","4.711***","6.912***"
"","","","","(0.010)","(0.012)","(0.016)"
"Higher education","","","","4.317***","3.765***","4.843***"
"","","","","(0.009)","(0.013)","(0.014)"
"A level or equivalent","","","","3.475***","3.087***","3.952***"
"","","","","(0.006)","(0.007)","(0.009)"
"GCSE A*-C or equivalent","","","","2.831***","2.754***","3.031***"
"","","","","(0.005)","(0.007)","(0.007)"
"Other qualification","","","","2.361***","2.523***","2.337***"
"","","","","(0.005)","(0.007)","(0.006)"
"No answer","","","","1.422***","1.416***","1.380***"
"","","","","(0.010)","(0.015)","(0.015)"
"Don’t know","","","","3.318***","3.208***","3.423***"
"","","","","(0.012)","(0.017)","(0.017)"
"Government Office Region (omitted category – North East) ","","","","","",""
"North West","","","","1.169***","1.253***","1.115***"
"","","","","(0.003)","(0.005)","(0.004)"
"Merseyside","","","","0.935***","0.903***","0.959***"
"","","","","(0.003)","(0.005)","(0.004)"
"Yorkshire and Humberside","","","","1.151***","1.188***","1.125***"
"","","","","(0.003)","(0.005)","(0.004)"
"East Midlands","","","","1.206***","1.306***","1.146***"
"","","","","(0.003)","(0.005)","(0.004)"
"West Midlands","","","","1.202***","1.294***","1.140***"
"","","","","(0.003)","(0.005)","(0.004)"
"Eastern","","","","1.361***","1.540***","1.264***"
"","","","","(0.003)","(0.006)","(0.004)"
"London","","","","1.157***","1.342***","1.052***"
"","","","","(0.003)","(0.005)","(0.003)"
"South East","","","","1.273***","1.428***","1.189***"
"","","","","(0.003)","(0.005)","(0.004)"
"South West","","","","1.349***","1.400***","1.324***"
"","","","","(0.003)","(0.005)","(0.004)"
"Wales","","","","1.052***","1.100***","1.028***"
"","","","","(0.003)","(0.005)","(0.004)"
"Ethnicity (omitted category – White)","","","","","",""
"No answer","","","","1.244***","2.349***","0.898***"
"","","","","(0.021)","(0.067)","(0.019)"
"Mixed/multiple ethnic groups","","","","0.715***","0.686***","0.729***"
"","","","","(0.003)","(0.004)","(0.003)"
"Asian / Asian British","","","","0.691***","0.732***","0.667***"
"","","","","(0.002)","(0.003)","(0.002)"
"Black / Black British","","","","0.754***","0.697***","0.787***"
"","","","","(0.002)","(0.003)","(0.002)"
"Chinese","","","","0.348***","0.268***","0.409***"
"","","","","(0.002)","(0.002)","(0.002)"
"Arab","","","","0.355***","0.327***","0.331***"
"","","","","(0.002)","(0.003)","(0.003)"
"Other","","","","0.586***","0.551***","0.589***"
"","","","","(0.002)","(0.003)","(0.003)"
"Constant","3.736***","5.053***","2.997***","0.006***","0.001***","0.009***"
"","(0.002)","(0.005)","(0.002)","(0.000)","(0.000)","(0.000)"
"Number of Observations (thousands)","36640","18255","18385","36640","18255","18385"
"Other Controls in the Model","No","No","No","Yes","Yes","Yes"
"","","","","","",""
"Note – standard errors are in parenthesis. *** p<0.01, ** p<0.05, * p<0.1","","","","","",""
