"","M0/CT26","M1/CT26","","M0/4T1","M1/4T1"
"Cell 1","0.2231","0.3005","","0.292494","0.2552"
"Cell 2","0.2284","0.3024","","0.144659","0.2681"
"Cell 3","0.3121","0.2775","","0.12519","0.1939"
"Cell 4","0.311863","0.2956","","0.336594","0.2238"
"Cell 5","0.293502","0.2809","","0.382763","0.1492"
"Cell 6","0.328687","0.2865","","0.252755","0.2109"
"Cell 7","0.201389","0.2833","","0.2605","0.2234"
"Cell 8","0.1288","0.3015","","0.1927","0.1494"
"Cell 9","0.2777","0.2937","","0.2788","0.1884"
"Cell 10","0.2186","0.2901","","0.3665","0.1948"
"Cell 11","0.2729","0.2191","","0.369","0.2473"
"Cell 12","0.280904","0.2152","","0.2835","0.2571"
"Cell 13","0.16411","0.2181","","0.2885","0.2308"
"Cell 14","0.152147","0.258611","","0.3244","0.2299"
"Cell 15","0.218623","0.209965","","0.1777","0.2426"
"Cell 16","0.2298","0.229382","","0.2433","0.2519"
"Cell 17","0.315745","0.150511","","0.1795","0.2556"
"Cell 18","0.310617","0.144659","","0.2815","0.2353"
"Cell 19","0.311211","0.258611","","0.1848","0.2522"
"Cell 20","0.196597","0.308671","","0.2797","0.2406"
"Cell 21","0.3421","0.26171","","0.1636","0.3157"
"Cell 22","0.1753","0.295138","","0.3071","0.3143"
"Cell 23","0.1599","0.264111","","0.1892","0.3209"
"Cell 24","0.19357","0.330427","","0.281","0.3195"
"Cell 25","0.281366","0.358282","","0.1946","0.3207"
"Cell 26","0.297255","0.272465","","0.2596","0.3205"
"Cell 27","0.264111","0.295138","","0.3158","0.3173"
"Cell 28","0.19063","0.231642","","0.332","0.3161"
"Cell 29","0.292845","0.224145","","0.2798","0.3174"
"Cell 30","0.307166","0.212087","","0.2229","0.3163"
"Cell 31","","","","",""
"Cell 32","","","","",""
"Cell 33","","","","",""
"Cell 34","","","","",""
"Cell 35","","","","",""
"Cell 36","","","","",""
"Cell 37","","","","",""
"Cell 38","","","","",""
"Cell 39","","","","",""
"Cell 40","","","","",""
"Cell 41","","","","",""
"Cell 42","","","","",""
"Cell 43","","","","",""
"Cell 44","","","","",""
"Cell 45","","","","",""
"Cell 46","","","","",""
"Cell 47","","","","",""
"Cell 48","","","","",""
"Cell 49","","","","",""
"Cell 50","","","","",""
"Cell 51","","","","",""
"Cell 52","","","","",""
"Cell 53","","","","",""
"Cell 54","","","","",""
"Cell 55","","","","",""
"Cell 56","","","","",""
"Cell 57","","","","",""
"Cell 58","","","","",""
"Cell 59","","","","",""
"Cell 60","","","","",""
"Cell 61","","","","",""
"Cell 62","","","","",""
"Cell 63","","","","",""
"Cell 64","","","","",""
"Cell 65","","","","",""
"Cell 66","","","","",""
"Cell 67","","","","",""
"Cell 68","","","","",""
"Cell 69","","","","",""
"Cell 70","","","","",""
"Cell 71","","","","",""
"Cell 72","","","","",""
"Cell 73","","","","",""
"Cell 74","","","","",""
"Cell 75","","","","",""
"Cell 76","","","","",""
"Cell 77","","","","",""
"Cell 78","","","","",""
"Cell 79","","","","",""
"Cell 80","","","","",""
"Cell 81","","","","",""
"Cell 82","","","","",""
"Cell 83","","","","",""
"Cell 84","","","","",""
"Cell 85","","","","",""
"Cell 86","","","","",""
"Cell 87","","","","",""
"Cell 88","","","","",""
"Cell 89","","","","",""
"Cell 90","","","","",""
"Cell 91","","","","",""
"Cell 92","","","","",""
"Cell 93","","","","",""
"Cell 94","","","","",""
"Cell 95","","","","",""
"Cell 96","","","","",""
"Cell 97","","","","",""
"Cell 98","","","","",""
"Cell 99","","","","",""
"Cell 100","","","","",""
"","","","","",""
"Mean","0.24936793333333","0.26233183333333","","0.25968183333333","0.25597"
"Standard Deviation","0.059883361405281","0.04777873215081","","0.067942208419157","0.051582019800185"
