"raw clone size data used for Figure 5a,d, Extended Data Figure 11a,b from ovariectomized confetti mouse model","","","","","","","","",""
"","","","","","","","","",""
"time point","14 days","","64 days","","120 days","","225 days","",""
"Total count","2877","","597","","116","","544","",""
"","pooled mice","","pooled mice","","pooled mice","","pooled mice","",""
"Clone count","2703","174","437","160","73","43","407","137",""
"","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal",""
"","1","1","1","1","2","2","3","12",""
"","2","2","2","4","1","3","3","3",""
"","1","2","2","3","2","7","2","1",""
"","1","1","2","1","2","2","1","2",""
"","1","2","2","1","4","2","4","3",""
"","2","1","2","4","5","9","1","2",""
"","1","1","5","2","5","2","1","1",""
"","4","2","9","2","2","2","2","2",""
"","1","1","2","1","1","4","1","1",""
"","3","2","2","1","4","2","1","2",""
"","2","1","1","1","5","8","1","3",""
"","1","1","2","1","2","2","21","1",""
"","1","1","3","1","4","5","14","2",""
"","2","1","3","1","4","12","2","2",""
"","2","1","2","1","4","4","1","1",""
"","3","3","2","1","3","3","9","1",""
"","1","1","1","3","5","4","2","3",""
"","2","2","1","2","1","2","1","1",""
"","1","8","1","2","3","2","1","1",""
"","1","1","2","4","2","2","2","1",""
"","1","2","1","1","6","1","5","1",""
"","1","2","1","3","12","3","1","1",""
"","2","1","1","3","2","4","17","1",""
"","2","1","1","7","2","3","4","1",""
"","1","1","1","2","3","2","1","1",""
"","1","1","1","1","2","3","4","1",""
"","1","2","9","1","2","1","2","1",""
"","1","1","2","2","1","1","19","1",""
"","2","4","2","1","1","1","3","1",""
"","1","1","4","1","2","3","1","1",""
"","5","1","4","1","6","1","4","1",""
"","1","1","1","1","6","1","7","2",""
"","2","1","1","3","2","2","2","2",""
"","2","2","11","4","5","1","2","4",""
"","1","1","7","2","40","1","2","2",""
"","3","1","2","2","5","3","1","1",""
"","1","2","3","1","3","1","2","1",""
"","1","1","4","1","4","1","2","1",""
"","1","1","1","1","6","2","3","2",""
"","1","1","1","3","1","2","2","1",""
"","1","1","1","2","2","8","1","1",""
"","1","1","6","6","8","1","7","1",""
"","3","1","2","2","2","1","2","2",""
"","2","1","2","4","3","","3","2",""
"","1","2","4","4","10","","3","1",""
"","2","2","4","1","5","","1","1",""
"","1","1","2","2","1","","2","1",""
"","2","1","3","2","4","","1","1",""
"","4","1","1","1","2","","5","1",""
"","2","1","2","1","1","","2","2",""
"","6","1","2","1","1","","1","1",""
"","3","1","1","2","5","","1","2",""
"","2","1","2","2","2","","8","1",""
"","1","1","2","1","4","","2","1",""
"","1","1","2","3","3","","3","4",""
"","2","1","5","3","2","","2","1",""
"","1","1","1","2","2","","2","2",""
"","1","1","1","2","1","","1","1",""
"","2","1","1","1","1","","2","2",""
"","3","1","5","1","1","","2","4",""
"","4","1","7","3","1","","3","1",""
"","1","1","10","1","1","","1","2",""
"","4","1","3","1","1","","1","2",""
"","1","1","8","3","1","","1","1",""
"","1","1","2","1","12","","3","1",""
"","1","1","2","1","1","","2","2",""
"","1","2","5","2","1","","1","1",""
"","1","3","2","2","2","","2","1",""
"","2","1","9","3","2","","2","1",""
"","3","1","1","3","2","","3","1",""
"","27","1","3","1","2","","1","1",""
"","16","2","2","12","1","","2","1",""
"","1","1","2","1","1","","1","3",""
"","1","1","5","7","","","1","1",""
"","1","1","3","1","","","2","1",""
"","2","2","1","3","","","1","1",""
"","1","1","2","1","","","3","1",""
"","2","1","1","2","","","2","1",""
"","1","1","3","2","","","1","1",""
"","1","8","3","2","","","2","3",""
"","3","1","4","4","","","2","2",""
"","2","2","2","4","","","1","2",""
"","2","1","2","6","","","2","2",""
"","3","2","2","2","","","1","1",""
"","3","1","5","1","","","3","3",""
"","3","1","2","1","","","1","5",""
"","2","1","3","1","","","2","1",""
"","3","1","1","1","","","3","1",""
"","2","1","2","5","","","2","1",""
"","4","2","2","1","","","1","1",""
"","3","1","2","2","","","2","3",""
"","1","2","3","1","","","2","1",""
"","2","1","6","2","","","3","1",""
"","1","4","18","4","","","2","1",""
"","1","3","2","3","","","1","3",""
"","1","1","3","7","","","2","3",""
"","1","1","2","3","","","2","1",""
"","1","1","4","1","","","1","1",""
"","1","2","8","1","","","1","1",""
"","1","2","3","1","","","1","1",""
"","1","2","6","1","","","1","2",""
"","1","5","2","1","","","1","4",""
"","1","1","5","2","","","1","1",""
"","2","1","8","4","","","1","1",""
"","4","1","13","2","","","1","1",""
"","1","2","3","1","","","1","2",""
"","1","1","13","1","","","2","2",""
"","2","2","2","3","","","2","2",""
"","1","1","1","5","","","1","3",""
"","1","3","8","3","","","2","2",""
"","1","1","2","2","","","1","1",""
"","1","1","2","1","","","2","1",""
"","1","1","2","4","","","3","2",""
"","1","2","2","1","","","1","1",""
"","1","1","2","2","","","1","3",""
"","2","1","2","4","","","1","1",""
"","1","3","3","2","","","2","1",""
"","1","1","9","2","","","1","2",""
"","1","2","1","1","","","2","1",""
"","3","2","1","2","","","3","1",""
"","1","2","1","2","","","5","1",""
"","2","2","4","2","","","2","1",""
"","1","2","3","5","","","1","1",""
"","5","3","6","1","","","1","1",""
"","1","1","4","5","","","1","2",""
"","1","3","3","1","","","2","1",""
"","1","3","2","2","","","1","1",""
"","1","1","2","1","","","2","1",""
"","1","1","2","1","","","1","2",""
"","1","1","3","1","","","1","3",""
"","1","1","2","1","","","2","1",""
"","1","3","3","4","","","2","1",""
"","1","1","2","1","","","4","2",""
"","2","3","2","3","","","5","2",""
"","1","1","1","3","","","3","3",""
"","1","4","3","1","","","2","6",""
"","2","1","5","3","","","1","1",""
"","3","1","6","2","","","1","",""
"","1","1","1","1","","","1","",""
"","2","1","4","1","","","1","",""
"","2","1","3","2","","","2","",""
"","2","2","2","1","","","1","",""
"","1","1","2","2","","","1","",""
"","2","2","2","4","","","1","",""
"","1","2","10","1","","","2","",""
"","1","2","2","2","","","1","",""
"","1","3","2","3","","","1","",""
"","1","3","1","2","","","1","",""
"","3","2","9","4","","","2","",""
"","2","1","1","2","","","1","",""
"","1","1","5","1","","","15","",""
"","1","1","1","2","","","7","",""
"","1","2","1","1","","","1","",""
"","1","2","2","1","","","1","",""
"","1","1","1","1","","","1","",""
"","2","2","3","4","","","2","",""
"","1","2","2","4","","","1","",""
"","1","1","2","1","","","2","",""
"","2","1","2","2","","","2","",""
"","1","1","3","8","","","3","",""
"","1","1","1","","","","1","",""
"","1","1","1","","","","3","",""
"","4","1","1","","","","3","",""
"","2","1","1","","","","1","",""
"","3","1","4","","","","1","",""
"","1","1","5","","","","2","",""
"","1","2","5","","","","1","",""
"","1","1","5","","","","1","",""
"","1","2","4","","","","1","",""
"","1","1","3","","","","2","",""
"","1","1","1","","","","1","",""
"","1","1","3","","","","1","",""
"","1","1","1","","","","1","",""
"","1","1","1","","","","2","",""
"","2","","5","","","","2","",""
"","1","","1","","","","1","",""
"","4","","11","","","","2","",""
"","1","","12","","","","1","",""
"","1","","2","","","","1","",""
"","1","","5","","","","3","",""
"","1","","2","","","","4","",""
"","1","","1","","","","6","",""
"","1","","2","","","","4","",""
"","1","","2","","","","3","",""
"","1","","2","","","","2","",""
"","1","","3","","","","1","",""
"","2","","2","","","","1","",""
"","2","","2","","","","1","",""
"","1","","2","","","","1","",""
"","2","","3","","","","2","",""
"","2","","2","","","","2","",""
"","1","","2","","","","2","",""
"","1","","4","","","","5","",""
"","1","","1","","","","7","",""
"","1","","4","","","","5","",""
"","1","","3","","","","2","",""
"","1","","5","","","","2","",""
"","2","","1","","","","3","",""
"","2","","2","","","","2","",""
"","1","","1","","","","1","",""
"","2","","3","","","","3","",""
"","1","","5","","","","1","",""
"","1","","1","","","","1","",""
"","1","","4","","","","2","",""
"","1","","1","","","","2","",""
"","2","","2","","","","2","",""
"","2","","1","","","","1","",""
"","1","","2","","","","6","",""
"","1","","5","","","","1","",""
"","1","","2","","","","1","",""
"","1","","4","","","","1","",""
"","1","","3","","","","1","",""
"","3","","1","","","","2","",""
"","1","","2","","","","1","",""
"","1","","1","","","","1","",""
"","1","","2","","","","2","",""
"","2","","3","","","","4","",""
"","3","","5","","","","4","",""
"","2","","4","","","","5","",""
"","2","","2","","","","1","",""
"","8","","2","","","","3","",""
"","1","","2","","","","6","",""
"","2","","3","","","","1","",""
"","2","","1","","","","3","",""
"","1","","2","","","","1","",""
"","4","","3","","","","2","",""
"","1","","2","","","","1","",""
"","1","","2","","","","1","",""
"","1","","8","","","","1","",""
"","1","","3","","","","1","",""
"","1","","3","","","","1","",""
"","1","","1","","","","1","",""
"","1","","2","","","","1","",""
"","1","","2","","","","2","",""
"","1","","1","","","","1","",""
"","1","","2","","","","1","",""
"","1","","5","","","","1","",""
"","1","","5","","","","1","",""
"","2","","2","","","","1","",""
"","1","","2","","","","2","",""
"","3","","7","","","","2","",""
"","1","","1","","","","1","",""
"","1","","1","","","","1","",""
"","1","","2","","","","2","",""
"","1","","3","","","","1","",""
"","1","","3","","","","1","",""
"","1","","3","","","","1","",""
"","1","","3","","","","2","",""
"","1","","1","","","","1","",""
"","3","","2","","","","1","",""
"","1","","1","","","","1","",""
"","1","","1","","","","2","",""
"","1","","2","","","","2","",""
"","1","","1","","","","1","",""
"","1","","1","","","","2","",""
"","2","","1","","","","3","",""
"","1","","2","","","","3","",""
"","2","","2","","","","3","",""
"","2","","3","","","","3","",""
"","1","","1","","","","1","",""
"","2","","1","","","","2","",""
"","1","","1","","","","1","",""
"","1","","1","","","","1","",""
"","1","","1","","","","1","",""
"","1","","2","","","","1","",""
"","1","","3","","","","2","",""
"","1","","3","","","","1","",""
"","1","","2","","","","3","",""
"","1","","1","","","","2","",""
"","2","","3","","","","1","",""
"","1","","4","","","","1","",""
"","1","","2","","","","1","",""
"","1","","1","","","","1","",""
"","1","","2","","","","1","",""
"","1","","13","","","","4","",""
"","2","","2","","","","1","",""
"","1","","2","","","","2","",""
"","1","","1","","","","1","",""
"","1","","9","","","","2","",""
"","1","","4","","","","1","",""
"","1","","4","","","","3","",""
"","1","","3","","","","2","",""
"","2","","3","","","","2","",""
"","1","","18","","","","1","",""
"","2","","6","","","","1","",""
"","1","","1","","","","1","",""
"","1","","1","","","","1","",""
"","1","","12","","","","1","",""
"","1","","3","","","","3","",""
"","1","","2","","","","2","",""
"","3","","5","","","","1","",""
"","2","","6","","","","2","",""
"","1","","1","","","","1","",""
"","1","","2","","","","1","",""
"","1","","1","","","","1","",""
"","1","","2","","","","2","",""
"","1","","4","","","","2","",""
"","2","","3","","","","2","",""
"","2","","6","","","","6","",""
"","2","","41","","","","2","",""
"","1","","4","","","","1","",""
"","1","","9","","","","1","",""
"","2","","3","","","","1","",""
"","2","","7","","","","2","",""
"","1","","28","","","","1","",""
