"Data used to generate stochastic simulation used for Extended Data Figure 9h","","","","","","","","","","",""
"","","","","","","","","","","",""
"red","","","green","","","blue","","","black","",""
"clone size","cumulative probability","dashed line","clone size","cumulative probability","dashed line","clone size","cumulative probability","dashed line","clone size","cumulative probability","dashed line"
"1","5.72E-1","5.59E-1","1","7.99E-1","7.73E-1","1","9.40E-1","9.31E-1","1","0.9443281778677","9.67E-1"
"2","3.01E-1","3.19E-1","2","5.75E-1","5.84E-1","2","8.49E-1","8.50E-1","2","0.90457723157444","9.44E-1"
"3","2.16E-1","2.03E-1","3","4.89E-1","4.60E-1","3","8.06E-1","7.81E-1","3","0.89105834536335","9.24E-1"
"4","1.23E-1","1.38E-1","4","3.50E-1","3.73E-1","4","7.13E-1","7.22E-1","4","0.8687626734897","9.08E-1"
"5","9.54E-2","9.89E-2","5","3.07E-1","3.10E-1","5","6.81E-1","6.72E-1","5","0.86114095703785","8.93E-1"
"6","6.78E-2","7.34E-2","6","2.57E-1","2.62E-1","6","6.38E-1","6.29E-1","6","0.85144469245287","8.80E-1"
"7","5.69E-2","5.61E-2","7","2.32E-1","2.25E-1","7","6.11E-1","5.90E-1","7","0.84543182240161","8.69E-1"
"8","3.67E-2","4.39E-2","8","1.75E-1","1.95E-1","8","5.41E-1","5.57E-1","8","0.83056546287303","8.58E-1"
"9","3.06E-2","3.50E-2","9","1.57E-1","1.71E-1","9","5.18E-1","5.26E-1","9","0.8253608834413","8.48E-1"
"10","2.44E-2","2.83E-2","10","1.37E-1","1.51E-1","10","4.92E-1","4.99E-1","10","0.81894773549951","8.38E-1"
"11","2.17E-2","2.32E-2","11","1.29E-1","1.34E-1","11","4.79E-1","4.75E-1","11","0.81550412095817","8.29E-1"
"12","1.63E-2","1.93E-2","12","1.10E-1","1.20E-1","12","4.49E-1","4.52E-1","12","0.80798682482559","8.21E-1"
"13","1.45E-2","1.62E-2","13","1.03E-1","1.08E-1","13","4.37E-1","4.32E-1","13","0.80477074344908","8.13E-1"
"14","1.24E-2","1.37E-2","14","9.37E-2","9.80E-2","14","4.18E-1","4.13E-1","14","0.79926450531724","8.05E-1"
"15","1.12E-2","1.17E-2","15","8.75E-2","8.91E-2","15","4.04E-1","3.96E-1","15","0.79497199225444","7.98E-1"
"16","8.12E-3","1.00E-2","16","7.03E-2","8.13E-2","16","3.64E-1","3.80E-1","16","0.78360306885152","7.91E-1"
"17","7.15E-3","8.66E-3","17","6.48E-2","7.45E-2","17","3.51E-1","3.65E-1","17","0.77957611857599","7.85E-1"
"18","6.12E-3","7.53E-3","18","5.88E-2","6.84E-2","18","3.36E-1","3.52E-1","18","0.7746367796466","7.79E-1"
"19","5.68E-3","6.58E-3","19","5.60E-2","6.31E-2","19","3.29E-1","3.39E-1","19","0.77194731185555","7.73E-1"
"20","4.76E-3","5.79E-3","20","5.03E-2","5.83E-2","20","3.13E-1","3.27E-1","20","0.76659061393401","7.67E-1"
"21","4.44E-3","5.11E-3","21","4.82E-2","5.40E-2","21","3.08E-1","3.15E-1","21","0.76423245505718","7.61E-1"
"22","4.02E-3","4.53E-3","22","4.54E-2","5.02E-2","22","2.99E-1","3.05E-1","22","0.7605825781568","7.56E-1"
"23","3.74E-3","4.03E-3","23","4.34E-2","4.67E-2","23","2.93E-1","2.95E-1","23","0.75802975917861","7.51E-1"
"24","3.00E-3","3.60E-3","24","3.82E-2","4.36E-2","24","2.77E-1","2.85E-1","24","0.75190860138885","7.45E-1"
"25","2.76E-3","3.22E-3","25","3.65E-2","4.08E-2","25","2.72E-1","2.77E-1","25","0.74936706238342","7.41E-1"
"26","2.49E-3","2.90E-3","26","3.44E-2","3.82E-2","26","2.65E-1","2.68E-1","26","0.74584674402731","7.36E-1"
"27","2.36E-3","2.61E-3","27","3.34E-2","3.58E-2","27","2.61E-1","2.60E-1","27","0.74365327275279","7.31E-1"
"28","2.08E-3","2.36E-3","28","3.09E-2","3.37E-2","28","2.51E-1","2.53E-1","28","0.73890956077956","7.27E-1"
"29","1.98E-3","2.14E-3","29","2.99E-2","3.17E-2","29","2.47E-1","2.45E-1","29","0.73661553660499","7.22E-1"
"30","1.81E-3","1.95E-3","30","2.82E-2","2.99E-2","30","2.39E-1","2.39E-1","30","0.73245548265089","7.18E-1"
"31","1.69E-3","1.77E-3","31","2.68E-2","2.82E-2","31","2.33E-1","2.32E-1","31","0.72928194288594","7.14E-1"
"32","1.35E-3","1.62E-3","32","2.29E-2","2.66E-2","32","2.15E-1","2.26E-1","32","0.72085741465847","7.10E-1"
"33","1.24E-3","1.48E-3","33","2.17E-2","2.52E-2","33","2.09E-1","2.20E-1","33","0.7176738840605","7.06E-1"
"34","1.12E-3","1.36E-3","34","2.02E-2","2.39E-2","34","2.02E-1","2.14E-1","34","0.71373233929302","7.02E-1"
"35","1.06E-3","1.25E-3","35","1.96E-2","2.26E-2","35","1.99E-1","2.09E-1","35","0.71156110567908","6.98E-1"
"36","9.45E-4","1.15E-3","36","1.82E-2","2.15E-2","36","1.92E-1","2.04E-1","36","0.70739106089196","6.95E-1"
"37","9.04E-4","1.06E-3","37","1.76E-2","2.04E-2","37","1.89E-1","1.99E-1","37","0.70548796834478","6.91E-1"
"38","8.47E-4","9.75E-4","38","1.69E-2","1.94E-2","38","1.85E-1","1.94E-1","38","0.70266797515463","6.88E-1"
"39","8.11E-4","9.02E-4","39","1.64E-2","1.85E-2","39","1.82E-1","1.89E-1","39","0.70072620841514","6.84E-1"
"40","7.12E-4","8.35E-4","40","1.51E-2","1.76E-2","40","1.76E-1","1.85E-1","40","0.69648848379146","6.81E-1"
"41","6.79E-4","7.74E-4","41","1.47E-2","1.68E-2","41","1.73E-1","1.81E-1","41","0.69459119237313","6.78E-1"
"42","6.41E-4","7.19E-4","42","1.41E-2","1.60E-2","42","1.70E-1","1.77E-1","42","0.69209606239849","6.74E-1"
"43","6.20E-4","6.68E-4","43","1.38E-2","1.53E-2","43","1.68E-1","1.73E-1","43","0.69051428793252","6.71E-1"
"44","5.74E-4","6.22E-4","44","1.32E-2","1.47E-2","44","1.64E-1","1.69E-1","44","0.6873652418227","6.68E-1"
"45","5.55E-4","5.80E-4","45","1.29E-2","1.40E-2","45","1.62E-1","1.65E-1","45","0.68580119302821","6.65E-1"
"46","5.22E-4","5.41E-4","46","1.24E-2","1.34E-2","46","1.59E-1","1.62E-1","46","0.68322291354008","6.62E-1"
"47","4.96E-4","5.06E-4","47","1.20E-2","1.29E-2","47","1.57E-1","1.59E-1","47","0.68124053889864","6.59E-1"
"48","4.23E-4","4.73E-4","48","1.09E-2","1.23E-2","48","1.50E-1","1.55E-1","48","0.67674498632615","6.56E-1"
"49","3.98E-4","4.43E-4","49","1.06E-2","1.18E-2","49","1.48E-1","1.52E-1","49","0.67484028235429","6.53E-1"
"50","3.71E-4","4.15E-4","50","1.01E-2","1.14E-2","50","1.45E-1","1.49E-1","50","0.67233516154664","6.51E-1"
"51","3.57E-4","3.89E-4","51","9.92E-3","1.09E-2","51","1.44E-1","1.46E-1","51","0.67078787156882","6.48E-1"
"52","3.30E-4","3.66E-4","52","9.47E-3","1.05E-2","52","1.40E-1","1.43E-1","52","0.6679188910684","6.45E-1"
"53","3.20E-4","3.44E-4","53","9.29E-3","1.01E-2","53","1.39E-1","1.40E-1","53","0.66642703409958","6.42E-1"
"54","3.05E-4","3.23E-4","54","9.02E-3","9.70E-3","54","1.37E-1","1.38E-1","54","0.66422357199204","6.40E-1"
"55","2.95E-4","3.04E-4","55","8.84E-3","9.34E-3","55","1.35E-1","1.35E-1","55","0.66259442164047","6.37E-1"
"56","2.68E-4","2.87E-4","56","8.35E-3","8.99E-3","56","1.32E-1","1.33E-1","56","0.65901931484524","6.35E-1"
"57","2.59E-4","2.71E-4","57","8.16E-3","8.67E-3","57","1.30E-1","1.30E-1","57","0.65738726392925","6.32E-1"
