"Number of measurements","before HD","","","after HD","","","control","",""
"","base","t-BOOH","+H2O2","base","t-BOOH","+H2O2","base","t-BOOH","+H2O2"
"1","0.515","0.499","0.412","0.497","0.561","0.522","0.377","0.451","0.632"
"2","0.486","0.476","0.484","0.492","0.523","0.504","0.365","0.452","0.621"
"3","0.484","0.475","0.464","0.481","0.487","0.465","0.363","0.467","0.59"
"4","0.481","0.471","0.463","0.464","0.482","0.456","0.362","0.465","0.556"
"5","0.472","0.468","0.453","0.464","0.478","0.443","0.356","0.458","0.54"
"6","0.462","0.461","0.448","0.452","0.454","0.431","0.344","0.451","0.529"
"7","0.457","0.456","0.447","0.444","0.441","0.424","0.336","0.449","0.511"
"8","0.396","0.445","0.436","0.439","0.433","0.423","0.33","0.443","0.509"
"9","0.384","0.433","0.414","0.432","0.433","0.388","0.328","0.441","0.559"
"","","","","","","","","",""
"mean","0.46","0.46","0.45","0.46","0.48","0.45","0.35","0.45","0.56"
"SD","0.04","0.02","0.02","0.02","0.04","0.04","0.02","0.01","0.04"
