"Number of tables on this sheet:","4","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Overall participation in voluntary work","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Data owner:","Department for Culture, Media and Sport (With Arts Council England, Sports England, English Heritage and MLA).","","","","","","","","","","","","",""
"Link to data owner:","www.culture.gov.uk","","","","","","","","","","","","",""
"Data source:","Taking Part","","","","","","","","","","","","",""
"Link to data source:","https://www.kmrsoftware.net/netquestdcms/login/login.aspx?ReturnUrl=%2fnetquestdcms%2fdefault.aspx","","","","","","","","","","","","",""
"Date:","2005/06, 2006/07, 2007/08","","","","","","","","","","","","",""
"Update cycle:","Annual","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"During the last 12 months, have you done any voluntary work?","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Total number of people that undertook voluntary work overall (000's) by region in 2005/06 and 2007/08","","","","","","","","","","","","","",""
"","Yes","","No","","Don't know","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Region","2005/06","2007/08","2005/06","2007/08","2005/06","2007/08","","","","","","","",""
"East Midlands","829","889","2,567","2,693","1","2","","","","","","","",""
"East of England","1,161","1,204","3,233","3,375","0","0","","","","","","","",""
"London","1,393","1,437","4,468","4,626","1","4","","","","","","","",""
"North East","392","390","1,600","1,714","0","2","","","","","","","",""
"North West","1,025","1,158","4,297","4,416","4","0","","","","","","","",""
"South East","1,888","1,921","4,621","4,800","5","3","","","","","","","",""
"South West","1,184","1,173","2,863","3,075","4","3","","","","","","","",""
"West Midlands","938","903","3,254","3,439","0","2","","","","","","","",""
"Yorkshire and Humberside","746","856","3,221","3,350","2","0","","","","","","","",""
"","","","","","","","","","","","","","",""
"England","9,557","9,931","30,126","31,489","18","16","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
