"Year","Total","Federal SSI","Federally administered state supplementation"
"All ages","","",""
"2003","7,359,510","7,028,753","3,063,693"
"2004","7,865,262","7,569,066","2,791,378"
"2005","7,983,672","7,685,852","2,511,220"
"2006","8,075,335","7,774,794","2,520,614"
"2007","8,207,780","7,904,966","2,549,103"
"2008","8,407,821","8,102,727","2,598,096"
"2009","8,648,819","8,352,851","2,640,286"
"2010","9,176,526","8,898,268","2,678,722"
"2011","9,306,902","9,031,490","2,701,965"
"2012","9,179,222","8,928,794","2,643,997"
"2013","9,267,240","9,036,874","2,458,839"
"2014","9,259,225","9,034,464","2,435,049"
"2015","9,211,209","9,034,100","1,712,994"
"2016","9,177,799","9,005,755","1,676,091"
"2017","9,126,207","8,957,212","1,657,392"
"2018","9,021,361","8,857,209","1,628,079"
"Under age 18","","",""
"2003","1,014,331","1,007,672","343,024"
"2004","1,095,705","1,093,835","293,160"
"2005","1,132,751","1,131,056","242,891"
"2006","1,161,137","1,159,587","243,159"
"2007","1,192,127","1,190,524","246,571"
"2008","1,233,315","1,231,731","254,836"
"2009","1,283,222","1,281,960","264,543"
"2010","1,360,159","1,358,775","273,160"
"2011","1,396,189","1,394,779","277,676"
"2012","1,399,975","1,398,876","276,138"
"2013","1,410,853","1,409,945","257,556"
"2014","1,401,244","1,400,307","254,522"
"2015","1,388,593","1,387,809","163,603"
"2016","1,353,445","1,352,705","154,236"
"2017","1,309,604","1,308,843","148,150"
"2018","1,270,101","1,269,266","142,737"
"Aged 18–64","","",""
"2003","4,249,282","4,085,612","1,693,964"
"2004","4,576,320","4,436,459","1,495,703"
"2005","4,654,089","4,513,340","1,312,884"
"2006","4,712,198","4,569,868","1,310,485"
"2007","4,804,898","4,662,140","1,323,451"
"2008","4,947,475","4,803,468","1,349,414"
"2009","5,123,603","4,983,145","1,372,075"
"2010","5,528,248","5,392,520","1,401,291"
"2011","5,606,571","5,472,203","1,414,695"
"2012","5,497,414","5,374,759","1,372,466"
"2013","5,547,990","5,436,212","1,248,305"
"2014","5,523,419","5,415,685","1,224,472"
"2015","5,471,341","5,390,153","837,681"
"2016","5,432,951","5,355,957","804,235"
"2017","5,380,573","5,306,528","784,407"
"2018","5,280,770","5,210,508","757,613"
"Aged 65 or older","","",""
"2003","2,095,897","1,935,469","1,026,705"
"2004","2,193,237","2,038,772","1,002,515"
"2005","2,196,832","2,041,456","955,445"
"2006","2,202,000","2,045,339","966,970"
"2007","2,210,755","2,052,302","979,081"
"2008","2,227,031","2,067,528","993,846"
"2009","2,241,994","2,087,746","1,003,668"
"2010","2,288,119","2,146,973","1,004,271"
"2011","2,304,142","2,164,508","1,009,594"
"2012","2,281,833","2,155,159","995,393"
"2013","2,308,397","2,190,717","952,978"
"2014","2,334,562","2,218,472","956,055"
"2015","2,351,275","2,256,138","711,710"
"2016","2,391,403","2,297,093","717,620"
"2017","2,436,030","2,341,841","724,835"
"2018","2,470,490","2,377,435","727,729"
"","","",""
