"Year","","All ages","Under 18","","18–64 a","","65 or older",""
"","","","Number","Percentage
of total","Number","Percentage
of total","Number","Percentage
of total"
"1974","","3,996,064","b 70,900","1.8","1,503,155","37.6","2,422,009","60.6"
"1975","","4,314,275","107,026","2.5","1,699,394","39.4","2,507,855","58.1"
"1976","","4,235,939","125,412","3.0","1,713,594","40.5","2,396,933","56.6"
"1977","","4,237,692","147,355","3.5","1,736,879","41.0","2,353,458","55.5"
"1978","","4,216,925","165,899","3.9","1,747,126","41.4","2,303,900","54.6"
"1979","","4,149,575","177,306","4.3","1,726,553","41.6","2,245,716","54.1"
"1980","","4,142,017","190,394","4.6","1,730,847","41.8","2,220,776","53.6"
"1981","","4,018,875","194,890","4.8","1,702,895","42.4","2,121,090","52.8"
"1982","","3,857,590","191,570","5.0","1,655,279","42.9","2,010,741","52.1"
"1983","","3,901,497","198,323","5.1","1,699,774","43.6","2,003,400","51.3"
"1984","","4,029,333","211,587","5.3","1,780,459","44.2","2,037,287","50.6"
"1985","","4,138,021","227,384","5.5","1,879,168","45.4","2,031,469","49.1"
"1986","","4,269,184","241,198","5.6","2,010,458","47.1","2,017,528","47.3"
"1987","","4,384,999","250,902","5.7","2,118,710","48.3","2,015,387","46.0"
"1988","","4,463,869","255,135","5.7","2,202,714","49.3","2,006,020","44.9"
"1989","","4,593,059","264,890","5.8","2,301,926","50.1","2,026,243","44.1"
"1990","","4,817,127","308,589","6.4","2,449,897","50.9","2,058,641","42.7"
"1991","","5,118,470","397,162","7.8","2,641,524","51.6","2,079,784","40.6"
"1992","","5,566,189","556,470","10.0","2,910,016","52.3","2,099,703","37.7"
"1993","","5,984,330","722,678","12.1","3,148,413","52.6","2,113,239","35.3"
"1994","","6,295,786","841,474","13.4","3,335,255","53.0","2,119,057","33.7"
"1995","","6,514,134","917,048","14.1","3,482,256","53.5","2,114,830","32.5"
"1996","","6,613,718","955,174","14.4","3,568,393","54.0","2,090,151","31.6"
"1997","","6,494,985","879,828","13.5","3,561,625","54.8","2,053,532","31.6"
"1998","","6,566,069","887,066","13.5","3,646,020","55.5","2,032,983","31.0"
"1999","","6,556,634","847,063","12.9","3,690,994","56.3","2,018,577","30.8"
"2000","","6,601,686","846,784","12.8","3,744,038","56.7","2,010,864","30.5"
"2001","","6,688,489","881,836","13.2","3,811,494","57.0","1,995,159","29.8"
"2002","","6,787,857","914,821","13.5","3,877,752","57.1","1,995,284","29.4"
"2003","","6,902,364","959,379","13.9","3,953,248","57.3","1,989,737","28.8"
"2004","","6,987,845","993,127","14.2","4,017,108","57.5","1,977,610","28.3"
"2005","","7,113,879","1,036,498","14.6","4,082,870","57.4","1,994,511","28.0"
"2006","","7,235,583","1,078,977","14.9","4,152,130","57.4","2,004,476","27.7"
"","","","","","","","",""
