"Region and state or area","","","Number","Average monthly payment a (dollars)"
"","","All areas","1,078,977","537.83"
"Boston","","","37,439","545.79"
"","Connecticut","","6,898","518.60"
"","Maine","","3,504","509.12"
"","Massachusetts","","19,129","560.69"
"","New Hampshire","","1,953","487.22"
"","Rhode Island","","4,232","576.64"
"","Vermont","","1,723","554.40"
"New York","","","96,126","550.67"
"","New Jersey","","22,704","530.95"
"","New York","","73,422","556.77"
"Philadelphia","","","115,787","519.56"
"","Delaware","","3,334","507.37"
"","District of Columbia","","4,441","533.12"
"","Maryland","","15,275","510.66"
"","Pennsylvania","","60,991","525.45"
"","Virginia","","22,810","506.39"
"","West Virginia","","8,936","525.96"
"Atlanta","","","275,413","524.38"
"","Alabama","","28,672","532.52"
"","Florida","","80,608","521.76"
"","Georgia","","35,046","523.82"
"","Kentucky","","27,797","535.60"
"","Mississippi","","22,853","532.95"
"","North Carolina","","38,295","512.91"
"","South Carolina","","18,731","518.39"
"","Tennessee","","23,411","526.19"
"Chicago","","","177,249","530.95"
"","Illinois","","45,096","533.97"
"","Indiana","","21,545","524.05"
"","Michigan","","38,719","536.79"
"","Minnesota","","11,212","512.17"
"","Ohio","","43,565","534.81"
"","Wisconsin","","17,112","520.94"
"Dallas","","","166,907","526.90"
"","Arkansas","","19,501","529.14"
"","Louisiana","","29,343","538.04"
"","New Mexico","","7,762","533.87"
"","Oklahoma","","14,592","524.64"
"","Texas","","95,709","522.81"
"Kansas City","","","38,228","516.79"
"","Iowa","","7,124","498.85"
"","Kansas","","7,302","512.29"
"","Missouri","","20,269","527.26"
"","Nebraska","","3,533","502.20"
"Denver","","","17,341","493.20"
"","Colorado","","7,161","497.05"
"","Montana","","2,091","514.85"
"","North Dakota","","989","478.69"
"","South Dakota","","2,020","491.01"
"","Utah","","4,219","482.51"
"","Wyoming","","861","482.76"
"San Francisco","","","125,498","615.73"
"","Arizona","","17,804","528.67"
"","California","","99,711","639.98"
"","Hawaii","","1,557","496.88"
"","Nevada","","6,193","507.00"
"","Northern Mariana Islands","","233","577.52"
"Seattle","","","28,989","508.01"
"","Alaska","","1,155","475.75"
"","Idaho","","4,296","494.23"
"","Oregon","","8,321","514.22"
"","Washington","","15,217","510.95"
"","","","",""
