"Risk of COVID Transmission ","","","","",""
"Variable","Mean","Suggested Range","Comment","",""
"Current percentage of population that has or has had COVID","2%","0% - 72%","Number of COVID cases in 2020 divided by total population","",""
"Number of months until country expects to achieve herd immunity","8","Original study in June 2020:  5-6 months - more likely at least 1 year","Length of community spread (in months). After this period, between 40% and 70% of the population will have been infected (corresponds to herd immunity required for R0 between 1.6 and 3.6","",""
"Proportion of SARS-CoV2 infected population at end of risk period","33%","38% - 72%","Herd immunity calculated based on R0:
=1 - 1/R0","",""
"Reproduction number for SARS-CoV2","1.5","1.6 - 3.6","Expected number of cases directly generated by one case in a population where all individuals are susceptible to infection","",""
"Increased risk of infection for inpatient stay vs. ambulatory visit (1 day stay vs. 1 outpatient visit)","3","2-6","Higher risk of getting infected  due to a) longer stay in a potentially contagious environment, b) contacts with more health care providers, ","",""
"Infection rate within household","90%","","Assumption that if either child or caretaker gets infected they will infect a large percentage of other household members, owing to the high secondary attack rates observed for family gatherings","",""
"Infection fatality rate","","","","",""
"Children (aged <20)","0.00413%","","Based on Ghisolfi S, Almås I,Sandefur JC, et al. Predicted
COVID-19 fatality rates basedon age, sex, comorbidities
and health system capacity.BMJ Global Health 2020;5:
e003094. doi:10.1136/bmjgh-2020-003094","",""
"Adults (aged 20-59)","0.09618%","","","",""
"Older adults (60+)","1.16295%","","","",""
"Household Age Distribution","","","","",""
"Average Household Size","6.3","","","",""
"Children (aged <20)","3.2","","","",""
"Adults (aged 20-59)","2.8","","","",""
"Older adults (60+)","0.3","","","",""
