"In addition needed: number of pregnancies and births","","","",""
"Paste Total Pregnancies from FamPlan module, Results/Demographic Events/Pregnancies in cell Q26 below","","","",""
"Pregnancies","","","",""
"","Model with mitigation","","",""
"2019","1,062,160","","",""
"2020","1,562,943","","",""
"2021","1,517,733","","",""
"","","","",""
"Paste Total Births from FamPlan module, Results/Demographic Events/Births in cell Q33 below","","","",""
"Births","","","",""
"","Model with mitigation","","",""
"2019","695,873","66%","",""
"2020","991,970","63%","",""
"2021","968,611","64%","",""
