"","1. Selection of Essential Services to be Included in Analysis","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"Int#","","Include?","","Include?",""
"1","Family Planning","x","FP - Pills","x",""
"2","","","FP - Condoms","x",""
"3","","","FP - Injectables","",""
"4","","","FP - Implants","",""
"5","","","FP - IUD","x",""
"6","","","FP - Female Sterilization","x",""
"7","","","FP - Male Sterilization","",""
"8","","","FP - Traditional Methods","x","Included now"
"11","Antenatal Care","x","TT - Tetanus toxoid vaccination","x",""
"12","","","IPTp - Intermittent preventive treatment of malaria during pregnancy","",""
"13","","","Syphilis detection and treatment","x",""
"14","","","Calcium supplementation","",""
"15","","","Iron and folate supplementation in pregnancy","x",""
"16","","","Multiple micronutrient supplementation in pregnancy","",""
"17","","","Balanced energy supplementation","",""
"18","","","Hypertensive disorder case management","x",""
"19","","","Diabetes case management","x",""
"20","","","Malaria case management","x",""
"21","","","MgSO4 management of pre-eclampsia","x",""
"22","Delivery Care&EmOC","x","Health Facility Delivery","x",""
"23","","","Clean birth environment","x",""
"24","","","Manual removal of placenta","x",""
"25","","","MgSO4 management of eclampsia","x",""
"26","","","Antibiotics for preterm or prolonged PROM","x",""
"27","","","Parenteral administration of antibiotics","x",""
"28","","","Assisted vaginal delivery","x",""
"29","","","Active management of third stage of labor (AMTSL)","x",""
"30","","","Removal of retained products of conception","x",""
"31","","","Induction of labor for pregnancies lasting 41+ weeks","x",""
"32","","","Antenatal corticosteroids for preterm labor","",""
"33","","","Maternal sepsis case management","",""
"34","","","Safe abortion services","x",""
"35","","","Post abortion case management","",""
"36","","","Cesarean delivery","x",""
"37","","","Blood transfusion","",""
"38","","","Ectopic pregnancy case management","",""
"39","Newborn Care","x","Immediate drying and additional stimulation","x",""
"40","","","Thermal protection","x",""
"41","","","Clean cord care","x",""
"42","","","Neonatal resuscitation","x",""
"","","","Case management of premature babies","",""
"43","","","Kangaroo-Mother Care (KMC)","",""
"44","","","Full supportive care of prematurity","",""
"","","","Case management of neonatal sepsis/pneumonia","",""
"45","","","Oral antibiotics for neonatal sepsis","",""
"46","","","Injectable antibiotics for neonatal sepsis","x",""
"47","","","Full supportive care for neonatal sepsis/pneumonia","",""
"48","Breastfeeding","","Early Initiation of Breastfeeding","",""
"49","","","Complementary feeding - Education only","",""
"50","","","Complementary feeding - Supplementary feeding + Education","",""
"51","Vaccines","x","BCG - Single dose","x",""
"52","","","Polio - Three doses","x",""
"","","","Pentavalent","",""
"53","","","DPT - Three doses","x",""
"54","","","Hib - Three doses","x",""
"55","","","HepB - Three doses","x",""
"56","","","Pneumococcal - Three doses","x",""
"57","","","Rotavirus - Two doses","x",""
"58","","","Meningococcal A - Single dose","",""
"59","","","Malaria vaccine - Three doses","",""
"60","","","Measles - Single dose","x",""
"61","Child Health","x","Vitamin A supplementation","x",""
"62","","","Zinc supplementation","",""
"63","","","ORS - Oral Rehydration Solution","x",""
"64","","","Antibiotics for treatment of dysentery","",""
"65","","","Zinc for treatment of diarrhea","",""
"66","","","Oral antibiotics for pneumonia","",""
"67","","","Vitamin A for treatment of measles","x",""
"68","","","ACTs - Artemisinin compounds for treatment of malaria","",""
"69","Malnutrition","","SAM - treatment for severe acute malnutrition","",""
"70","","","MAM - treatment for moderate acute malnutrition","",""
"71","Other","","ITN/IRS - Households protected from malaria","",""
"","","","","",""
