"","","Demographic and Epidemiological Data","","","","","","","","",""
"","","DEMOGRAPHIC DATA","Name in Spectrum Download","Source/Note","","","Population Size 2019","Population Size 2020","Population Size 2021","LiST Data Table",""
"","","Total Population","Total population","UN Pop Division/LiST ","","","36,527,272","36,973,076","37,414,340","DemProj/Demographic Data",""
"","x","Women of Reproductive Age (aged 15-49)","Women of reproductive age","UN Pop Division/LiST ","","","9,539,852","9,606,402","9,662,148","DemProj/Demographic Data",""
"","","Married WRA","Married women of reproductive age","UN Pop Division/LiST ","52.3%","Marriage Rate","4,989,342","5,024,148","5,053,303","FamPlan/Proximate Determinants: Percent of women 15-49 in union",""
"","","Pregnancies","Pregnancies","FamPlan Result","","Births + Abortions + Miscarriage","1,067,630","1,061,789","1,057,944","FamPlan/Results/Demographic Events\Pregnancies",""
"","","Births","Births","Fam Plan Result","53.6","Total Pop x CBR/1000","681,650","677,212","674,024","FamPlan/Results/Demographic Events\Births",""
"","","Abortions","Abortions","","23.2%","","247,188","246,545","246,387","LiST/Health status, mortality and economic status/Abortions",""
"","","Miscarriage","Miscarriage","LiST","13.0%","","138,792","138,033","137,533","LiST/Health status, mortality and economic status/Abortions",""
"","","Newborns","Newborns","=Births","","","681,650","677,212","674,024","",""
"","","Children < 1","Children < 1","=Births","","","681,650","677,212","674,024","",""
"","","Children under 5","Population aged 0-4","UN Pop Division/LiST","","","3,389,553","3,359,654","3,334,037","DemProj/Demographic Data",""
"Int# in LiST","Int#","EPIDEMIOLOGICAL DATA","Name in Spectrum Download","Target Population","% Requiring Intervention","Note","No. Requiring Intervention 2019","No. Requiring Intervention 2020","No. Requiring Intervention 2021","LiST Data Table",""
"1","2","FP - Condoms","FP - Condoms","Married WRA","0.0%","% of Women Using","0","0","0","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"2","6","FP - Female Sterilization","FP - Female Sterilization","Married WRA","0.0%","% of Women Using","0","0","0","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"3","7","FP - Male Sterilization","FP - Male Sterilization","Married WRA","0.0%","% of Women Using","0","0","0","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"4","3","FP - Injectables","FP - Injectables","Married WRA","0.0%","% of Women Using","0","0","0","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"5","4","FP - Implants","FP - Implants","Married WRA","0.0%","% of Women Using","0","0","0","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"6","5","FP - IUD","FP - IUD","Married WRA","4.4%","% of Women Using","217,959","219,480","220,753","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"7","1","FP - Pills","FP - Pills","Married WRA","50.3%","% of Women Using","2,511,722","2,529,244","2,543,921","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"8","8","FP - Traditional Methods","FP - Traditional Methods","Married WRA","11.0%","% of Women Using","550,088","553,925","557,140","FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix",""
"9","68","Folic acid supplementation/fortification","Folic acid supplementation/fortification","Women of Reproductive Age (aged15-49)","100.0%","","9,539,852","9,606,402","9,662,148","",""
"10","34","Safe abortion services","Safe abortion services","Abortions","100.0%","All abortions","247,188","246,545","246,387","",""
"11","35","Post abortion case management","Post abortion case management","Abortions","26.4%","1% of safe abortions, 40% of unsafe","65,134","64,965","64,923","65% of abortions are unsafe  (FamPlan Impact Rates)",""
"12","38","Ectopic pregnancy case management","Ectopic pregnancy case management","Pregnancies","1.0%","2% incidence, 50% requiring treatment","10,676","10,618","10,579","Estimate, no data in LiST",""
"13","72","Blanket iron supplementation/fortification","Blanket iron supplementation/fortification","Women of Reproductive Age (aged15-49)","100.0%","All women of rep. age","9,539,852","9,606,402","9,662,148","",""
"14","9","Antenatal care (at least 1 visit)","Antenatal care (at least 1 visit)","Pregnancies","100.0%","All pregnant women","1,067,630","1,061,789","1,057,944","",""
"15","10","Antenatal care (at least 4 visits)","Antenatal care (at least 4 visits)","Pregnancies","100.0%","All pregnant women","1,067,630","1,061,789","1,057,944","",""
"16","11","TT - Tetanus toxoid vaccination","TT - Tetanus toxoid vaccination","Pregnancies","100.0%","All pregnant women","1,067,630","1,061,789","1,057,944","",""
"17","12","IPTp - Intermittent preventive treatment of malaria during pregnancy","Percent of women exposed to falciparum","Pregnancies","0.0%","Women exposed to falciparum","0","0","0","LiST/Health status, mortality and economic status/Baseline maternal health status: Percent of women exposed to falciparum",""
"18","13","Syphilis detection and treatment","Syphilis detection and treatment","Pregnancies","100.0%","All pregnant women","1,067,630","1,061,789","1,057,944","No data in LiSt",""
"19","14","Calcium supplementation","Calcium supplementation","Pregnancies","100.0%","Women with low calcium levels","1,067,630","1,061,789","1,057,944","No data in LiSt",""
"20","15","Iron supplementation in pregnancy","Iron supplementation in pregnancy","Pregnancies","100.0%","All pregnant women","1,067,630","1,061,789","1,057,944","",""
"21","16","Multiple micronutrient supplementation in pregnancy","Multiple micronutrient supplementation in pregnancy","Pregnancies","100.0%","","1,067,630","1,061,789","1,057,944","",""
