"Impact of Mitigation Strategies on Intervention Coverage and Risk of Infection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","This section hidden, for calculations only","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","This section hidden, for calculations only","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","This section hidden, for calculations only","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","This section hidden, for calculations only","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cumulative impact on number of visits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact on Infection Risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cumulative impact on coverage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","% Improvement in Coverage Attributable to Individual Interventions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Family Planning","","","","","","","","Antenatal Care","","","","","","","","","","","","","Delivery Care","","","","","","","","","","","","","","","","","Newborn Care","","","","","","","","","Breastfeeding","","","Vaccines","","","","","","","","","","Child Health","","","","","","","","Malnutrition","","","","Family Planning","","","","","","","","Antenatal Care","","","","","","","","","","","","","Delivery Care","","","","","","","","","","","","","","","","","Newborn Care","","","","","","","","","Breastfeeding","","","Vaccines","","","","","","","","","","Child Health","","","","","","","","Malnutrition","","","","Family Planning","","","","","","","","Antenatal Care","","","","","","","","","","","","","Delivery Care","","","","","","","","","","","","","","","","","Newborn Care","","","","","","","","","Breastfeeding","","","Vaccines","","","","","","","","","","Child Health","","","","","","","","Malnutrition","","","","Family Planning","","","","","","","","Antenatal Care","","","","","","","","","","","","","Delivery Care","","","","","","","","","","","","","","","","","Newborn Care","","","","","","","","","Breastfeeding","","","Vaccines","","","","","","","","","","Child Health","","","","","","","","Malnutrition","","","","Family Planning","","","","","","","","Antenatal Care","","","","","","","","","","","","","Delivery Care","","","","","","","","","","","","","","","","","Newborn Care","","","","","","","","","Breastfeeding","","","Vaccines","","","","","","","","","","Child Health","","","","","","","","Malnutrition","",""
"","","","","x","x","","","x","x","","x","x","x","x","","x","","x","","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","x","","x","","","x","x","x","x","","","","x","","","","","x","x","x","x","x","x","x","","","x","x","","x","","","","x","","","","","","x","x","","","x","x","","x","x","x","x","","x","","x","","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","x","","x","","","x","x","x","x","","","","x","","","","","x","x","x","x","x","x","x","","","x","x","","x","","","","x","","","","","","x","x","","","x","x","","x","x","x","x","","x","","x","","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","x","","x","","","x","x","x","x","","","","x","","","","","x","x","x","x","x","x","x","","","x","x","","x","","","","x","","","","","","x","x","","","x","x","","x","x","x","x","","x","","x","","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","x","","x","","","x","x","x","x","","","","x","","","","","x","x","x","x","x","x","x","","","x","x","","x","","","","x","","","","","","x","x","","","x","x","","x","x","x","x","","x","","x","","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","","x","","x","","","x","x","x","x","","","","x","","","","","x","x","x","x","x","x","x","","","x","x","","x","","","","x","","","",""
"","","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71"
"Modifications to ensure continued/safer delivery of services","Estimated % decrease in number of health facility visits per Person per Intervention","For hygiene interventions only:  %
Decrease in Infection/
Transmission Risk for in-person visits that still take place in the remaining visits","Estimated Relative Increase in Coverage ","FP - Pills","FP - Condoms","FP - Injectables","FP - Implants","FP - IUD","FP - Female Sterilization","FP - Male Sterilization","FP - Traditional Methods","Antenatal care (at least 1 visit)","Antenatal care (at least 4 visits)","TT - Tetanus toxoid vaccination","IPTp - Intermittent preventive treatment of malaria during pregnancy","Syphilis detection and treatment","Calcium supplementation","Iron and folate supplementation in pregnancy","Multiple micronutrient supplementation in pregnancy","Balanced energy supplementation","Hypertensive disorder case management","Diabetes case management","Malaria case management","MgSO4 management of pre-eclampsia","Health Facility Delivery","Clean birth environment","Manual removal of placenta","MgSO4 management of eclampsia","Antibiotics for preterm or prolonged PROM","Parenteral administration of antibiotics","Assisted vaginal delivery","Active management of third stage of labor (AMTSL)","Removal of retained products of conception","Induction of labor for pregnancies lasting 41+ weeks","Antenatal corticosteroids for preterm labor","Maternal sepsis case management","Safe abortion services","Post abortion case management","Cesarean delivery","Blood transfusion","Ectopic pregnancy case management","Immediate drying and additional stimulation","Thermal protection","Clean cord care","Neonatal resuscitation","Kangaroo-Mother Care (KMC)","Full supportive care of prematurity","Oral antibiotics for neonatal sepsis","Injectable antibiotics for neonatal sepsis","Full supportive care for neonatal sepsis/pneumonia","Breastfeeding","Complementary feeding - Education only","Complementary feeding - Supplementary feeding + Education","BCG - Single dose","Polio - Three doses","DPT - Three doses","Hib - Three doses","HepB - Three doses","Pneumococcal - Three doses","Rotavirus - Two doses","Meningococcal A - Single dose","Malaria vaccine - Three doses","Measles - Single dose","Vitamin A supplementation","Zinc supplementation","ORS - Oral Rehydration Solution","Antibiotics for treatment of dysentery","Zinc for treatment of diarrhea","Oral antibiotics for pneumonia","Vitamin A for treatment of measles","ACTs - Artemisinin compounds for treatment of malaria","SAM - treatment for severe acute malnutrition","MAM - treatment for moderate acute malnutrition","ITN/IRS - Households protected from malaria","","FP - Pills","FP - Condoms","FP - Injectables","FP - Implants","FP - IUD","FP - Female Sterilization","FP - Male Sterilization","FP - Traditional Methods","Antenatal care (at least 1 visit)","Antenatal care (at least 4 visits)","TT - Tetanus toxoid vaccination","IPTp - Intermittent preventive treatment of malaria during pregnancy","Syphilis detection and treatment","Calcium supplementation","Iron and folate supplementation in pregnancy","Multiple micronutrient supplementation in pregnancy","Balanced energy supplementation","Hypertensive disorder case management","Diabetes case management","Malaria case management","MgSO4 management of pre-eclampsia","Health Facility Delivery","Clean birth environment","Manual removal of placenta","MgSO4 management of eclampsia","Antibiotics for preterm or prolonged PROM","Parenteral administration of antibiotics","Assisted vaginal delivery","Active management of third stage of labor (AMTSL)","Removal of retained products of conception","Induction of labor for pregnancies lasting 41+ weeks","Antenatal corticosteroids for preterm labor","Maternal sepsis case management","Safe abortion services","Post abortion case management","Cesarean delivery","Blood transfusion","Ectopic pregnancy case management","Immediate drying and additional stimulation","Thermal protection","Clean cord care","Neonatal resuscitation","Kangaroo-Mother Care (KMC)","Full supportive care of prematurity","Oral antibiotics for neonatal sepsis","Injectable antibiotics for neonatal sepsis","Full supportive care for neonatal sepsis/pneumonia","Breastfeeding","Complementary feeding - Education only","Complementary feeding - Supplementary feeding + Education","BCG - Single dose","Polio - Three doses","DPT - Three doses","Hib - Three doses","HepB - Three doses","Pneumococcal - Three doses","Rotavirus - Two doses","Meningococcal A - Single dose","Malaria vaccine - Three doses","Measles - Single dose","Vitamin A supplementation","Zinc supplementation","ORS - Oral Rehydration Solution","Antibiotics for treatment of dysentery","Zinc for treatment of diarrhea","Oral antibiotics for pneumonia","Vitamin A for treatment of measles","ACTs - Artemisinin compounds for treatment of malaria","SAM - treatment for severe acute malnutrition","MAM - treatment for moderate acute malnutrition","ITN/IRS - Households protected from malaria","","FP - Pills","FP - Condoms","FP - Injectables","FP - Implants","FP - IUD","FP - Female Sterilization","FP - Male Sterilization","FP - Traditional Methods","Antenatal care (at least 1 visit)","Antenatal care (at least 4 visits)","TT - Tetanus toxoid vaccination","IPTp - Intermittent preventive treatment of malaria during pregnancy","Syphilis detection and treatment","Calcium supplementation","Iron and folate supplementation in pregnancy","Multiple micronutrient supplementation in pregnancy","Balanced energy supplementation","Hypertensive disorder case management","Diabetes case management","Malaria case management","MgSO4 management of pre-eclampsia","Health Facility Delivery","Clean birth environment","Manual removal of placenta","MgSO4 management of eclampsia","Antibiotics for preterm or prolonged PROM","Parenteral administration of antibiotics","Assisted vaginal delivery","Active management of third stage of labor (AMTSL)","Removal of retained products of conception","Induction of labor for pregnancies lasting 41+ weeks","Antenatal corticosteroids for preterm labor","Maternal sepsis case management","Safe abortion services","Post abortion case management","Cesarean delivery","Blood transfusion","Ectopic pregnancy case management","Immediate drying and additional stimulation","Thermal protection","Clean cord care","Neonatal resuscitation","Kangaroo-Mother Care (KMC)","Full supportive care of prematurity","Oral antibiotics for neonatal sepsis","Injectable antibiotics for neonatal sepsis","Full supportive care for neonatal sepsis/pneumonia","Breastfeeding","Complementary feeding - Education only","Complementary feeding - Supplementary feeding + Education","BCG - Single dose","Polio - Three doses","DPT - Three doses","Hib - Three doses","HepB - Three doses","Pneumococcal - Three doses","Rotavirus - Two doses","Meningococcal A - Single dose","Malaria vaccine - Three doses","Measles - Single dose","Vitamin A supplementation","Zinc supplementation","ORS - Oral Rehydration Solution","Antibiotics for treatment of dysentery","Zinc for treatment of diarrhea","Oral antibiotics for pneumonia","Vitamin A for treatment of measles","ACTs - Artemisinin compounds for treatment of malaria","SAM - treatment for severe acute malnutrition","MAM - treatment for moderate acute malnutrition","ITN/IRS - Households protected from malaria","","FP - Pills","FP - Condoms","FP - Injectables","FP - Implants","FP - IUD","FP - Female Sterilization","FP - Male Sterilization","FP - Traditional Methods","Antenatal care (at least 1 visit)","Antenatal care (at least 4 visits)","TT - Tetanus toxoid vaccination","IPTp - Intermittent preventive treatment of malaria during pregnancy","Syphilis detection and treatment","Calcium supplementation","Iron and folate supplementation in pregnancy","Multiple micronutrient supplementation in pregnancy","Balanced energy supplementation","Hypertensive disorder case management","Diabetes case management","Malaria case management","MgSO4 management of pre-eclampsia","Health Facility Delivery","Clean birth environment","Manual removal of placenta","MgSO4 management of eclampsia","Antibiotics for preterm or prolonged PROM","Parenteral administration of antibiotics","Assisted vaginal delivery","Active management of third stage of labor (AMTSL)","Removal of retained products of conception","Induction of labor for pregnancies lasting 41+ weeks","Antenatal corticosteroids for preterm labor","Maternal sepsis case management","Safe abortion services","Post abortion case management","Cesarean delivery","Blood transfusion","Ectopic pregnancy case management","Immediate drying and additional stimulation","Thermal protection","Clean cord care","Neonatal resuscitation","Kangaroo-Mother Care (KMC)","Full supportive care of prematurity","Oral antibiotics for neonatal sepsis","Injectable antibiotics for neonatal sepsis","Full supportive care for neonatal sepsis/pneumonia","Breastfeeding","Complementary feeding - Education only","Complementary feeding - Supplementary feeding + Education","BCG - Single dose","Polio - Three doses","DPT - Three doses","Hib - Three doses","HepB - Three doses","Pneumococcal - Three doses","Rotavirus - Two doses","Meningococcal A - Single dose","Malaria vaccine - Three doses","Measles - Single dose","Vitamin A supplementation","Zinc supplementation","ORS - Oral Rehydration Solution","Antibiotics for treatment of dysentery","Zinc for treatment of diarrhea","Oral antibiotics for pneumonia","Vitamin A for treatment of measles","ACTs - Artemisinin compounds for treatment of malaria","SAM - treatment for severe acute malnutrition","MAM - treatment for moderate acute malnutrition","ITN/IRS - Households protected from malaria","","FP - Pills","FP - Condoms","FP - Injectables","FP - Implants","FP - IUD","FP - Female Sterilization","FP - Male Sterilization","FP - Traditional Methods","Antenatal care (at least 1 visit)","Antenatal care (at least 4 visits)","TT - Tetanus toxoid vaccination","IPTp - Intermittent preventive treatment of malaria during pregnancy","Syphilis detection and treatment","Calcium supplementation","Iron and folate supplementation in pregnancy","Multiple micronutrient supplementation in pregnancy","Balanced energy supplementation","Hypertensive disorder case management","Diabetes case management","Malaria case management","MgSO4 management of pre-eclampsia","Health Facility Delivery","Clean birth environment","Manual removal of placenta","MgSO4 management of eclampsia","Antibiotics for preterm or prolonged PROM","Parenteral administration of antibiotics","Assisted vaginal delivery","Active management of third stage of labor (AMTSL)","Removal of retained products of conception","Induction of labor for pregnancies lasting 41+ weeks","Antenatal corticosteroids for preterm labor","Maternal sepsis case management","Safe abortion services","Post abortion case management","Cesarean delivery","Blood transfusion","Ectopic pregnancy case management","Immediate drying and additional stimulation","Thermal protection","Clean cord care","Neonatal resuscitation","Kangaroo-Mother Care (KMC)","Full supportive care of prematurity","Oral antibiotics for neonatal sepsis","Injectable antibiotics for neonatal sepsis","Full supportive care for neonatal sepsis/pneumonia","Breastfeeding","Complementary feeding - Education only","Complementary feeding - Supplementary feeding + Education","BCG - Single dose","Polio - Three doses","DPT - Three doses","Hib - Three doses","HepB - Three doses","Pneumococcal - Three doses","Rotavirus - Two doses","Meningococcal A - Single dose","Malaria vaccine - Three doses","Measles - Single dose","Vitamin A supplementation","Zinc supplementation","ORS - Oral Rehydration Solution","Antibiotics for treatment of dysentery","Zinc for treatment of diarrhea","Oral antibiotics for pneumonia","Vitamin A for treatment of measles","ACTs - Artemisinin compounds for treatment of malaria","SAM - treatment for severe acute malnutrition","MAM - treatment for moderate acute malnutrition","ITN/IRS - Households protected from malaria"
"General ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50%","50%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","","90%","90%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","85%","","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%","16%"
"Maintain healthy environments1 - Handwashing and maintaining clean surfaces","0%","5%","5%","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%"
"Maintain healthy environments2 - Ventilation and Aeration","0%","10%","2%","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%"
"Maintain healthy environments3 - Physical Distancing","0%","10%","5%","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","5%","","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%","31%"
"Make patients use cloth or homemade masks","0%","10%","2%","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","10%","","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%","","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%","13%"
