"HIDDEN","","","Coverage Calculations - Impact of Covid on Original Coverage, Impact of Mitigation Strategies","","","","","","","","","","","","",""
"","","","","","Coverage Rate (%)","","","","","","Number of Women/Children Receiving Intervention*","","","","",""
"Selected","Int#","Int# in LiST","","","2019 Pre-COVID","2020 With COVID","2021 WITHOUT Mitigation","2021 WITH Mitigation","2021 General recovery","2021 WITH Mitigation + Gen. Recovery","2019 Pre-COVID","2020 With COVID","2021 WITHOUT Mitigation","2021 WITH Mitigation","2021 General recovery","2021 WITH Mitigation + Gen. Recovery"
"","0","0","Family Planning","Contraceptive Use","65.7%","46.0%","46.0%","51.9%","59.2%","68.6%","1,334,500","882,100","887,200","1,020,700","1,216,600","1,411,200"
"x","1","7","","FP - Pills","50.3%","32.2%","32.2%","37.4%","45.3%","52.6%","1,264,400","814,900","819,600","950,800","1,152,600","1,337,000"
"x","2","1","","FP - Condoms","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","3","4","","FP - Injectables","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","4","5","","FP - Implants","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","5","6","","FP - IUD","4.4%","2.8%","2.8%","3.2%","3.9%","4.6%","9,500","6,100","6,200","7,200","8,700","10,100"
"x","6","2","","FP - Female Sterilization","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","7","3","","FP - Male Sterilization","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","8","8","","FP - Traditional Methods + Other","11.0%","11.0%","11.0%","11.2%","9.9%","11.5%","60,600","61,100","61,400","62,700","55,300","64,100"
"x","9","14","Pregnancy/ Antenatal","Antenatal care (at least 1 visit)","67.5%","53.3%","53.3%","61.9%","60.8%","70.5%","720,700","566,200","564,100","654,400","642,700","745,500"
"x","10","15","","Antenatal care (at least 4 visits)","30.1%","23.8%","23.8%","27.6%","27.1%","31.4%","321,400","252,500","251,600","291,800","286,600","332,500"
"x","11","16","","TT - Tetanus toxoid vaccination","88.0%","69.5%","69.5%","80.6%","79.2%","91.9%","939,500","738,200","735,500","853,200","837,900","972,000"
"","12","17","","IPTp - Intermittent preventive treatment of malaria during pregnancy","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","13","18","","Syphilis detection and treatment","16.7%","13.2%","13.2%","15.3%","15.0%","17.4%","178,300","140,100","139,600","161,900","159,000","184,500"
"","14","19","","Calcium supplementation","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
