"Supplementary Table 1. Lithospheric thickness for global kimberlites and lamproites","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"locality","lithology","country","position","craton","age","mantle olivine","","magmatic olivine","","olivine references","Xenlith-based Lithospheric thickness","","","Present day seismic lithospheric thickness",""
"","","","","","Ma","Mg#","","Mg#","","","km","Employed Method","reference","km","reference"
"","","","","","","mean","st dev","mean","st dev","","","","","",""
"SOUTH AFRICA LAMPROITES (ORANGEITES)","","","","","","","","","","","","","","",""
"Finsch","olivine lamproite","South Africa","on craton","Kaapvaal","118","91.1","2.4","90.7","0.6","Sarkar et al., 2022","210","FITPLOT","Mather et al., 2011","190","Hoggard et al., 2020"
"Lace","olivine lamproite","South Africa","on craton","Kaapvaal","133","91.6","2.1","89.9","0.7","Sarkar et al., 2022","220","FITPLOT","Nimis et al., 2020 (Voorspoed)","200","Hoggard et al., 2020"
"Melton Wold","olivine lamproite","South Africa","craton margin","Kaapvaal","143","91.4","0.5","90.1","0.7","Sarkar et al., 2022","180","Paleogeotherm","Janney et al., 2010","180","Hoggard et al., 2020"
"","","","","","","","","","","","","","","","Hoggard et al., 2020"
"WEST AFRICA","","","","","","","","","","","","","","",""
"Koidu dyke DZB","kimberlite","Sierra Leone","on craton","Man","145","92.1","3.3","89.5","0.3","Viljioen et al., 2022","220","FITPLOT","Smit et al., 2016","200","Hoggard et al., 2020"
"Koidu Pipe 1","kimberlite","Sierra Leone","on craton","Man","145","91.3","4.6","89.4","0.4","Viljioen et al., 2022","220","FITPLOT","Smit et al., 2016","200","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"SOUTHERN AFRICA","","","","","","","","","","","","","","",""
"Big Hole (Kimberley)  ","kimberlite","South Africa","on craton","Kaapvaal","88","90.7","1.1","88.7","0.1","Soltys et al., 2020","200","","based on Bultfontein","200","Hoggard et al., 2020"
"Bultfontein","kimberlite","South Africa","on craton","Kaapvaal","88","90.8","2.6","89.1","0.2","Giuliani et al., 2016","200","FITPLOT","Mather et al 2011, Nimis et al. 2020","200","Hoggard et al., 2020"
"De Beers ","kimberlite","South Africa","on craton","Kaapvaal","88","91.0","3.1","88.9","0.2","Soltys et al., 2020","200","","based on Bultfontein","200","Hoggard et al., 2020"
"Wesselton","kimberlite","South Africa","on craton","Kaapvaal","88","90.8","2.8","89.1","0.2","Soltys et al., 2020","200","","based on Bultfontein","200","Hoggard et al., 2020"
"Dutoitspan ","kimberlite","South Africa","on craton","Kaapvaal","88","91.6","2.4","88.9","0.1","Soltys et al., 2020","200","","based on Bultfontein","200","Hoggard et al., 2020"
"Jagersfontein ","kimberlite","South Africa","on craton","Kaapvaal","86","90.2","3.1","90.2","0.2","Giuliani et al., 2020","210","Paleogeotherm","Bell et al., 2003","180","Hoggard et al., 2020"
"Monastery","kimberlite","South Africa","on craton","Kaapvaal","90","88.0","4.5","85.3","0.2","Giuliani et al., 2020","200","Paleogeotherm","Bell et al., 2003","180","Hoggard et al., 2020"
"Koffiefontein","kimberlite","South Africa","on craton","Kaapvaal","100","90.9","2.1","89.0","0.7","Giuliani et al., 2020","195","Paleogeotherm","Bell et al., 2003","180","Hoggard et al., 2020"
"Murowa","kimberlite","Zimbabwe","on craton","Zimbabwe","527","92.7","1.0","92.0","0.1","Giuliani et al., 2020","200","FITPLOT","Pearson et al., 2018","180","Hoggard et al., 2020"
"Venetia","kimberlite","South Africa","craton margin","Kaapvaal","519","","","","","","220","FITPLOT","Pearson et al., 2018","190","Hoggard et al., 2020"
"Premier","kimberlite","South Africa","on craton","Kaapvaal","1153","89.6","2.6","88.4","0.2","Giuliani et al., 2023","225","FITPLOT","Tappe et al., 2021","200","Hoggard et al., 2020"
