"Supplementary Table 2. Compilation of olivine data from global kimberlites and lamproites","","","","","","","","","","","","","","","","","","",""
"locality","lithology","country","position","age (Ma)","age ref","core Mg#","","","","cores below Mg# 90 (fraction)","n.","core Cr2O3","core MnO","core NiO","core CaO","rim Mg#","","","references"
"","","","","","","median","mean","st dev","max","","","mean","mean","mean","mean","mean","st dev","n.",""
"South Africa orangeites","","","","","","","","","","","","","","","","","","",""
"Markt","olivine lamproite","South Africa","craton margin","117","Smith et al. 1994","93.0","92.9","0.7","94.3","0.00","15","0.01","0.09","0.40","0.02","","","","Sarkar et al., 2022"
"Newlands","olivine lamproite","South Africa","on craton","114","Smith et al., 1985","92.8","93.0","0.9","94.9","0.00","18","0.03","0.10","0.39","0.03","91.4","0.1","17","Sarkar et al., 2022"
"Sanddrift","olivine lamproite","South Africa","on craton","125","Smith et al. 1994","91.5","91.9","1.1","94.5","0.02","42","0.03","0.10","0.38","0.03","91.4","0.2","41","Sarkar et al., 2022"
"Finsch","olivine lamproite","South Africa","on craton","118","Smith et al., 1985","91.9","91.1","2.4","93.8","0.12","34","0.04","0.12","0.38","0.03","90.7","0.6","33","Sarkar et al., 2022"
"Star","olivine lamproite","South Africa","on craton","124","MacIntyre and Dawson, 1976","92.1","91.9","1.8","94.6","0.22","36","0.03","0.10","0.40","0.02","91.3","1.1","19","Sarkar et al., 2022"
"Bellsbank","olivine lamproite","South Africa","on craton","122","Smith et al., 1985","92.8","92.6","0.8","93.8","0.00","19","0.02","0.10","0.39","0.01","90.7","0.5","19","Sarkar et al., 2022"
"Wimbledon","olivine lamproite","South Africa","on craton","114","unpublished","92.8","91.2","2.6","93.0","0.30","10","0.01","0.10","0.38","0.03","89.3","1.1","22","Sarkar et al., 2022"
"Lace","olivine lamproite","South Africa","on craton","133","Phillips et al. 1999","91.9","91.6","2.1","93.7","0.04","24","0.02","0.10","0.38","0.02","89.9","0.7","16","Sarkar et al., 2022"
"Roberts Victor","olivine lamproite","South Africa","on craton","128","Phillips et al. 1999","92.4","92.3","1.5","94.6","0.06","30","0.02","0.10","0.34","0.02","90.6","0.1","6","Sarkar et al., 2022"
"Melton Wold","olivine lamproite","South Africa","craton margin","143","Smith et al. 1994","91.2","91.4","0.5","92.3","0.00","10","0.03","0.10","0.38","0.04","90.1","0.7","13","Sarkar et al., 2022"
"","","","","","","","","","","","","","","","","","","",""
"West Africa","","","","","","","","","","","","","","","","","","",""
"Weasua","olivine lamproite","Sierra Leone","on craton","800","Skinner et al., 2004","91.7","90.7","2.8","94.2","0.33","21","","0.11","0.35","0.07","89.6","0.5","7","Howarth and Giuliani, 2020"
"Koidu dyke DZB","kimberlite","Sierra Leone","on craton","145","Skinner et al., 2004","93.3","92.1","3.3","95.2","0.16","19","0.02","0.10","0.33","0.03","89.5","0.3","15","Viljioen et al., 2022"
"Koidu Pipe 1","kimberlite","Sierra Leone","on craton","145","Skinner et al., 2004","92.7","91.3","4.6","95.2","0.17","18","0.02","0.12","0.31","0.02","89.4","0.4","13","Viljioen et al., 2022"
"Tonguma","kimberlite","Sierra Leone","on craton","140","Skinner et al., 2004","91.6","90.3","2.9","94.7","0.35","142","0.02","0.12","0.34","0.03","89.0","0.5","195","Howarth and Giuliani, 2020; Viljioen et al, 2022"
"","","","","","","","","","","","","","","","","","","",""
"Sothern Africa kimberlites","","","","","","","","","","","","","","","","","","",""
"Big Hole (Kimberley)","kimberlite","South Africa","on craton","88","Griffin et al., 2014","90.4","90.7","1.1","93.5","0.12","16","","0.11","0.37","0.06","88.7","0.1","10","Arndt et al., 2010"
"Benfontein","kimberlite","South Africa","on craton","88","Griffin et al., 2014","90.1","90.1","2.2","93.6","0.46","28","","0.11","0.37","0.06","88.8","0.2","29","Giuliani et al., 2016"
"Bultfontein","kimberlite","South Africa","on craton","88","Griffin et al., 2014","91.4","90.8","2.6","93.3","0.33","9","","0.10","0.35","0.06","89.1","0.2","12","Soltys et al., 2020"
"De Beers ","kimberlite","South Africa","on craton","88","Griffin et al., 2014","92.2","91.0","3.1","94.9","0.31","26","","0.10","0.34","0.04","88.9","0.2","26","Soltys et al., 2020"
"Wesselton","kimberlite","South Africa","on craton","88","Griffin et al., 2014","91.8","90.8","2.8","93.2","0.20","10","","0.11","0.38","0.04","89.1","0.2","6","Soltys et al., 2020"
"Dutoitspan ","kimberlite","South Africa","on craton","88","Griffin et al., 2014","92.3","91.6","2.4","94.6","0.14","21","","0.11","0.37","0.03","88.9","0.1","11","Soltys et al., 2020"
"Leicester","kimberlite","South Africa","on craton","93","Griffin et al., 2014","90.5","90.6","1.6","93.6","0.17","45","0.03","0.12","0.32","0.02","89.6","0.3","37","Sarkar et al., 2023"
"Jagersfontein ","kimberlite","South Africa","on craton","86","Smith et al., 1985","91.7","90.2","3.1","94.3","0.47","15","","0.110","0.328","0.067","90.2","0.2","15","Giuliani et al., 2020"
"Kaalvallei, Samada","kimberlite","South Africa","on craton","100","Griffin et al., 2014","85.3","85.3","4.1","93.4","0.88","49","0.02","0.13","0.26","0.08","84.7","0.4","22","Lim et al., 2018; Stiefenhofer, 1989"
"New Robinson","kimberlite","South Africa","on craton","100","Griffin et al., 2014","86.6","86.0","4.9","94.9","0.75","20","0.04","0.13","0.24","0.05","83.3","0.3","32","Lim et al., 2018"
"Monastery","kimberlite","South Africa","on craton","90","Griffin et al., 2014","86.6","88.0","4.5","95.0","0.67","24","","0.12","0.31","0.05","85.3","0.2","8","Giuliani et al., 2020"
"Koffiefontein","kimberlite","South Africa","on craton","100","Griffin et al., 2014","91.4","90.9","2.1","93.7","0.30","23","0.04","0.11","0.38","0.05","89.0","0.7","13","Giuliani et al., 2020"
"Colossus","kimberlite","Zimbabwe","on craton","533","Phillips et al., 1999","91.2","89.6","3.8","95.2","0.39","209","","0.12","0.31","0.05","88.1","0.4","13","Moore and Costin, 2016"
"Murowa","kimberlite","Zimbabwe","on craton","527","Moss et al., 2018","93.1","92.7","1.0","94.4","0.00","37","0.06","0.09","0.35","0.04","92.0","0.1","13","Giuliani et al., 2020"
"The Oaks","kimberlite","South Africa","on craton","504","Phillips et al., 1999","92.9","92.5","0.9","93.4","0.00","16","0.08","0.11","0.40","0.04","","","","Giuliani et al., 2020"
"Premier","kimberlite","South Africa","on craton","1153","Wu et al., 2013","89.8","89.6","2.6","93.0","0.21","36","0.05","0.11","0.35","0.07","88.4","0.2","10","Giuliani et al., 2023"
"Jwaneng DK7","kimberlite","Botswana","on craton","235","Kinny et al., 1989","90.8","90.5","1.7","93.0","0.27","51","0.03","0.11","0.33","0.05","90.0","0.3","40","Giuliani et al., 2020"
"Karowe (Orapa AK-6)","kimberlite","Botswana","craton margin","92","Griffin et al., 2014","88.3","88.3","2.1","92.7","0.73","60","0.03","0.13","0.33","0.06","87.1","0.3","54","Giuliani et al., 2023; Arndt et al., 2010"
"Damtshaa BK9","kimberlite","Botswana","craton margin","95","Griffin et al., 2014","90.2","89.2","3.8","94.3","0.48","54","0.02","0.13","0.31","0.04","86.7","0.4","32","Giuliani et al., 2020"
"Liqhobong","kimberlite","Lesotho","craton margin","91","Griffin et al., 2014","89.8","89.6","3.7","94.3","0.62","24","","0.115","0.347","0.075","86.2","0.4","22","Giuliani et al., 2020"
"Kao Satellite","kimberlite","Lesotho","craton margin","89","Griffin et al., 2014","91.7","89.5","4.6","94.4","0.36","22","","0.116","0.358","0.058","88.3","0.3","13","Giuliani et al., 2020"
"Letseng","kimberlite","Lesotho","craton margin","86","Stamm et al., 2018","91.9","90.4","3.6","93.5","0.27","22","","0.105","0.371","0.052","88.7","0.4","21","Giuliani et al., 2020"
"Letseng Satellite","kimberlite","Lesotho","craton margin","86","Stamm et al., 2018","89.5","89.1","1.9","92.6","0.67","30","0.04","0.11","0.33","0.09","88.2","0.3","19","Giuliani et al., 2020"
"Buffelboundfontein ","kimberlite","South Africa","craton margin","87","Griffin et al., 2014","90.9","90.7","1.2","93.1","0.26","28","0.04","0.11","0.32","0.07","90.3","0.4","23","Giuliani et al., 2020"
"Pampoenpoort","kimberlite","South Africa","off craton","103","Smith et al., 1994","89.8","89.1","2.4","92.4","0.54","28","0.02","0.12","0.34","0.05","86.5","0.4","24","Giuliani et al., 2020"
"Uintjiesberg","kimberlite","South Africa","off craton","101","Smith et al., 1985","90.6","89.5","3.0","92.8","0.32","25","","0.134","0.296","0.070","87.0","0.1","24","Giuliani et al., 2020"
"","","","","","","","","","","","","","","","","","","",""
"Tanzania kimberlite","","","","","","","","","","","","","","","","","","",""
"Igwisi Hills","kimberlite","Tanzania","craton margin","0.012","Shaikh et al., 2021","91.2","91.1","0.8","92.4","0.04","23","0.024","0.108","0.392","0.037","90.4","0.4","50","Shaikh et al., 2021"
"","","","","","","","","","","","","","","","","","","",""
"Brazilian kimberlites","","","","","","","","","","","","","","","","","","",""
"Perdizes-04","kimberlite","Brazil","craton margin","90","Felgate, 2014","88.0","88.0","2.6","92.6","0.17","23","0.02","0.15","0.30","0.04","85.4","0.3","6","Giuliani et al., 2023"
"Limpeza-18","kimberlite","Brazil","craton margin","80","Felgate, 2014","89.2","88.3","3.0","92.1","0.62","32","0.04","0.14","0.36","0.07","86.0","0.5","22","Lim et al., 2018"
"Três Ranchos-4","kimberlite","Brazil","craton margin","82","Felgate, 2014","91.9","91.3","1.7","92.8","0.10","29","0.03","0.12","0.38","0.02","89.3","0.4","33","Lim et al., 2018"
"","","","","","","","","","","","","","","","","","","",""
"Lac De Gras kimberlites","","","","","","","","","","","","","","","","","","",""
"Panther","kimberlite","Canada","on craton","53","Creaser et al., 2004","89.7","89.4","1.9","92.5","0.60","15","0.02","0.12","0.28","0.04","89.6","0.2","9","Tovey et al., 2021"
"Rat","kimberlite","Canada","on craton","","","91.2","90.9","2.0","93.5","0.29","28","0.03","0.11","0.33","0.04","90.2","0.2","19","Tovey et al., 2021"
"Porpoise","kimberlite","Canada","on craton","48","Tovey et al. 2021","90.2","90.1","1.1","91.7","0.36","36","0.05","0.12","0.35","0.06","90.3","0.3","4","Tovey et al., 2021"
"Anaconda","kimberlite","Canada","on craton","63","Sarkar et al., 2015","90.8","90.5","1.8","93.2","0.41","32","0.03","0.11","0.31","0.03","90.4","0.2","7","Tovey et al., 2021"
"Cobra South","kimberlite","Canada","on craton","60","Creaser et al., 2004","90.7","90.8","1.6","93.4","0.20","15","0.03","0.09","0.33","0.04","90.3","0.1","7","Tovey et al., 2021"
