"","","","Total individual insolvencies","","Bankruptcies1","","Debt relief orders2","","Individual voluntary arrangements3","","","","","","","","",""
"2010","","","135,045","","59,173","","25,179","","50,694","","","","","","","","",""
"2011","","","119,609","","41,928","","28,712","","48,970","","","","","","","","",""
"2012","","","109,201","","31,775","","30,869","","46,557","","","","","","","","",""
"2013","","","100,593","","24,564","","27,228","","48,800","","","","","","","","",""
"2014","","","97,817","","20,339","","26,352","","51,125","","","","","","","","",""
"2015","","","79,787","","15,848","","23,920","","40,018","","","","","","","","",""
"2016","","","90,270","","15,049","","25,953","","49,268","","","","","","","","",""
"2017","","","98,898","","15,106","","24,697","","59,095","","","","","","","","",""
"2018","","","114,748","","16,639","","27,420","","70,686","","","","","","","","",""
"2019","","","121,885","","16,741","","27,181","","77,964","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2010","Q1","","35,785","","17,288","","5,644","","12,853","","","","","","","","",""
"","Q2","","34,539","","15,019","","6,295","","13,225","","","","","","","","",""
"","Q3","","33,543","","14,153","","7,068","","12,322","","","","","","","","",""
"","Q4","","31,178","","12,713","","6,172","","12,294","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2011","Q1","","30,445","","11,966","","6,725","","11,754","","","","","","","","",""
"","Q2","","30,274","","11,106","","7,181","","11,987","","","","","","","","",""
"","Q3","","29,533","","9,714","","7,528","","12,292","","","","","","","","",""
"","Q4","","29,357","","9,142","","7,278","","12,937","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2012","Q1","","29,095","","8,686","","7,807","","12,602","","","","","","","","",""
"","Q2","","27,245","","8,075","","7,890","","11,280","","","","","","","","",""
"","Q3","","27,132","","7,718","","7,707","","11,707","","","","","","","","",""
"","Q4","","25,729","","7,296","","7,465","","10,968","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2013","Q1","","25,614","","6,460","","7,134","","12,020","","","","","","","","",""
"","Q2","","25,643","","6,365","","7,050","","12,228","","","","","","","","",""
"","Q3","","24,800","","6,036","","6,570","","12,194","","","","","","","","",""
"","Q4","","24,536","","5,703","","6,474","","12,358","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2014","Q1","","25,579","","5,432","","6,474","","13,673","","","","","","","","",""
"","Q2","","26,873","","5,472","","6,911","","14,489","","","","","","","","",""
"","Q3","","22,797","","4,906","","6,720","","11,171","","","","","","","","",""
"","Q4","","22,568","","4,529","","6,247","","11,792","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2015","Q1","","20,505","","4,208","","6,143","","10,154","","","","","","","","",""
"","Q2","","18,733","","3,982","","5,773","","8,978","","","","","","","","",""
"","Q3","","19,554","","3,870","","5,578","","10,106","","","","","","","","",""
"","Q4","","20,995","","3,788","","6,426","","10,780","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2016","Q1","","20,791","","3,637","","6,651","","10,503","","","","","","","","",""
"","Q2","","23,022","","3,656","","6,676","","12,690","","","","","","","","",""
"","Q3","","23,423","","3,897","","6,433","","13,093","","","","","","","","",""
"","Q4","","23,034","","3,859","","6,193","","12,982","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2017","Q1","","25,485","","3,852","","6,068","","15,565","","","","","","","","",""
"","Q2","","22,601","","3,732","","6,104","","12,765","","","","","","","","",""
"","Q3","","25,614","","3,706","","6,210","","15,698","","","","","","","","",""
"","Q4","","25,198","","3,816","","6,315","","15,067","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2018","Q1","","27,668","","4,177","","6,477","","17,013","","","","","","","","",""
"","Q2","","28,288","","4,052","","6,959","","17,276","","","","","","","","",""
"","Q3","","24,932","","4,176","","6,924","","13,832","","","","","","","","",""
"","Q4","","33,860","","4,234","","7,060","","22,565","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2019","Q1","","32,208","","4,182","","6,875","","21,151","","","","","","","","",""
"","Q2","","30,076","","4,236","","6,733","","19,107","","","","","","","","",""
"","Q3","","30,993","","4,161","","6,713","","20,120","","","","","","","","",""
"","Q4","","28,608","","4,162","","6,860","","17,586","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2020","Q1","","28,747","","4,282","","6,863","","17,603","","","","","","","","",""
"","Q2","p","32,153","","2,415","","4,806","","24,932","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Percentage change, latest quarter (2020 Q2) compared with:","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2020","Q1","","12%","","-44%","","-30%","","42%","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"2019","Q2","","7%","","-43%","","-29%","","30%","","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","","","","","","",""
"1 Figures from 2011 Q2 onwards based on the date the bankruptcy order was granted by the court of the Adjudicator. From 6 April 2016, the process for people making themselves bankrupt moved online and out of the courts.","","","","","","","","","","","","","","","","","",""
"2  In April 2011 a change was introduced to the legislation to allow those who have built up value in a pension scheme to apply for debt relief under these provisions.","","","","","","","","","","","","","","","","","",""
"3 Includes Deeds of Arrangement.","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
