"","","","Total bankruptcies","","Petition type","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","","","","Creditor's petitions3","","Debtor's applications4","","","","","","","","","","","","","","","","","","","","","","","","","","Components Aggregate to Totals (scroll down for contribution consistency checks)"
"2010","","","59,173","","8,542","","50,631","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","","","41,928","","7,823","","34,106","","","","","","","","","","","","","","","","","","","","","","","","","","Total bankruptcies = Creditors petitions + debtors applications"
"2012","","","31,775","","6,591","","25,184","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","","","24,564","","5,377","","19,189","","","","","","","","","","","","","","","","","","","","","","","","","","44"
"2014","","","20,339","","4,782","","15,556","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","15,848","","4,403","","11,446","","","","","","","","","","","","","","","","","","","","","","","","","","-50631"
"2016","","","15,049","","3,901","","11,148","","","","","","","","","","","","","","","","","","","","","","","","","","-7250"
"2017","","","15,106","","3,303","","11,804","","","","","","","","","","","","","","","","","","","","","","","","","","-8503"
"2018","","","16,639","","3,658","","12,982","","","","","","","","","","","","","","","","","","","","","","","","","","-9360"
"2019","","","16,741","","3,126","","13,615","","","","","","","","","","","","","","","","","","","","","","","","","","-10528"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2010","Q1","","17,288","","2,443","","14,820","","","","","","","","","","","","","","","","","","","","","","","","","","-12307.219211671"
"","Q2","","15,019","","2,142","","12,898","","","","","","","","","","","","","","","","","","","","","","","","","","-10713.945241984"
"","Q3","","14,153","","2,040","","12,005","","","","","","","","","","","","","","","","","","","","","","","","","","-10040.177702306"
"","Q4","","12,713","","1,917","","10,908","","","","","","","","","","","","","","","","","","","","","","","","","","-9027.6578440387"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","Q1","","11,966","","1,828","","9,992","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Q2","","11,106","","1,913","","9,233","","","","","","","","","","","","","","","","","","","","","","","","","","-7294.4947256292"
"","Q3","","9,714","","2,103","","7,728","","","","","","","","","","","","","","","","","","","","","","","","","","-5723.7092948979"
"","Q4","","9,142","","1,979","","7,153","","","","","","","","","","","","","","","","","","","","","","","","","","-5147.574839675"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2012","Q1","","8,686","","1,905","","6,833","","","","","","","","","","","","","","","","","","","","","","","","","","-4975.0964125508"
"","Q2","","8,075","","1,715","","6,398","","","","","","","","","","","","","","","","","","","","","","","","","","-4690.2137549131"
"","Q3","","7,718","","1,562","","6,157","","","","","","","","","","","","","","","","","","","","","","","","","","-4613.6288276044"
"","Q4","","7,296","","1,409","","5,796","","","","","","","","","","","","","","","","","","","","","","","","","","-4318.0610049317"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2013","Q1","","6,460","","1,416","","5,227","","","","","","","","","","","","","","","","","","","","","","","","","","-3858.5140240861"
"","Q2","","6,365","","1,410","","4,910","","","","","","","","","","","","","","","","","","","","","","","","","","-3527.1857944608"
"","Q3","","6,036","","1,281","","4,628","","","","","","","","","","","","","","","","","","","","","","","","","","-3302.3355962632"
"","Q4","","5,703","","1,270","","4,424","","","","","","","","","","","","","","","","","","","","","","","","","","-3128.9645851898"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2014","Q1","","5,432","","1,249","","4,207","","","","","","","","","","","","","","","","","","","","","","","","","","-2957.8397947007"
"","Q2","","5,472","","1,315","","4,114","","","","","","","","","","","","","","","","","","","","","","","","","","-2803.2039012177"
"","Q3","","4,906","","1,168","","3,717","","","","","","","","","","","","","","","","","","","","","","","","","","-2564.2391488888"
"","Q4","","4,529","","1,050","","3,518","","","","","","","","","","","","","","","","","","","","","","","","","","-2455.7171551928"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2015","Q1","","4,208","","1,035","","3,141","","","","","","","","","","","","","","","","","","","","","","","","","","-2078.0005044279"
"","Q2","","3,982","","1,049","","2,902","","","","","","","","","","","","","","","","","","","","","","","","","","-1854.20297614"
"","Q3","","3,870","","1,148","","2,766","","","","","","","","","","","","","","","","","","","","","","","","","","-1632.6404530634"
"","Q4","","3,788","","1,171","","2,637","","","","","","","","","","","","","","","","","","","","","","","","","","-1470.1560663687"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2016","Q1","","3,637","","1,013","","2,585","","","","","","","","","","","","","","","","","","","","","","","","","","-1519.5743035978"
"","Q2","","3,656","","938","","2,655","","","","","","","","","","","","","","","","","","","","","","","","","","-1751.0037418842"
"","Q3","","3,897","","989","","3,008","","","","","","","","","","","","","","","","","","","","","","","","","","-2072.5338642448"
"","Q4","","3,859","","961","","2,900","","","","","","","","","","","","","","","","","","","","","","","","","","-1906.8880902733"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2017","Q1","","3,852","","819","","2,968","","","","","","","","","","","","","","","","","","","","","","","","","","-2111.4806136693"
"","Q2","","3,732","","827","","2,884","","","","","","","","","","","","","","","","","","","","","","","","","","-2097.664714775"
"","Q3","","3,706","","822","","2,936","","","","","","","","","","","","","","","","","","","","","","","","","","-2149.5865943801"
"","Q4","","3,816","","835","","3,016","","","","","","","","","","","","","","","","","","","","","","","","","","-2144.2680771756"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2018","Q1","","4,177","","895","","3,196","","","","","","","","","","","","","","","","","","","","","","","","","","-2248.1958169628"
"","Q2","","4,052","","960","","3,107","","","","","","","","","","","","","","","","","","","","","","","","","","-2247.7810294319"
"","Q3","","4,176","","1,001","","3,290","","","","","","","","","","","","","","","","","","","","","","","","","","-2352.904063051"
"","Q4","","4,234","","802","","3,389","","","","","","","","","","","","","","","","","","","","","","","","","","-2511.1190905543"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019","Q1","","4,182","","753","","3,345","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Q2","","4,236","","914","","3,376","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Q3","","4,161","","786","","3,409","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Q4","","4,162","","673","","3,485","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2020","Q1","","4,282","","504","","3,651","","","","","","","","","","","","","","","","","","","","","","","","","","-2523.4850341658"
"","Q2","p","2,415","","172","","2,299","","","","","","","","","","","","","","","","","","","","","","","","","","-2552.5051674266"
