"","2005/06","","","","2006/07","","","","2007/08","","","","2008/09","","","","2009/10","","","","2010/11","","","","Oct 2010 - Sep 2011","",""
"","%","Range 
(+/-)","Respondents ","","%","Range 
(+/-)","Respondents ","","%","Range 
(+/-)","Respondents ","","%","Range 
(+/-)","Respondents ","","%","Range 
(+/-)","Respondents ","","%
(1)","Range 
(+/-)","Respondents ","","%
(1)","Range 
(+/-)","Respondents "
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16-24","78.6","2.0","2,859","","80.0","2.1","2,401","","79.1","2.1","2,491","","76.6","2.6","1,275","","80.3","5.4","574","","77.3","3.1","1,331","","80.1","3.5","1,128"
"25-44","79.7","1.0","10,167","","78.7","1.2","8,574","","79.4","1.1","8,958","","78.3","1.4","4,990","","77.0","2.7","2,017","","78.5","1.5","4,523","","80.0","1.7","3,770"
"45-64","78.5","1.2","8,558","","78.1","1.2","7,506","","79.3","1.2","8,009","","78.3","1.4","4,537","","78.3","2.8","1,987","","79.1","1.4","4,631","","78.7","1.6","3,864"
"65-74","70.7","2.0","3,558","","73.4","2.1","3,033","","74.6","1.9","3,396","","72.5","2.4","1,935","","74.8","4.0","792","","74.1","1.8","1,968","","75.7","2.2","1,609"
"75+","57.7","2.4","2,964","","55.6","2.5","2,648","","58.3","2.4","2,846","","59.9","2.7","1,712","","57.2","4.4","725","","59.7","2.3","1,644","","61.1","2.7","1,407"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sex","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Male","73.5","1.0","12,549","","73.4","1.1","10,671","","73.7","1.1","11,205","","72.2","1.4","6,438","","72.7","3.1","2,640","","73.0","1.4","6,074","","74.5","1.6","5,154"
"Female","78.9","0.9","15,568","","78.4","0.9","13,503","","79.7","0.9","14,515","","79.1","1.1","8,014","","78.6","2.0","3,457","","79.4","1.0","8,028","","80.0","1.2","6,626"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS-SEC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper socio-economic group","84.4","0.8","14,129","","84.0","0.8","12,700","","84.2","0.8","13,595","","83.3","1.0","7,796","","81.9","2.0","3,435","","83.8","1.0","7,730","","84.5","1.1","6,467"
"Lower socio-economic group","64.4","1.1","11,861","","63.7","1.2","10,080","","65.1","1.2","10,706","","64.6","1.5","5,855","","64.8","3.2","2,324","","64.5","1.5","5,583","","66.1","1.9","4,627"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Employment status","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not working","68.8","1.1","12,409","","68.3","1.2","10,867","","70.0","1.1","11,645","","68.8","1.6","6,573","","68.5","3.2","2,764","","69.1","1.4","6,496","","70.7","1.6","5,496"
"Working","81.2","0.8","15,708","","81.2","0.9","13,307","","81.3","0.8","14,075","","80.5","1.2","7,879","","80.7","2.5","3,333","","81.2","1.1","7,606","","82.1","1.3","6,284"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tenure","","","","","","","","","","","","","","","","","","","","","","","","","","",""
