"","2006/07","","","","2007/08","","","","2008/09","","","","2009/10","","","","2010/11","","","","Oct 2010 - Sep 2011","","","2005/06","","",""
"","%","Range 
(+/-)","Respondents ","","%","Range 
(+/-)","Respondents ","","%","Range 
(+/-)","Respondents ","","%","Range 
(+/-)","Respondents ","","%
(1)","Range 
(+/-)","Respondents ","","%
(1)","Range 
(+/-)","Respondents ","%","Range 
(+/-)","Respondents ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16-24","80.0","2.1","2,401","","79.1","2.1","2,491","","76.6","2.6","1,275","","80.3","5.4","574","","77.3","3.1","1,331","","80.1","3.5","1,128","78.6","2.0","2,859",""
"25-44","78.7","1.2","8,574","","79.4","1.1","8,958","","78.3","1.4","4,990","","77.0","2.7","2,017","","78.5","1.5","4,523","","80.0","1.7","3,770","79.7","1.0","10,167",""
"45-64","78.1","1.2","7,506","","79.3","1.2","8,009","","78.3","1.4","4,537","","78.3","2.8","1,987","","79.1","1.4","4,631","","78.7","1.6","3,864","78.5","1.2","8,558",""
"65-74","73.4","2.1","3,033","","74.6","1.9","3,396","","72.5","2.4","1,935","","74.8","4.0","792","","74.1","1.8","1,968","","75.7","2.2","1,609","70.7","2.0","3,558",""
"75+","55.6","2.5","2,648","","58.3","2.4","2,846","","59.9","2.7","1,712","","57.2","4.4","725","","59.7","2.3","1,644","","61.1","2.7","1,407","57.7","2.4","2,964",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sex","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Male","73.4","1.1","10,671","","73.7","1.1","11,205","","72.2","1.4","6,438","","72.7","3.1","2,640","","73.0","1.4","6,074","","74.5","1.6","5,154","73.5","1.0","12,549",""
"Female","78.4","0.9","13,503","","79.7","0.9","14,515","","79.1","1.1","8,014","","78.6","2.0","3,457","","79.4","1.0","8,028","","80.0","1.2","6,626","78.9","0.9","15,568",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS-SEC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper socio-economic group","84.0","0.8","12,700","","84.2","0.8","13,595","","83.3","1.0","7,796","","81.9","2.0","3,435","","83.8","1.0","7,730","","84.5","1.1","6,467","84.4","0.8","14,129",""
"Lower socio-economic group","63.7","1.2","10,080","","65.1","1.2","10,706","","64.6","1.5","5,855","","64.8","3.2","2,324","","64.5","1.5","5,583","","66.1","1.9","4,627","64.4","1.1","11,861",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Employment status","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not working","68.3","1.2","10,867","","70.0","1.1","11,645","","68.8","1.6","6,573","","68.5","3.2","2,764","","69.1","1.4","6,496","","70.7","1.6","5,496","68.8","1.1","12,409",""
"Working","81.2","0.9","13,307","","81.3","0.8","14,075","","80.5","1.2","7,879","","80.7","2.5","3,333","","81.2","1.1","7,606","","82.1","1.3","6,284","81.2","0.8","15,708",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tenure","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Owners","79.2","0.8","16,345","","80.0","0.8","17,365","","79.0","1.3","7,700","","79.8","2.2","4,274","","80.1","1.0","9,414","","80.5","1.2","7,801","79.7","0.8","19,457",""
"Social rented sector","58.8","1.9","4,735","","60.8","1.8","4,878","","61.1","3.4","1,559","","54.7","5.8","957","","59.4","2.3","2,471","","61.4","2.8","2,043","59.9","1.7","5,449",""
"Private rented sector","79.2","1.9","3,092","","78.0","1.8","3,477","","75.7","3.1","1,490","","74.9","5.3","866","","76.0","2.2","2,213","","78.4","2.4","1,929","77.8","1.9","3,208",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethnicity ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White","76.8","0.8","21,317","","77.4","0.7","22,794","","76.6","1.1","12,979","","77.0","2.0","5,455","","77.4","0.9","12,617","","78.3","1.1","10,566","77.0","0.7","24,038",""
"Black or ethnic minority ","68.1","2.3","2,829","","71.2","2.2","2,880","","67.4","3.2","1,451","","65.8","7.0","630","","66.9","3.0","1,457","","69.8","3.8","1,188","69.9","1.9","4,047",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Religion","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No religion","78.2","1.5","5,274","","79.2","1.4","5,892","","77.4","2.0","3,391","","80.0","3.8","1,412","","77.8","1.6","3,619","","78.6","1.9","3,029","77.9","1.7","4,295",""
"Christian","75.8","0.9","16,685","","76.5","0.8","17,476","","75.9","1.2","9,886","","75.2","2.4","4,177","","76.3","1.0","9,255","","77.2","1.2","7,717","76.3","0.9","15,128",""
"Other religion ","65.1","3.1","1,588","","66.1","2.9","1,702","","63.8","4.6","840","","59.1","9.3","365","","63.8","3.9","838","","68.2","4.5","704","67.7","3.0","1,635",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long-standing illness or disability ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","78.5","0.8","16,456","","79.5","0.8","17,489","","78.2","1.0","9,902","","78.3","2.3","4,234","","78.9","1.1","9,532","","79.8","1.3","7,883","79.0","0.8","19,153",""
"Yes","69.6","1.4","7,654","","69.6","1.3","8,156","","69.2","1.8","4,520","","68.6","2.7","1,855","","69.7","1.5","4,527","","71.5","1.6","3,860","69.8","1.3","8,904",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All","0075.9","0.7","24,174","","0076.8","0.7","25,720","","75.7","1.0","14452","","0075.7","2.0","6,097","","76.2","0.9","14,102","","0077.3","1.0","11,780","0076.3","0.7","28,117",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(1)  Figures in bold indicate a significant change from 2005/06.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
