"","","","JSA Sanction Decision Level","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Low","","","","","Intermediate","","","","","High","","","","","Level not applicable / not recorded","","","","","","","",""
"","","","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","","","",""
"GREAT BRITAIN","","","342,027","439,317","65,267","387,855","1,234,463","74,733","304,634","532","25,186","405,085","135,435","72,908","29,036","44,472","281,852","855","684"," -","7,586","9,119","","","",""
"London and the Home Counties                    ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","   Bedfordshire and Hertfordshire               ","","5,917","10,630","1,754","8,769","27,071","558","6,069","35","330","6,994","2,026","953","368","783","4,131","6"," -"," -","77","82","","","",""
"","   East London                                  ","","13,697","21,458","2,775","20,329","58,260","2,922","15,617","23","1,136","19,704","3,215","2,253","1,030","1,690","8,188","5","14"," -","665","686","","","",""
"","   Essex                                        ","","7,682","10,832","2,533","9,149","30,197","1,908","5,021","0","438","7,375","2,389","1,362","572","849","5,173","0","6"," -","106","111","","","",""
"","   Kent                                         ","","7,550","8,215","961","6,262","22,996","2,294","9,774","16","777","12,856","3,570","2,006","913","1,248","7,738","13","8"," -","23","45","","","",""
"","   North London                                 ","","5,517","9,418","1,591","5,863","22,384","2,114","7,643","37","460","10,260","1,734","1,170","606","872","4,381","10","7"," -","274","293","","","",""
"","   South London                                 ","","19,306","26,130","5,004","30,148","80,588","2,341","13,094","98","822","16,359","4,730","2,235","1,222","1,543","9,732","9","22"," -","128","157","","","",""
"","   West London                                  ","","5,035","9,930","1,036","5,152","21,148","1,539","6,562","22","495","8,617","3,308","2,175","1,269","1,446","8,198","5","7"," -","292","308","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central England                                 ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","   Birmingham and Solihull                      ","","12,109","12,938","1,182","7,681","33,910","3,541","9,695","5","875","14,121","4,636","2,200","1,034","2,193","10,064","9","5"," -","19","33","","","",""
"","   Black Country                                ","","7,891","10,773","664","6,430","25,757","3,569","16,745","9","653","20,972","4,016","2,213","613","1,518","8,362","17","15"," -","32","57","","","",""
"","   Derbyshire                                   ","","6,405","8,883","1,614","9,670","26,570","2,340","11,243","35","1,120","14,738","2,713","1,817","351","843","5,723","5","17"," -","606","626","","","",""
"","   East Anglia                                  ","","11,160","15,255","3,414","12,266","42,090","2,292","8,735","9","670","11,709","5,808","2,915","930","1,123","10,776","17","11"," -","375","406","","","",""
"","   Leicestershire and Northamptonshire          ","","8,498","8,485","1,350","8,565","26,901","1,612","6,890","8","260","8,776","4,174","2,157","433","637","7,400","11","10"," -","226","244","","","",""
"","   Lincolnshire, Nottinghamshire and Rutland","","12,258","13,119","2,012","12,565","39,951","1,327","5,660","7","435","7,431","4,463","2,347","374","595","7,776","18","16"," -","357","387","","","",""
"","   Mercia                                       ","","6,477","7,890","1,057","6,589","22,017","3,398","11,522","5","638","15,564","4,204","1,783","680","1,289","7,952","11","10"," -","32","47","","","",""
