"","","","JSA Sanction Decision Level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Low","","","","","Intermediate","","","","","High","","","","","Level not applicable / not recorded","","","","","","","","","","","","","","","",""
"","","","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","Non-adverse decisions4","Adverse decisions5","Reserved decisions6","Cancelled decisions7","Total decisions","","","","","","","","","","","",""
"","GREAT BRITAIN","","342,027","439,317","65,267","387,855","1,234,463","74,733","304,634","532","25,186","405,085","135,435","72,908","29,036","44,472","281,852","855","684"," -","7,586","9,119","","","","","","","","","","","",""
"Age Group","16-17 years of age","","190","350","25","71","636","48","240"," -","26","308","58","41","14","10","126"," -"," -"," -","12","12","","","","","","","","","","","",""
"","18-24 years of age","","126,646","201,529","30,008","157,595","515,772","23,337","111,987","202","9,376","144,900","44,462","30,051","12,276","17,957","104,752","209","173"," -","2,798","3,188","","","","","","","","","","","",""
"","25-29  years of age","","56,765","72,076","10,871","61,499","201,213","10,381","42,512","61","3,570","56,522","22,432","12,152","5,205","7,590","47,382","83","92"," -","1,119","1,291","","","","","","","","","","","",""
"","30-34  years of age","","41,182","47,566","7,423","44,439","140,608","8,085","31,340","58","2,640","42,118","15,623","7,719","3,195","4,935","31,467","37","73"," -","813","927","","","","","","","","","","","",""
"","35-39  years of age","","31,077","33,782","4,880","31,769","101,510","6,960","26,335","56","2,127","35,488","11,820","5,513","2,058","3,491","22,885","34","72"," -","679","789","","","","","","","","","","","",""
"","40-44 years of age","","29,682","30,502","4,370","30,530","95,086","7,396","26,516","55","2,121","36,087","11,903","5,336","1,895","3,252","22,387","23","55"," -","603","684","","","","","","","","","","","",""
"","45-49 years of age","","25,421","24,673","3,554","25,998","79,648","7,123","25,297","47","2,082","34,550","11,274","4,848","1,700","3,033","20,858","30","69"," -","596","694","","","","","","","","","","","",""
"","50-54 years of age","","17,353","16,402","2,275","19,045","55,087","5,710","19,977","29","1,622","27,337","9,289","3,865","1,334","2,285","16,772","23","43"," -","392","458","","","","","","","","","","","",""
"","55-59 years of age","","10,433","9,358","1,332","11,673","32,794","4,223","15,430","17","1,159","20,829","6,464","2,527","960","1,460","11,416","10","45"," -","278","335","","","","","","","","","","","",""
"","60 and over ","","2,685","2,454","396","4,557","10,095","1,310","4,413","10","419","6,149","1,984","766","362","419","3,531","0","15"," -","73","88","","","","","","","","","","","",""
"","Unknown Age","","585","625","124","679","2,017","167","585"," -","43","797","119","81","30","42","271","404","40"," -","222","660","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethnicity","White","","263,025","332,110","50,703","298,306","944,138","50,547","216,570","336","18,717","286,168","111,289","57,685","23,117","34,746","226,840","342","436"," -","5,691","6,477","","","","","","","","","","","",""
"","Asian or Asian British","","16,012","22,565","3,191","19,704","61,474","4,762","23,636","60","1,727","30,183","5,926","3,920","1,801","3,146","14,793","20","49"," -","362","425","","","","","","","","","","","",""
