"","","All Individuals receiving an adverse sanction decision","","","","","","","","",""
"","GREAT BRITAIN","527,574","","","","","","","","",""
"Ethnicity","White","391,830","","","","","","","","",""
"","Asian or Asian British","33,458","","","","","","","","",""
"","Black or Black British","38,562","","","","","","","","",""
"","Mixed","12,449","","","","","","","","",""
"","Other/ Chinese","12,706","","","","","","","","",""
"","Unknown","41,778","","","","","","","","",""
"Age Group","16-17 years of age","538","","","","","","","","",""
"","18-24 years of age","213,027","","","","","","","","",""
"","25-29  years of age","83,541","","","","","","","","",""
"","30-34  years of age","57,905","","","","","","","","",""
"","35-39  years of age","44,234","","","","","","","","",""
"","40-44 years of age","42,526","","","","","","","","",""
"","45-49 years of age","37,571","","","","","","","","",""
"","50-54 years of age","27,939","","","","","","","","",""
"","55-59 years of age","19,314","","","","","","","","",""
"","60 and over ","5,676","","","","","","","","",""
"","Unknown","828","","","","","","","","",""
"","","","","","","","","","","",""
"Gender","Male","377,351","","","","","","","","",""
"","Female","150,166","","","","","","","","",""
"","Unknown","58","","","","","","","","",""
"","","","","","","","","","","",""
"Disability","Disability - Yes","104,200","","","","","","","","",""
"","Disability - No","423,297","","","","","","","","",""
"","Unknown","83","","","","","","","","",""
"","","","","","","","","","","",""
"Regional Group","Central England","115,768","","","","","","","","",""
"","London and the Home Counties","115,941","","","","","","","","",""
"","North East","87,862","","","","","","","","",""
"","North West","75,169","","","","","","","","",""
"","Scotland","48,951","","","","","","","","",""
"","Southern England","58,804","","","","","","","","",""
"","Wales","25,577","","","","","","","","",""
"","Unknown","1,168","","","","","","","","",""
"","","","","","","","","","","",""
"Lone Parent","Lone Parent - Yes","36,188","","","","","","","","",""
"","Lone Parent - No","493,143","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Source: Decision Making and Appeals System (DMAS), via Stat-Xplore","","","","","","","","","","",""
"","","","","","","","","","","",""
"Notes","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.","","","","","","","","","","",""
"Tables based on individuals show a count of how many individuals have received a sanction decision.","","","","","","","","","","",""
"An individual may receive more than one sanction decision in any given period.","","","","","","","","","","",""
"An adverse decision is a decision found against the claimant, i.e. a sanction or disallowance is applied.","","","","","","","","","","",""
"Users should not sum the cells in a table to obtain the overall number of individuals as an individual may appear in a ","","","","","","","","","","",""
"table more than once.  Always use the ""Total"" within the table to obtain this number.","","","","","","","","","","",""
