"Year","Month","Non-adverse decisions","Adverse decisions","Cancelled decisions","Total decisions","","",""
"","","","","","","","",""
"2008","October","             -","6","30","30","","",""
"","November"," -"," -","12","20","","",""
"","December"," -"," -","17","22","","",""
"2009","January","6","20","34","57","","",""
"","February","37","182","114","333","","",""
"","March","55","491","205","750","","",""
"","April","84","753","288","1,127","","",""
"","May","108","1,034","471","1,611","","",""
"","June","113","1,481","633","2,221","","",""
"","July","221","2,227","952","3,409","","",""
"","August","294","2,241","830","3,364","","",""
"","September","362","2,448","1,025","3,839","","",""
"","October","556","2,623","1,323","4,499","","",""
"","November","845","2,834","1,315","4,988","","",""
"","December","766","2,636","1,128","4,526","","",""
"2010","January","1,135","2,800","1,260","5,193","","",""
"","February","1,189","3,324","1,542","6,056","","",""
"","March","1,991","3,691","1,659","7,342","","",""
"","April","1,296","3,072","1,422","5,787","","",""
"","May","1,408","3,019","1,125","5,549","","",""
"","June","1,423","3,031","1,061","5,517","","",""
"","July","910","2,390","1,018","4,314","","",""
"","August","475","2,245","838","3,562","","",""
"","September","460","2,063","787","3,314","","",""
"","October","408","1,744","598","2,749","","",""
"","November","348","1,147","523","2,020","","",""
"","December","274","781","402","1,459","","",""
"2011","January","210","715","314","1,239","","",""
"","February","184","647","338","1,164","","",""
"","March","219","606","183","1,013","","",""
"","April","97","328","91","518","","",""
"","May","61","186","80","329","","",""
"","June","35","141","52","223","","",""
"","July","70","157","71","298","","",""
"","August","82","187","74","344","","",""
"","September","129","255","91","475","","",""
"","October","161","275","96","534","","",""
"","November","363","509","165","1,035","","",""
"","December","300","476","260","1,041","","",""
"2012","January","417","596","429","1,437","","",""
"","February","416","743","568","1,724","","",""
"","March","568","886","651","2,102","","",""
"","April","547","908","751","2,208","","",""
"","May","690","1,107","986","2,782","","",""
"","June","643","1,013","1,155","2,807","","",""
"","July","920","1,247","1,965","4,131","","",""
"","August","980","1,114","1,984","4,080","","",""
"","September","815","1,197","1,570","3,575","","",""
"","October","1,165","1,611","2,257","5,035","","",""
"","November","1,304","1,609","2,696","5,607","","",""
"","","","","","","","",""
"","December","1,151","1,161","2,115","4,425","","",""
"2013","January","1,515","1,466","3,673","6,654","","",""
"","February","1,329","1,233","2,843","5,410","","",""
"","March","1,241","1,252","2,812","5,306","","",""
"","April","1,906","1,689","3,799","7,388","","",""
"","May","2,129","2,012","4,073","8,215","","",""
"","June","2,235","1,990","3,972","8,193","","",""
"","July","2,979","2,743","4,973","10,698","","",""
"","August","2,746","2,671","3,966","9,386","","",""
"","September","3,140","3,107","4,399","10,647","","",""
"Total","","45,515","84,115","74,059","203,686","","",""
"","","","","","","","",""
"Source: Decision Making and Appeals System (DMAS), via Stat-Xplore","","","","","","","",""
"","","","","","","","",""
"Notes:","","","","","","","",""
"1    Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.","","","","","","","",""
"2    ""-"" dernotes a nil or negligible value","","","","","","","",""
