"","","","","Non-adverse decisions3","Adverse decisions4","Cancelled decisions5","Total decisions","","","","","",""
"GREAT BRITAIN","","","","20,376","19,325","36,623","76,324","","","","","",""
"CENTRAL ENGLAND","","","","3,554","3,068","6,425","13,045","","","","","",""
"","Birmingham and Solihull","","","285","195","400","878","","","","","",""
"","Black Country","","","266","185","361","808","","","","","",""
"","Derbyshire","","","266","273","609","1,144","","","","","",""
"","East Anglia","","","1,351","1,192","1,802","4,343","","","","","",""
"","Leicestershire and Northamptonshire","","","392","336","789","1,517","","","","","",""
"","Lincolnshire, Nottinghamshire and Rutland","","","369","565","1,144","2,079","","","","","",""
"","Mercia","","","316","193","695","1,202","","","","","",""
"","Staffordshire and Shropshire","","","312","140","621","1,072","","","","","",""
"","","","","","","","","","","","","",""
"LONDON AND THE HOME COUNTIES","","","","5,398","5,344","7,978","18,723","","","","","",""
"","Bedfordshire and Hertfordshire","","","536","361","1,025","1,922","","","","","",""
"","East London","","","818","797","1,237","2,852","","","","","",""
"","Essex","","","1,270","811","1,745","3,827","","","","","",""
"","Kent","","","268","168","845","1,287","","","","","",""
"","North London","","","262","627","458","1,349","","","","","",""
"","South London","","","2,029","2,170","2,251","6,455","","","","","",""
"","West London","","","211","407","412","1,031","","","","","",""
"","","","","","","","","","","","","",""
"NORTH EAST","","","","2,478","2,112","5,464","10,062","","","","","",""
"","Durham and Tees Valley","","","532","404","1,517","2,456","","","","","",""
"","North East Yorkshire and the Humber","","","407","297","639","1,344","","","","","",""
"","Northumberland, Tyne and Wear","","","241","183","981","1,405","","","","","",""
"","South Yorkshire","","","480","367","1,102","1,952","","","","","",""
"","West Yorkshire","","","813","865","1,228","2,904","","","","","",""
"","","","","","","","","","","","","",""
"NORTH WEST","","","","3,674","3,762","7,569","15,004","","","","","",""
"","Cumbria and Lancashire","","","768","1,106","1,422","3,296","","","","","",""
"","Greater Manchester Central and Cheshire","","","831","744","2,071","3,638","","","","","",""
"","Greater Manchester East and West","","","1,248","1,204","2,675","5,125","","","","","",""
"","Merseyside","","","826","712","1,401","2,943","","","","","",""
"","","","","","","","","","","","","",""
