"Table 4. Actual and counterfactual changes in musculoskeletal disorders deaths, 1986 to 2011","","","","","","","",""
"Region/country","# of deaths in 1986","# of deaths expected from population growth scenario","# of deaths expected from population growth & aging scenario","# of deaths in 2011","Percentage change due to popualtion growth","Percentage change due to popualtion aging","Percentage change due to epidemiologic change","Actual change"
"All countries","40098","48228","68167","67020","20%","50%","-3%","67%"
"Asia","4279","4818","9481","8314","13%","109%","-27%","94%"
"Hong Kong SAR","62","80","103","132","29%","37%","47%","113%"
"Israel","53","97","129","290","83%","60%","304%","447%"
"Japan","3191","3368","7510","5775","6%","130%","-54%","81%"
"Republic of Korea","706","849","1886","1772","20%","147%","-16%","151%"
"Singapore","50","94","107","44","88%","26%","-126%","-12%"
"Kazakhstan","184","191","210","193","4%","10%","-9%","5%"
"Kyrgyzstan","33","45","48","108","36%","9%","182%","227%"
"Eastern Europe","4025","3877","4657","3645","-4%","19%","-25%","-9%"
"Bulgaria","30","25","31","58","-17%","20%","90%","93%"
"Czech Republic","98","100","129","146","2%","30%","17%","49%"
"Hungary","305","289","383","437","-5%","31%","18%","43%"
"Poland","860","880","1200","538","2%","37%","-77%","-37%"
"Republic of Moldova","55","53","59","34","-4%","11%","-45%","-38%"
"Romania","189","164","196","44","-13%","17%","-80%","-77%"
"Russian Federation","1863","1853","2140","1787","-1%","15%","-19%","-4%"
"Ukraine","625","557","632","601","-11%","12%","-5%","-4%"
"Northern Europe","7034","7755","9707","6299","10%","28%","-48%","-10%"
"Denmark","141","154","171","328","9%","12%","111%","133%"
"Estonia","37","32","36","36","-14%","11%","0%","-3%"
"Finland","250","274","367","230","10%","37%","-55%","-8%"
"Ireland","152","198","237","182","30%","26%","-36%","20%"
"Latvia","59","47","58","72","-20%","19%","24%","22%"
"Lithuania","88","75","97","82","-15%","25%","-17%","-7%"
"Norway","226","269","281","269","19%","5%","-5%","19%"
"Sweden","303","342","379","472","13%","12%","31%","56%"
"England and Wales","5449","6121","7592","4176","12%","27%","-63%","-23%"
"Northern Ireland","40","47","59","103","18%","30%","110%","158%"
"Scotland","289","303","366","349","5%","22%","-6%","21%"
"Southern Europe","4052","4452","8017","7655","10%","88%","-9%","89%"
"Croatia","47","43","53","129","-9%","21%","162%","174%"
"Greece","60","67","111","576","12%","73%","775%","860%"
"Italy","1348","1412","2257","3143","5%","63%","66%","133%"
"Portugal","167","178","271","333","7%","56%","37%","99%"
"Slovenia","34","36","52","87","6%","47%","103%","156%"
"Spain","2396","2880","5398","3387","20%","105%","-84%","41%"
"Western Europe","6961","7602","10494","8872","9%","42%","-23%","27%"
"Austria","177","196","232","265","11%","20%","19%","50%"
"Belgium","211","234","295","485","11%","29%","90%","130%"
"France","2645","3005","4331","3687","14%","50%","-24%","39%"
"Germany","2924","3028","4119","3056","4%","37%","-36%","5%"
"Netherlands","708","812","1131","838","15%","45%","-41%","18%"
"Switzerland","296","361","465","541","22%","35%","26%","83%"
