"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","German Bundes League","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Ranking System","","","","Total","","","","","","","","Home","","","","","","","","Away","","","","","","","","","","",""
"","Ranking","Team","POINTS","GD","GS","GA","GP","W","D","L","GS","GR","GD","P","GP","W","D","L","GS","GR","GD","P","GP","W","D","L","GS","GR","GD","P","","","Explanation",""
"","9","Eintracht Frankfurt","9","0","0","0","34","11","10","10","51","49","2","43","17","7","5","3","30","17","13","26","17","4","5","7","21","32","-11","17","","","",""
"","1","Bayern Munich","1","0","0","0","34","19","8","4","83","34","49","65","17","10","5","0","46","14","32","35","17","9","3","4","37","20","17","30","","GP","Games played",""
"","7","Wolfsburg","7","0","0","0","34","12","10","9","54","43","11","46","17","5","7","3","31","22","9","22","17","7","3","6","23","21","2","24","","W","Wins",""
"","12","Werder Bremen","12","0","0","0","34","10","5","16","49","60","-11","35","17","5","1","10","25","27","-2","16","17","5","4","6","24","33","-9","19","","D","Draws",""
"","4","Union Berlin","4","0","0","0","34","16","8","7","44","32","12","56","17","9","6","0","25","9","16","33","17","7","2","7","19","23","-4","23","","L","Losses",""
"","18","Hertha Berlin","18","0","0","0","34","6","7","18","37","62","-25","25","17","5","5","6","23","26","-3","20","17","1","2","12","14","36","-22","5","","GS","Goals scored",""
"","17","Bochum","16","1","0","0","34","8","4","19","33","69","-36","28","17","6","2","7","22","30","-8","20","17","2","2","12","11","39","-28","8","","GR","Goals received",""
"","8","Mainz","8","0","0","0","34","12","9","10","51","46","5","45","17","6","6","4","30","21","9","24","17","6","3","6","21","25","-4","21","","GD","Goal difference",""
"","10","B. Monchengladbach","10","0","0","0","34","10","9","12","46","48","-2","39","17","9","3","4","31","18","13","30","17","1","6","8","15","30","-15","9","","P","Points",""
"","14","Hoffenheim","14","0","0","0","34","9","5","17","42","52","-10","32","17","6","2","8","24","27","-3","20","17","3","3","9","18","25","-7","12","","GA","Goals away",""
"","13","Augsburg","13","0","0","0","34","9","7","15","40","55","-15","34","17","6","4","6","16","21","-5","22","17","3","3","9","24","34","-10","12","","","",""
"","5","Freiburg","4","1","0","0","34","16","8","7","46","38","8","56","17","9","4","3","26","13","13","31","17","7","4","4","20","25","-5","25","","","",""
"","2","Dortmund","2","0","0","0","34","20","4","7","73","40","33","64","17","13","1","1","48","13","35","40","17","7","3","6","25","27","-2","24","","","",""
"","6","Bayer Leverkusen","6","0","0","0","34","14","6","11","54","43","11","48","17","8","2","6","33","21","12","26","17","6","4","5","21","22","-1","22","","","",""
"","16","Stuttgart","16","0","0","0","34","6","10","15","39","54","-15","28","17","5","4","6","21","20","1","19","17","1","6","9","18","34","-16","9","","","",""
"","3","RB Leipzig","3","0","0","0","34","17","6","8","55","37","18","57","17","11","2","2","32","15","17","35","17","6","4","6","23","22","1","22","","","",""
"","11","FC Koln","11","0","0","0","34","9","11","11","42","49","-7","38","17","5","5","5","22","16","6","20","17","4","6","6","20","33","-13","18","","","",""
"","15","Schalke","15","0","0","0","34","7","9","15","31","59","-28","30","17","5","4","7","21","34","-13","19","17","2","5","8","10","25","-15","11","","","",""
