"","","","Result","","Position in League for fixture","","","","",""
"Date","HomeTeam","AwayTeam","FTHG","FTAG","Home pos","Away  Pos","","","",""
"14/08/21","Man United","Leeds","3","1","1","3","","","",""
"23/10/21","Chelsea","Norwich","3","0","1","7","","","",""
"19/02/22","Liverpool","Norwich","0","0","1","8","","","",""
"25/09/21","Everton","Norwich","2","0","2","5","","","",""
"27/11/21","Arsenal","Newcastle","5","1","1","8","","","",""
"12/01/22","West Ham","Norwich","2","0","2","5","","","",""
"08/02/22","West Ham","Watford","5","1","1","8","","","",""
"16/04/22","Man United","Norwich","2","0","2","5","","","",""
"28/08/21","Man City","Arsenal","1","1","2","8","","","",""
"15/05/22","Wolves","Norwich","3","1","1","3","","","",""
"21/08/21","Man City","Norwich","3","0","1","7","","","",""
"25/02/22","Southampton","Norwich","3","0","1","7","","","",""
"11/05/22","Leicester","Norwich","3","0","1","7","","","",""
"30/04/22","Aston Villa","Norwich","2","0","2","5","","","",""
"11/09/21","Man United","Newcastle","1","1","2","8","","","",""
"23/04/22","Man City","Watford","2","1","2","8","","","",""
"16/12/21","Liverpool","Newcastle","1","1","1","5","","","",""
"02/04/22","Liverpool","Watford","2","0","10","3","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
