"","","","Position in League for fixture","","Result","","",""
"Date","HomeTeam","AwayTeam","Home pos","Away  Pos","FTHG","FTAG","",""
"14/08/21","Man United","Leeds","1","3","3","1","",""
"23/10/21","Chelsea","Norwich","1","7","3","0","",""
"19/02/22","Liverpool","Norwich","1","8","0","0","",""
"25/09/21","Everton","Norwich","2","5","2","0","",""
"27/11/21","Arsenal","Newcastle","1","8","5","1","",""
"12/01/22","West Ham","Norwich","2","5","2","0","",""
"08/02/22","West Ham","Watford","1","8","5","1","",""
"16/04/22","Man United","Norwich","2","5","2","0","",""
"28/08/21","Man City","Arsenal","2","8","1","1","",""
"15/05/22","Wolves","Norwich","1","3","3","1","",""
"21/08/21","Man City","Norwich","1","7","3","0","",""
"25/02/22","Southampton","Norwich","1","7","3","0","",""
"11/05/22","Leicester","Norwich","1","7","3","0","",""
"30/04/22","Aston Villa","Norwich","2","5","2","0","",""
"11/09/21","Man United","Newcastle","2","8","1","1","",""
"23/04/22","Man City","Watford","2","8","2","1","",""
"16/12/21","Liverpool","Newcastle","1","5","1","1","",""
"02/04/22","Liverpool","Watford","10","3","2","0","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
