"Group Stage","","","","","","Predicted","","Actual Results","","",""
"","","","","","","Winner","","","","",""
"1","USA","1","3","Colombia","","Colombia","","USA","0","2","Colombia"
"2","Costa Rica","1","3","Paraguay","","Paraguay","","Costa Rica","0","0","Paraguay"
"3","Haiti","0","2","Peru","","Peru","","Haiti","0","1","Peru"
"4","Brazil","3","1","Ecuador","","Brazil","","Brazil","0","0","Ecuador"
"5","Jamaica","1","2","Venezuela","","Venezuela","","Jamaica","0","1","Venezuela"
"6","Mexico","2","1","Uruguay","","Mexico","","Mexico","3","1","Uruguay"
"7","Panama","1","1","Bolivia","","Tie","","Panama","1","1","Bolivia"
"8","Argentina","2","1","Chile","","Argentina","","Argentina","2","1","Chile"
"9","USA","2","0","Costa Rica","","USA","","USA","3","1","Costa Rica"
"10","Colombia","2","2","Paraguay","","Tie","","Colombia","2","2","Paraguay"
"11","Brazil","2","0","Haiti","","Brazil","","Brazil","2","1","Haiti"
"12","Ecuador","2","1","Peru","","Ecuador","","Ecuador","1","1","Peru"
"13","Uruguay","3","1","Venezuela","","Uruguay","","Uruguay","3","1","Venezuela"
"14","Mexico","2","1","Jamaica","","Mexico","","Mexico","2","1","Jamaica"
"15","Chile","2","1","Bolivia","","Chile","","Chile","2","1","Bolivia"
"16","Argentina","2","0","Panama","","Argentina","","Argentina","2","1","Panama"
"17","Paraguay","2","2","USA","","Tie","","Paraguay","2","3","USA"
"18","Costa Rica","1","2","Colombia","","Colombia","","Costa Rica","1","2","Colombia"
"19","Haiti","0","2","Ecuador","","Ecuador","","Haiti","0","2","Ecuador"
"20","Peru","1","2","Brazil","","Brazil","","Peru","1","3","Brazil"
"21","Venezuela","2","2","Mexico","","Tie","","Venezuela","2","4","Mexico"
"22","Jamaica","1","2","Uruguay","","Uruguay","","Jamaica","1","2","Uruguay"
"23","Panama","1","1","Chile","","Tie","","Panama","2","1","Chile"
"24","Bolivia","0","2","Argentina","","Argentina","","Bolivia","0","2","Argentina"
