"Department for Transport statistics","","","","","","","","","","","","","","","","",""
"https://www.gov.uk/government/organisations/department-for-transport/series/transport-accessibility-statistics--3","","","","","","","","","","","","","","","","",""
"Table ACS0204","","","","","","","","","","","","","","","","",""
"Users1 with reasonable access2 to key services by mode of travel, rural and urban areas3, England, 2007 to 2013","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Number / Percentage"
"","","Key services","","","","","","","","","","","","","","",""
"","","Employment","","Primary school","","Secondary school","","Further Education","","GP","","Hospital","","Food store","","Town Centres",""
"Year","Mode","Urban3","Rural3","Urban3","Rural3","Urban3","Rural3","Urban3","Rural3","Urban3","Rural3","Urban3","Rural3","Urban3","Rural3","Urban3","Rural3"
"Number of people with reasonable access2","","","","","","","","","","","","","","","","",""
"2007","Public Transport / Walking","24,627,200","5,198,500","1,238,300","245,200","1,259,400","214,100","1,398,700","238,000","10,585,100","2,000,200","6,701,500","932,200","9,258,100","1,757,800","..",".."
"","Cycle","18,397,700","2,770,600","1,650,900","322,200","1,319,000","150,100","1,106,800","100,600","10,263,300","1,548,100","7,034,300","527,900","10,533,400","1,791,900","..",".."
"","Car","26,623,800","6,369,700","1,611,300","356,200","1,815,800","400,500","1,838,800","391,400","12,942,600","3,033,500","12,827,300","2,697,000","11,422,000","2,670,700","..",".."
"2008","Public Transport / Walking","25,003,400","5,506,900","1,222,400","242,000","1,230,600","209,100","1,412,400","246,700","10,565,600","1,994,800","6,636,400","929,900","9,250,800","1,757,500","..",".."
"","Cycle","18,709,100","3,079,900","1,631,400","318,200","1,497,500","160,800","1,119,200","104,500","10,259,300","1,548,100","7,026,600","527,800","10,534,800","1,795,800","..",".."
"","Car","27,036,900","6,486,400","1,592,100","351,300","1,787,100","390,700","1,866,100","405,200","12,938,000","3,033,800","12,753,000","2,629,400","11,417,200","2,656,500","..",".."
"2009","Public Transport / Walking","25,249,800","4,766,100","1,217,300","214,000","1,241,300","185,500","1,426,800","211,500","11,386,100","2,051,800","6,585,800","783,400","9,788,000","1,669,900","6,555,600","786,700"
"","Cycle","18,730,800","3,009,300","1,616,200","310,200","1,278,700","142,700","1,106,800","101,000","10,832,800","1,854,900","6,493,500","432,800","11,066,300","1,876,300","8,433,600","682,900"
"","Car","27,259,100","6,534,300","1,580,000","345,800","1,770,400","389,800","1,861,000","411,500","13,618,400","3,228,100","13,366,800","2,729,700","12,018,500","2,826,700","3,594,100","2,501,900"
"2010","Public Transport / Walking","  25,583,200 ","  5,481,000 ","  1,215,600 ","  236,600 ","  1,225,300 ","  207,200 ","  1,428,900 ","  245,100 ","  11,216,500 ","  2,296,700 ","  6,117,800 ","  825,200 ","  10,128,500 ","  1,906,200 ","  6,598,000 ","  899,400 "
"","Cycle","  19,150,900 ","  3,158,400 ","  1,630,900 ","  329,000 ","  1,326,000 ","  156,200 ","  1,170,500 ","  112,500 ","  11,040,200 ","  2,025,500 ","  6,641,600 ","  473,400 ","  11,161,900 ","  2,021,400 ","  9,051,200 ","  775,700 "
"","Car","  27,523,800 ","  6,527,700 ","  1,583,800 ","  345,300 ","  1,755,300 ","  392,400 ","  1,859,500 ","  407,800 ","  13,604,900 ","  3,207,500 ","  13,307,500 ","  2,694,200 ","  12,006,200 ","  2,818,900 ","  11,983,800 ","  2,530,300 "
"","Car (new method)4","  27,497,200 ","  6,476,100 ","  1,582,500 ","  343,600 ","  1,747,000 ","  368,400 ","  1,838,200 ","  387,100 ","  13,590,600 ","  3,173,500 ","  12,115,300 ","  2,291,500 ","  11,993,700 ","  2,754,200 ","  11,149,600 ","  2,038,200 "
"2011","Public Transport / Walking","  24,954,800 ","  5,379,500 ","  1,212,000 ","  233,000 ","  1,212,300 ","  199,800 ","  1,400,300 ","  239,500 ","  11,170,800 ","  2,246,100 ","  5,776,600 ","  718,400 ","  10,252,900 ","  1,903,200 ","  6,565,000 ","  861,800 "
"","Public Transport / Walking6 (revised)","  25,649,800 ","  5,557,200 ","  1,421,600 ","  266,700 ","  1,361,700 ","  214,600 ","  1,492,900 ","  249,400 ","  12,179,000 ","  2,433,900 ","  6,610,600 ","  765,100 ","  11,206,500 ","  2,080,800 ","  7,304,000 ","  920,200 "
"","Cycle","  18,777,900 ","  3,127,300 ","  1,629,700 ","  353,700 ","  1,324,600 ","  154,700 ","  1,156,500 ","  112,800 ","  11,228,800 ","  2,040,800 ","  6,329,800 ","  425,400 ","  11,285,300 ","  2,054,500 ","  9,146,400 ","  784,100 "
"","Car (new method)4","  26,991,200 ","  6,415,300 ","  1,581,500 ","  343,200 ","  1,748,700 ","  370,100 ","  1,812,100 ","  383,500 ","  13,721,800 ","  3,183,000 ","  11,916,900 ","  2,210,700 ","  12,111,700 ","  2,796,600 ","  11,453,200 ","  2,090,000 "
"2012","Public Transport / Walking5","","","","","","","","","","","","","","","",""
"","Cycle","  19,297,600 ","  3,224,700 ","  1,717,600 ","  332,800 ","  1,279,000 ","  146,700 ","  1,139,100 ","  109,900 ","  11,027,400 ","  1,999,800 ","  6,445,900 ","  446,600 ","  11,139,900 ","  2,031,500 ","  8,952,600 ","  773,400 "
"","Car (new method)","  27,702,000 ","  6,506,600 ","  1,665,900 ","  347,700 ","  1,698,300 ","  351,600 ","  1,780,200 ","  376,900 ","  13,549,200 ","  3,148,700 ","  11,917,800 ","  2,248,000 ","  11,959,300 ","  2,752,600 ","  11,235,300 ","  2,042,900 "
"2013","Public Transport / Walking","  26,902,000 ","  5,696,500 ","  1,498,700 ","  271,800 ","  1,314,600 ","  206,100 ","  1,509,900 ","  240,500 ","  12,279,100 ","  2,431,500 ","  6,659,200 ","  815,300 ","  11,175,400 ","  2,103,700 ","  7,157,900 ","  918,900 "
"","Cycle","  19,759,000 ","  3,251,200 ","  1,717,700 ","  333,000 ","  1,281,600 ","  147,900 ","  1,179,300 ","  109,000 ","  11,181,600 ","  2,013,000 ","  6,591,700 ","  454,000 ","  11,325,600 ","  2,100,600 ","  9,068,700 ","  782,600 "
"","Car (new method)","  28,393,200 ","  6,585,200 ","  1,668,300 ","  348,500 ","  1,702,100 ","  353,900 ","  1,826,700 ","  370,000 ","  13,793,700 ","  3,203,800 ","  12,217,300 ","  2,299,600 ","  12,173,800 ","  2,811,900 ","  11,486,400 ","  2,087,600 "
"Percentage of people with reasonable access2","","","","","","","","","","","","","","","","",""
"2007","Public Transport / Walking","82.9","72.5","45.0","40.3","52.4","39.2","64.7","49.6","62.1","49.6","39.3","23.1","54.3","43.6","..",".."
"","Cycle","61.9","38.6","60.0","52.9","54.9","27.5","51.2","20.9","60.2","38.4","41.3","13.1","61.8","44.5","..",".."
