"Occupational group and industry","Indexes (Dec. 2005=100)","","","Percent changes for","","","","",""
"","Sep. 2023","Jun. 2024","Sep.  2024","3-months ended-","","","12-months ended-","",""
"","","","","Sep.
2023","Jun.
2024","Sep.
2024","Sep.
2023","Jun.
2024","Sep.
2024"
"","","","","","","","","",""
"All workers","160.6","165.4","166.4","0.9","1","0.6","4.3","3.9","3.6"
"Excluding incentive paid occupations(2)","160.4","165.3","166.5","0.9","1","0.7","4.4","4","3.8"
"Occupational group","","","","","","","","",""
"Management, professional, and related","156.2","160.4","161.4","1","0.9","0.6","4.4","3.7","3.3"
"Excluding incentive paid occupations(2)","155.2","159.5","160.6","0.9","0.9","0.7","4.4","3.7","3.5"
"Management, business, and financial","157.2","161.1","161.9","0.9","1","0.5","4.2","3.4","3"
"Excluding incentive paid occupations(2)","155.8","159.7","160.6","0.8","0.8","0.6","4.2","3.3","3.1"
"Professional and related","155.5","160.1","161.3","1","0.9","0.7","4.6","4","3.7"
"Sales and office","164","168.5","169.1","0.6","0.4","0.4","4.2","3.3","3.1"
"Excluding incentive paid occupations(2)","166","170.9","172","0.7","0.9","0.6","4.5","3.7","3.6"
"Sales and related","161.2","165.2","165","0.2","-0.3","-0.1","3.9","2.7","2.4"
"Excluding incentive paid occupations(2)","166.5","171.1","172.1","0.5","0.8","0.6","4.6","3.3","3.4"
"Office and administrative support","165.1","170.1","171.3","0.9","1.1","0.7","4.4","3.9","3.8"
"Natural resources, construction, and maintenance","158.2","162.8","164.3","1","0.9","0.9","4.2","4","3.9"
"Construction, extraction, farming, fishing, and forestry occupations","157.3","161.4","162.7","1","1.1","0.8","3.9","3.6","3.4"
"Installation, maintenance, and repair","159.2","164.4","166.1","1.2","0.7","1","4.6","4.5","4.3"
"Production, transportation, and material moving","163.2","170.2","171.5","0.8","1.4","0.8","3.9","5.1","5.1"
"Excluding incentive paid occupations(2)","162.9","169.9","171.2","0.7","1.4","0.8","4","5.1","5.1"
"Production","159.8","165.5","166.8","0.7","1.1","0.8","4.1","4.3","4.4"
"Excluding incentive paid occupations(2)","160.2","165.7","167","0.7","1.1","0.8","4","4.1","4.2"
"Transportation and material moving","168.5","176.7","178","0.8","1.6","0.7","3.9","5.7","5.6"
"Service occupations","172.3","177.8","179.3","0.9","1.3","0.8","4.5","4.2","4.1"
"Industry and occupational group","","","","","","","","",""
"Goods-producing industries(3)","155.1","159.5","160.5","0.6","0.8","0.6","3.8","3.5","3.5"
"Excluding incentive paid occupations(2)","154.8","159.6","160.6","0.7","1.1","0.6","3.7","3.8","3.7"
"Management, professional, and related","148.4","152.7","153.2","0.4","0.9","0.3","3.5","3.3","3.2"
"Sales and office","163","165.2","166.4","0.2","-2.5","0.7","4.9","1.6","2.1"
"Natural resources, construction, and maintenance","156.6","160.8","162.2","0.9","1.1","0.9","3.8","3.6","3.6"
"Production, transportation, and material moving","157.7","163.3","164.4","0.6","1.3","0.7","3.7","4.2","4.2"
"Construction","156.3","159.4","160.7","0.8","0.1","0.8","4.1","2.8","2.8"
"Manufacturing","154.6","159.6","160.4","0.6","0.9","0.5","3.7","3.8","3.8"
"Management, professional, and related","149.5","154","154.5","0.4","1","0.3","3.3","3.4","3.3"
"Sales and office occupations","159.4","163.9","164.7","0.6","0.1","0.5","4","3.4","3.3"
"Natural resources, construction, and maintenance","154.4","159.6","161","0.7","1.1","0.9","4","4","4.3"
"Production, transportation, and material moving","157.4","163.1","164.2","0.6","1.2","0.7","3.8","4.2","4.3"
"Aircraft manufacturing","134.6","137","137.1","0","-0.1","0.1","2.9","1.8","1.9"
"Service-providing industries(4)","162.1","167","168.1","0.9","1","0.7","4.4","4","3.7"
"Excluding incentive paid occupations(2)","162","166.9","168.2","0.9","1","0.8","4.5","3.9","3.8"
"Management, professional, and related","157.5","161.7","162.8","1","0.9","0.7","4.5","3.7","3.4"
"Sales and office","164.1","168.9","169.3","0.6","0.7","0.2","4.1","3.6","3.2"
"Natural resources, construction, and maintenance","160.6","165.9","167.6","1.3","0.7","1","4.8","4.6","4.4"
"Production, transportation, and material moving","169.2","177.4","178.8","0.9","1.5","0.8","4.1","5.8","5.7"
"Service occupations","172.4","177.9","179.4","1","1.3","0.8","4.5","4.2","4.1"
"Trade, transportation, and utilities","165.6","171.5","172.4","0.7","1.2","0.5","4.3","4.3","4.1"
"Excluding incentive paid occupations(2)","166","172.4","173.6","0.8","1.4","0.7","4.5","4.7","4.6"
"Wholesale trade","158.5","162.7","163","0.4","0.4","0.2","4.1","3","2.8"
"Excluding incentive paid occupations(2)","161.8","166.4","167.4","0.7","1.3","0.6","4.6","3.5","3.5"
"Retail trade","170.6","174.6","175.6","0.8","1.5","0.6","4.5","3.1","2.9"
"Excluding incentive paid occupations(2)","169.2","173.6","174.7","0.8","1.3","0.6","4.7","3.4","3.3"
"Transportation and warehousing","164.5","175.7","177.1","0.9","1.7","0.8","3.9","7.7","7.7"
"Utilities","170.9","175.2","176.6","1","0.9","0.8","4.8","3.5","3.3"
