"Average hourly wages for occupational groups and areas for full-time workers by selected work levels, civilian workers(1), 2023","","","","",""
"Selected occupational groups and areas","All levels","Level 4","Level 5","Level 6",""
"","","","","",""
"29-0000 Healthcare Practitioners and Technical Occupations","","","","",""
"Boston-Cambridge-Nashua, MA-NH"," $ 57.10 "," $ 22.67 ","–"," $ 32.21 ",""
"Chicago-Naperville-Elgin, IL-IN-WI"," $ 47.39 ","–"," $ 25.61 "," $ 28.27 ",""
"Dallas-Fort Worth-Arlington, TX"," $ 47.66 ","–","–"," $ 29.48 ",""
"Detroit-Warren-Dearborn, MI"," $ 46.72 ","–"," $ 23.89 "," $ 27.93 ",""
"Los Angeles-Long Beach-Anaheim, CA"," $ 54.98 "," $ 21.50 "," $ 27.83 ","–",""
"Miami-Fort Lauderdale-West Palm Beach, FL","–","–"," $ 22.44 "," $ 28.07 ",""
"New York-Newark-Jersey City, NY-NJ-PA"," $ 56.64 "," $ 24.26 "," $ 30.87 "," $ 31.91 ",""
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"," $ 51.16 ","–","–"," $ 29.74 ",""
"San Jose-Sunnyvale-Santa Clara, CA"," $ 71.61 ","–"," $ 32.50 "," $ 37.00 ",""
"","","","","",""
"41-0000 Sales and Related Occupations","","","","",""
"Atlanta-Sandy Springs-Roswell, GA"," $ 33.74 ","–"," $ 30.42 "," $ 35.02 ",""
"Boston-Cambridge-Nashua, MA-NH"," $ 38.13 "," $ 22.18 "," $ 34.43 ","–",""
"Chicago-Naperville-Elgin, IL-IN-WI"," $ 33.89 "," $ 21.27 "," $ 31.71 "," $ 33.36 ",""
"Dallas-Fort Worth-Arlington, TX"," $ 32.24 "," $ 21.03 "," $ 26.37 ","–",""
"Detroit-Warren-Dearborn, MI"," $ 31.92 "," $ 21.37 "," $ 32.16 "," $ 34.71 ",""
"Houston-The Woodlands-Sugar Land, TX"," $ 28.92 "," $ 19.54 "," $ 26.90 "," $ 34.47 ",""
"Los Angeles-Long Beach-Anaheim, CA","–"," $ 21.98 "," $ 27.83 "," $ 37.36 ",""
"Miami-Fort Lauderdale-West Palm Beach, FL"," $ 30.65 "," $ 20.81 "," $ 29.54 "," $ 33.60 ",""
"New York-Newark-Jersey City, NY-NJ-PA"," $ 45.85 ","–"," $ 38.53 "," $ 42.84 ",""
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"," $ 33.67 "," $ 22.56 "," $ 27.79 "," $ 32.36 ",""
"Phoenix-Mesa-Scottsdale, AZ"," $ 30.02 "," $ 23.21 ","–"," $ 34.73 ",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV"," $ 33.90 "," $ 21.38 ","–"," $ 34.00 ",""
"","","","","",""
"43-0000 Office and Administrative Support Occupations","","","","",""
"Atlanta-Sandy Springs-Roswell, GA"," $ 23.13 "," $ 20.01 "," $ 23.71 "," $ 27.29 ",""
"Boston-Cambridge-Nashua, MA-NH"," $ 28.51 "," $ 24.47 "," $ 29.62 "," $ 29.93 ",""
"Chicago-Naperville-Elgin, IL-IN-WI"," $ 25.41 "," $ 23.62 "," $ 25.62 "," $ 31.45 ",""
"Dallas-Fort Worth-Arlington, TX"," $ 23.42 "," $ 20.40 "," $ 23.96 "," $ 28.09 ",""
"Detroit-Warren-Dearborn, MI"," $ 24.04 "," $ 21.75 "," $ 23.73 "," $ 28.12 ",""
"Houston-The Woodlands-Sugar Land, TX"," $ 22.50 "," $ 20.48 "," $ 23.12 "," $ 26.28 ",""
"Los Angeles-Long Beach-Anaheim, CA"," $ 26.73 "," $ 23.17 "," $ 26.71 "," $ 30.23 ",""
"Miami-Fort Lauderdale-West Palm Beach, FL"," $ 22.89 "," $ 20.79 "," $ 24.39 "," $ 25.03 ",""
"Minneapolis-St. Paul-Bloomington, MN-WI"," $ 26.33 "," $ 22.46 "," $ 25.86 "," $ 30.06 ",""
"New York-Newark-Jersey City, NY-NJ-PA"," $ 28.53 "," $ 24.47 "," $ 28.26 "," $ 33.87 ",""
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"," $ 25.06 "," $ 21.78 "," $ 26.77 "," $ 29.88 ",""
"Phoenix-Mesa-Scottsdale, AZ"," $ 23.61 "," $ 21.69 "," $ 22.51 "," $ 27.03 ",""
"San Jose-Sunnyvale-Santa Clara, CA"," $ 32.76 "," $ 27.28 "," $ 29.92 "," $ 33.80 ",""
"Seattle-Tacoma-Bellevue, WA"," $ 28.68 "," $ 26.28 "," $ 26.34 "," $ 32.47 ",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV"," $ 26.92 "," $ 22.13 "," $ 26.15 "," $ 29.95 ",""
"","","","","",""
"47-0000 Construction and Extraction Occupations","","","","",""
"Atlanta-Sandy Springs-Roswell, GA"," $ 26.69 "," $ 21.51 ","–"," $ 31.30 ",""
"Boston-Cambridge-Nashua, MA-NH"," $ 39.31 ","–"," $ 32.12 "," $ 40.43 ",""
