% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrrrrrr}
\textbf{Table 3a: Bankruptcies by petition type, England and Wales, seasonally adjusted, 1 January 2013 to 30 June 2023 {[}p{]}{[}note 1{]}} &                                      & \multicolumn{1}{l}{}                              & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                                   & \multicolumn{1}{l}{}                        & \multicolumn{1}{l}{}                                 \\
{\color[HTML]{0000EE} {\ul Back to contents}}                                                                                                & {\color[HTML]{0000EE} {\ul }}        & \multicolumn{1}{l}{{\color[HTML]{0563C1} {\ul }}} & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                                   & \multicolumn{1}{l}{}                        & \multicolumn{1}{l}{}                                 \\
This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.                                      &                                      & \multicolumn{1}{l}{}                              & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                                   & \multicolumn{1}{l}{}                        & \multicolumn{1}{l}{}                                 \\
Some shorthand is used in this table, {[}r{]} = revised. See Notes worksheet for further details.                                            &                                      & \multicolumn{1}{l}{}                              & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                                   & \multicolumn{1}{l}{}                        & \multicolumn{1}{l}{}                                 \\
Source: Insolvency Service                                                                                                                   &                                      & \multicolumn{1}{l}{}                              & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                                   & \multicolumn{1}{l}{}                        & \multicolumn{1}{l}{}                                 \\
\textbf{Year}                                                                                                                                & \multicolumn{1}{r}{\textbf{Quarter}} & \textbf{Total bankruptcies {[}note 8{]}}          & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_total\_bankruptcies}} & \textbf{Creditors' petitions {[}note 2{]}} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_creditor}} & \textbf{Debtors' applications {[}note 3{]}} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_debtor}} \\
\textbf{2013}                                                                                                                                & \textbf{}                            & \textbf{24,565}                                   & \textbf{}                                                         & 5,377                                      &                                                        & 19,188                                      &                                                      \\
\textbf{2014}                                                                                                                                & \textbf{}                            & \textbf{20,339}                                   & \textbf{}                                                         & 4,783                                      &                                                        & 15,556                                      &                                                      \\
\textbf{2015}                                                                                                                                & \textbf{}                            & \textbf{15,849}                                   & \textbf{}                                                         & 4,404                                      &                                                        & 11,445                                      &                                                      \\
\textbf{2016}                                                                                                                                & \textbf{}                            & \textbf{15,051}                                   & \textbf{}                                                         & 3,902                                      &                                                        & 11,149                                      &                                                      \\
\textbf{2017}                                                                                                                                & \textbf{}                            & \textbf{15,108}                                   & \textbf{}                                                         & 3,304                                      &                                                        & 11,804                                      &                                                      \\
\textbf{2018}                                                                                                                                & \textbf{}                            & \textbf{16,643}                                   & \textbf{}                                                         & 3,660                                      &                                                        & 12,983                                      &                                                      \\
\textbf{2019}                                                                                                                                & \textbf{}                            & \textbf{16,743}                                   & \textbf{}                                                         & 3,128                                      &                                                        & 13,615                                      &                                                      \\
\textbf{2020}                                                                                                                                & \textbf{}                            & \textbf{12,657}                                   & \textbf{}                                                         & 1,345                                      &                                                        & 11,312                                      &                                                      \\
\textbf{2021}                                                                                                                                & \textbf{}                            & \textbf{8,722}                                    & \textbf{}                                                         & 1,112                                      &                                                        & 7,610                                       &                                                      \\
\textbf{2022}                                                                                                                                & \textbf{}                            & \textbf{6,679}                                    & \textbf{}                                                         & 1,139                                      &                                                        & 5,540                                       &                                                      \\
\textbf{2013}                                                                                                                                & \textbf{Q1}                          & \textbf{6,457}                                    & \textbf{{[}r{]}}                                                  & 1,307                                      & {[}r{]}                                                & 5,208                                       & {[}r{]}                                              \\
\textbf{2013}                                                                                                                                & \textbf{Q2}                          & \textbf{6,366}                                    & \textbf{{[}r{]}}                                                  & 1,385                                      & {[}r{]}                                                & 4,935                                       & {[}r{]}                                              \\
\textbf{2013}                                                                                                                                & \textbf{Q3}                          & \textbf{6,042}                                    & \textbf{}                                                         & 1,405                                      &                                                        & 4,638                                       & {[}r{]}                                              \\
\textbf{2013}                                                                                                                                & \textbf{Q4}                          & \textbf{5,700}                                    & \textbf{}                                                         & 1,280                                      &                                                        & 4,407                                       &                                                      \\
\textbf{2014}                                                                                                                                & \textbf{Q1}                          & \textbf{5,410}                                    & \textbf{}                                                         & 1,219                                      & {[}r{]}                                                & 4,214                                       & {[}r{]}                                              \\
\textbf{2014}                                                                                                                                & \textbf{Q2}                          & \textbf{5,489}                                    & \textbf{{[}r{]}}                                                  & 1,347                                      & {[}r{]}                                                & 4,123                                       & {[}r{]}                                              \\
\textbf{2014}                                                                                                                                & \textbf{Q3}                          & \textbf{4,912}                                    & \textbf{{[}r{]}}                                                  & 1,198                                      &                                                        & 3,721                                       &                                                      \\
\textbf{2014}                                                                                                                                & \textbf{Q4}                          & \textbf{4,528}                                    & \textbf{}                                                         & 1,019                                      &                                                        & 3,498                                       &                                                      \\
\textbf{2015}                                                                                                                                & \textbf{Q1}                          & \textbf{4,216}                                    & \textbf{}                                                         & 1,079                                      &                                                        & 3,143                                       & {[}r{]}                                              \\
\textbf{2015}                                                                                                                                & \textbf{Q2}                          & \textbf{3,965}                                    & \textbf{}                                                         & 1,046                                      &                                                        & 2,918                                       & {[}r{]}                                              \\
