% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrrrrlrrrlr}
\textbf{Table 4b: Bankruptcies by employment status, England and Wales, not seasonally adjusted, 1 January 2012 to 30 June 2022 {[}p{]}{[}note 2{]}{[}note 3{]}{[}note 9{]}}    & \textbf{}                     & \multicolumn{1}{l}{\textbf{}}                    & \multicolumn{1}{l}{\textbf{}}                                     & \multicolumn{1}{l}{\textbf{}}                                       & \multicolumn{1}{l}{\textbf{}}                           & \textbf{}                                                                & \multicolumn{1}{l}{\textbf{}}                                 & \multicolumn{1}{l}{\textbf{}}                    & \multicolumn{1}{l}{\textbf{}}                       &                                                     & \multicolumn{1}{l}{}                                      \\
{\color[HTML]{0000EE} {\ul Back to contents}}                                                                                                                                   & {\color[HTML]{0000EE} {\ul }} & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                                                & \multicolumn{1}{l}{}                                    & {\color[HTML]{0000FF} {\ul }}                                            & \multicolumn{1}{l}{}                                          & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                &                                                     & \multicolumn{1}{l}{}                                      \\
This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.                                                                         &                               & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                                                & \multicolumn{1}{l}{}                                    &                                                                          & \multicolumn{1}{l}{}                                          & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                &                                                     & \multicolumn{1}{l}{}                                      \\
Some shorthand is used in this table, {[}x{]} = not yet available, {[}r{]} = revised, {[}z{]} = not applicable, {[}p{]} = provisional. See Notes worksheet for further details. & {\ul }                        & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                                                & \multicolumn{1}{l}{}                                    &                                                                          & \multicolumn{1}{l}{}                                          & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                &                                                     & \multicolumn{1}{l}{}                                      \\
Source: Insolvency Service                                                                                                                                                      & {\ul }                        & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                              & \multicolumn{1}{l}{}                                                & \multicolumn{1}{l}{}                                    &                                                                          & \multicolumn{1}{l}{}                                          & \multicolumn{1}{l}{}                             & \multicolumn{1}{l}{}                                &                                                     & \multicolumn{1}{l}{}                                      \\
\textbf{Year}                                                                                                                                                                   & \textbf{Quarter}              & \textbf{Total Bankruptcies}                      & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_total\_bankruptcies}} & \textbf{Self-employed (or Trader) bankruptcies (no.) {[}note 11{]}} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_self\_emp}} & \multicolumn{1}{r}{\textbf{Self-employed (or Trader) bankruptcies (\%)}} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_self\_emp\_perc}} & \textbf{Other individuals (no.) {[}note 11{]}}   & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_other}} & \multicolumn{1}{r}{\textbf{Other individuals (\%)}} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_other\_perc}} \\
{\color[HTML]{800000} \textbf{2012}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 31,776}                    & {\color[HTML]{C55C10} {[}r{]}}                                    & {\color[HTML]{C55C10} 7,608}                                        & {\color[HTML]{C55C10} {[}r{]}}                          & {\color[HTML]{C55C10} 24\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 24,168}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 76\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2013}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 24,565}                    & {\color[HTML]{C55C10} }                                           & {\color[HTML]{C55C10} 6,287}                                        & {\color[HTML]{C55C10} }                                 & {\color[HTML]{C55C10} 26\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 18,278}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 74\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2014}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 20,339}                    & {\color[HTML]{C55C10} }                                           & {\color[HTML]{C55C10} 5,188}                                        & {\color[HTML]{C55C10} }                                 & {\color[HTML]{C55C10} 26\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 15,151}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 74\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2015}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 15,849}                    & {\color[HTML]{C55C10} }                                           & {\color[HTML]{C55C10} 4,095}                                        & {\color[HTML]{C55C10} }                                 & {\color[HTML]{C55C10} 26\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 11,754}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 74\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2016}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 15,051}                    & {\color[HTML]{C55C10} {[}r{]}}                                    & {\color[HTML]{C55C10} 3,833}                                        & {\color[HTML]{C55C10} {[}r{]}}                          & {\color[HTML]{C55C10} 25\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 11,218}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 75\%}                         &                                                           \\
