% Please add the following required packages to your document preamble:
% \usepackage{multirow}
\begin{table}[]
\begin{tabular}{cll}
\textbf{Month}           & \multicolumn{1}{c}{\textbf{Consumption}} & \multicolumn{1}{c}{\textbf{Amount}} \\
\multirow{20}{*}{Apr-17} & AC Charges                               & 11,697.00                           \\
                         & Generator Running Expenses               & 2,000.00                            \\
                         & Insurance                                & 477,789.00                          \\
                         & Vehicle Parking Charges                  & 2,871.00                            \\
                         & Bank Commission Charges                  & 8,792.48                            \\
                         & Conveyance During Tour Expenses          & 9,144.71                            \\
                         & Electricity Charges                      & 2,895.00                            \\
                         & Entertainment Expenses                   & 90,240.88                           \\
                         & Membership \& Subscription               & 7,186.00                            \\
                         & Miscellaneous Expenses                   & 75,042.00                           \\
                         & Office Maintenance                       & 13,976.00                           \\
                         & Postage \& Courier Charges               & 230.00                              \\
                         & Printing \& Stationery                   & 4,290.00                            \\
                         & Rent Paid                                & 1,233,692.00                        \\
                         & Rounded Off                              & 3.20                                \\
                         & Telephone and Communication              & 4,057.56                            \\
                         & Travelling And Conveyance                & 3,010.00                            \\
                         & Travelling Expenses                      & 14,417.49                           \\
                         & Vehicle Maintainance                     & 1,405.00                            \\
                         & Vehicle Running                          & 11,472.00                           \\
\multirow{20}{*}{May-17} & AC Charges                               & 87,730.00                           \\
                         & Advertisement                            & 3,100.00                            \\
                         & Generator Running Expenses               & 1,500.00                            \\
                         & Travelling Insurance                     & 1,091.00                            \\
                         & Vehicle Parking Charges                  & 46,545.00                           \\
                         & Bank Commission Charges                  & 4,070.53                            \\
                         & Conveyance During Tour Expenses          & 41,360.00                           \\
                         & Electricity Charges                      & 56,764.00                           \\
                         & Entertainment Expenses                   & 14,987.00                           \\
                         & Miscellaneous Expenses                   & 6,068.85                            \\
                         & Office Maintenance                       & 10,525.00                           \\
                         & Postage \& Courier Charges               & 16,906.00                           \\
                         & Printing \& Stationery                   & 102,068.00                          \\
                         & Rent Paid                                & 309,538.00                          \\
                         & Rounded Off                              & 1.25                                \\
                         & Telephone and Communication              & 51,967.11                           \\
                         & Travelling And Conveyance                & 117,402.00                          \\
                         & Travelling Expenses                      & 238,489.90                          \\
                         & Vehicle Maintainance                     & 7,142.00                            \\
                         & Vehicle Running                          & 12,229.94                           \\
\multirow{23}{*}{Jun-17} & AC Charges                               & 107,245.00                          \\
                         & Generator Running Expenses               & 4,000.00                            \\
                         & Insurance                                & 3,294.00                            \\
                         & Loss on Redemption in MT                 & 41.60                               \\
                         & Vehicle Parking Charges                  & 46,165.00                           \\
                         & Auditor Expenses                         & 29,875.00                           \\
                         & Bank Commission Charges                  & 6,437.67                            \\
                         & Conveyance During Tour Expenses          & 50,762.61                           \\
                         & Electricity Charges                      & 132,840.00                          \\
                         & Entertainment Expenses                   & 26,937.00                           \\
                         & Membership \& Subscription               & 46,000.00                           \\
                         & Miscellaneous Expenses                   & 240.00                              \\
                         & Office Maintenance                       & 518,683.00                          \\
                         & Postage \& Courier Charges               & 11,556.00                           \\
                         & Printing \& Stationery                   & 128,027.00                          \\
                         & Rent Paid                                & 928,622.00                          \\
                         & Repairs \& Maintenance                   & 2,800.00                            \\
                         & Rounded Off                              & 10.77                               \\
                         & Telephone and Communication              & 62,334.00                           \\
                         & Travelling And Conveyance                & 111,737.27                          \\
                         & Travelling Expenses                      & 322,794.80                          \\
                         & Vehicle Maintainance                     & 870.00                              \\
                         & Vehicle Running                          & 14,370.78                           \\
\multirow{19}{*}{Jul-17} & AC Charges                               & 96,864.00                           \\
                         & Aid and Donation                         & 3,100.00                            \\
                         & Generator Running Expenses               & 2,000.00                            \\
                         & Vehicle Parking Charges                  & 56,047.00                           \\
                         & Auditor Expenses                         & 13,684.00                           \\
                         & Bank Commission Charges                  & 50,886.33                           \\
                         & Conveyance During Tour Expenses          & 24,833.00                           \\
                         & Electricity Charges                      & 55,127.00                           \\
                         & Entertainment Expenses                   & 5,826.00                            \\
                         & Office Maintenance                       & 215,595.00                          \\
                         & Postage \& Courier Charges               & 6,272.00                            \\
                         & Printing \& Stationery                   & 1,258.00                            \\
                         & Rent Paid                                & 656,146.00                          \\
                         & Rounded Off                              & 3.50                                \\
                         & Telephone and Communication              & 58,734.10                           \\
                         & Travelling And Conveyance                & 87,118.50                           \\
                         & Travelling Expenses                      & 159,287.00                          \\
                         & Vehicle Maintainance                     & 500.00                              \\
                         & Vehicle Running                          & 7,350.00                            \\
\multirow{23}{*}{Aug-17} & AC Charges                               & 119,676.00                          \\
                         & Books and Periodicals                    & 1,710.00                            \\
                         & Generator Running Expenses               & 1,500.00                            \\
                         & Insurance                                & 66,814.00                           \\
                         & Travelling Insurance                     & 9,802.00                            \\
                         & Vehicle Parking Charges                  & 51,825.00                           \\
                         & Auditor Expenses                         & 855.00                              \\
                         & Bank Commission Charges                  & 590.00                              \\
                         & Conveyance During Tour Expenses          & 15,340.00                           \\
                         & Electricity Charges                      & 125,985.00                          \\
                         & Entertainment Expenses                   & 7,814.00                            \\
                         & Miscellaneous Expenses                   & 10,000.00                           \\
                         & Office Maintenance                       & 185,345.00                          \\
                         & Postage \& Courier Charges               & 5,635.00                            \\
